Raw Data
Scope 1/1, Sample 1/2 (CRM01)
Method Function,Sample (S1)
Creation time,3/14/2018 10:06:38 AM,
Sample start time,3/14/2018 10:06:38 AM,
Sample size,50.0073 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/14/2018 10:06:38 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/14/2018 10:06:53 AM ⁽¹⁶⁾,
Terminated at,Stop at endpoint ⁽¹⁶⁾,
EEQ1,190.0 mV ⁽¹⁶⁾,
Q1,0.122400 mmol ⁽¹⁶⁾,
VEQ1,1.2240 mL ⁽¹⁶⁾,
EST,-51.1 mV ⁽¹⁶⁾,
VEX,0 mL ⁽¹⁶⁾,
VEND,1.2240 mL ⁽¹⁶⁾,
t,02:46 min ⁽¹⁶⁾,
QEND,0.122400 mmol ⁽¹⁶⁾,
QEX,0.0000 mmol ⁽¹⁶⁾,
Method Function,Stir (Stir1)
Creation time,3/14/2018 10:09:50 AM ⁽¹⁶⁾,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/14/2018 10:16:51 AM ⁽¹⁶⁾,
Terminated at,Stop at endpoint ⁽¹⁶⁾,
EEQ1,240.0 mV ⁽¹⁶⁾,
Q1,0.090400 mmol ⁽¹⁶⁾,
VEQ1,0.9040 mL ⁽¹⁶⁾,
EST,190.2 mV ⁽¹⁶⁾,
VEX,0 mL ⁽¹⁶⁾,
VEND,0.9040 mL ⁽¹⁶⁾,
t,02:41 min ⁽¹⁶⁾,
QEND,0.090400 mmol ⁽¹⁶⁾,
QEX,0.0000 mmol ⁽¹⁶⁾,
Scope 1/1, Sample 2/2 (CRM02)
Method Function,Sample (S1)
Creation time,3/14/2018 10:19:53 AM,
Sample start time,3/14/2018 10:19:53 AM,
Sample size,50.0147 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/14/2018 10:19:53 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/14/2018 10:19:53 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.122400 mmol,
VEQ1,1.2240 mL,
EST,-40.0 mV,
VEX,0 mL,
VEND,1.2240 mL,
t,02:53 min,
QEND,0.122400 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/14/2018 10:22:55 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/14/2018 10:29:56 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.090988 mmol,
VEQ1,0.909875 mL,
EST,190.1 mV,
VEX,0.000124 mL,
VEND,0.909999 mL,
t,02:34 min,
QEND,0.091000 mmol,
QEX,0.000012 mmol,

Table of Measured Values
Task,T300
Scope 1/1, Sample 1/2 (CRM01)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-51.1,21.3,NaN,,
0.0005,1,-59.4,21.3,0.0005,,
0.0020,2,-59.4,21.3,0.0015,,
0.0050,3,-59.9,21.3,0.0025,,
0.0085,4,-59.9,21.3,0.0030,,
0.0145,5,-59.5,21.3,0.0050,,
0.0230,6,-59.1,21.3,0.0070,,
0.0305,7,-58.7,21.3,0.0070,,
0.0390,8,-57.7,21.3,0.0075,,
0.0475,9,-56.4,21.3,0.0075,,
0.0560,10,-54.8,21.3,0.0070,,
0.0640,11,-53.2,21.3,0.0065,,
0.0725,12,-51.2,21.3,0.0070,,
0.0800,13,-49.9,21.3,0.0070,,
0.0885,14,-47.7,21.3,0.0075,,
0.0970,15,-45.9,21.3,0.0070,,
0.1055,16,-43.7,21.3,0.0070,,
0.1140,17,-41.0,21.3,0.0070,,
0.1225,18,-38.4,21.3,0.0070,,
0.1300,19,-36.0,21.3,0.0070,,
0.1385,20,-32.7,21.3,0.0075,,
0.1470,21,-29.5,21.3,0.0070,,
0.1550,22,-25.9,21.3,0.0065,,
0.1635,23,-22.0,21.3,0.0070,,
0.1720,24,-18.6,21.3,0.0075,,
0.1795,25,-15.0,21.3,0.0070,,
0.1880,26,-11.7,21.3,0.0075,,
0.1965,27,-8.6,21.3,0.0070,,
0.2050,28,-6.1,21.3,0.0070,,
0.2135,29,-4.1,21.3,0.0070,,
0.2210,30,-1.8,21.3,0.0070,,
0.2295,31,0.7,21.3,0.0075,,
0.2375,32,2.3,21.3,0.0075,,
0.2460,33,3.7,21.3,0.0070,,
0.2545,34,5.4,21.3,0.0070,,
0.2630,35,7.2,21.3,0.0070,,
0.2705,36,8.2,21.3,0.0070,,
0.2790,37,9.6,21.3,0.0075,,
0.2875,38,11.1,21.3,0.0075,,
0.2960,39,12.6,21.3,0.0070,,
0.3045,40,13.7,21.3,0.0070,,
0.3125,41,14.9,21.3,0.0065,,
0.3205,42,15.9,21.3,0.0075,,
0.3285,43,16.9,21.3,0.0075,,
0.3370,44,18.4,21.3,0.0075,,
0.3455,45,19.8,21.3,0.0070,,
0.3540,46,21.1,21.3,0.0070,,
0.3625,47,22.2,21.3,0.0070,,
0.3700,48,23.1,21.3,0.0070,,
0.3785,49,24.0,21.3,0.0075,,
0.3870,50,24.4,21.3,0.0075,,
0.3950,51,25.1,21.3,0.0065,,
0.4035,52,26.1,21.3,0.0070,,
0.4120,53,26.7,21.3,0.0070,,
0.4205,54,27.6,21.3,0.0075,,
0.4280,55,28.6,21.3,0.0070,,
0.4365,56,29.6,21.3,0.0075,,
0.4450,57,30.5,21.3,0.0070,,
0.4530,58,31.0,21.3,0.0065,,
0.4615,59,31.8,21.3,0.0070,,
0.4700,60,32.5,21.3,0.0070,,
0.4775,61,33.4,21.3,0.0070,,
0.4860,62,34.2,21.3,0.0075,,
0.4945,63,35.2,21.3,0.0070,,
0.5030,64,36.5,21.3,0.0070,,
0.5115,65,37.7,21.3,0.0070,,
