Raw Data
Scope 1/1, Sample 1/2 (Batch168_01)
Method Function,Sample (S1)
Creation time,3/19/2018 10:33:44 AM,
Sample start time,3/19/2018 10:33:44 AM,
Sample size,49.9858 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 10:33:44 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 10:33:53 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.122650 mmol,
VEQ1,1.2265 mL,
EST,-34.0 mV,
VEX,0 mL,
VEND,1.2265 mL,
t,02:49 min,
QEND,0.122650 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 10:36:54 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 10:43:54 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.091850 mmol,
VEQ1,0.9185 mL,
EST,189.7 mV,
VEX,0 mL,
VEND,0.9185 mL,
t,02:18 min,
QEND,0.091850 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/2 (Batch168_02)
Method Function,Sample (S1)
Creation time,3/19/2018 10:46:34 AM,
Sample start time,3/19/2018 10:46:34 AM,
Sample size,49.9903 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 10:46:34 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 10:46:34 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.122350 mmol,
VEQ1,1.2235 mL,
EST,-42.3 mV,
VEX,0 mL,
VEND,1.2235 mL,
t,02:46 min,
QEND,0.122350 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 10:49:29 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 10:56:30 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.091600 mmol,
VEQ1,0.9160 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,0.9160 mL,
t,02:34 min,
QEND,0.091600 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T321
Scope 1/1, Sample 1/2 (Batch168_01)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-34.0,21.8,NaN,,
0.0005,1,-54.6,21.8,0.0005,,
0.0020,2,-55.2,21.8,0.0015,,
0.0050,3,-55.6,21.8,0.0025,,
0.0085,4,-55.3,21.8,0.0030,,
0.0145,5,-55.6,21.8,0.0050,,
0.0230,6,-55.6,21.8,0.0070,,
0.0305,7,-54.6,21.8,0.0070,,
0.0390,8,-53.1,21.8,0.0075,,
0.0475,9,-51.1,21.8,0.0075,,
0.0560,10,-49.3,21.8,0.0070,,
0.0640,11,-47.5,21.8,0.0065,,
0.0725,12,-45.7,21.8,0.0070,,
0.0800,13,-43.4,21.8,0.0070,,
0.0885,14,-41.2,21.8,0.0075,,
0.0970,15,-39.0,21.8,0.0070,,
0.1055,16,-36.4,21.8,0.0070,,
0.1140,17,-33.0,21.8,0.0070,,
0.1225,18,-30.0,21.8,0.0070,,
0.1300,19,-27.4,21.8,0.0070,,
0.1385,20,-24.5,21.8,0.0075,,
0.1470,21,-21.1,21.8,0.0070,,
0.1550,22,-17.0,21.8,0.0065,,
0.1635,23,-13.0,21.8,0.0070,,
0.1710,24,-10.0,21.8,0.0070,,
0.1795,25,-6.7,21.8,0.0075,,
0.1880,26,-4.2,21.8,0.0075,,
0.1965,27,-1.9,21.8,0.0070,,
0.2050,28,0.4,21.8,0.0070,,
0.2135,29,2.5,21.8,0.0070,,
0.2210,30,4.1,21.8,0.0070,,
0.2295,31,5.6,21.8,0.0075,,
0.2380,32,6.9,21.8,0.0075,,
0.2460,33,8.4,21.8,0.0065,,
0.2545,34,9.7,21.8,0.0070,,
0.2630,35,10.9,21.8,0.0070,,
0.2705,36,12.5,21.8,0.0070,,
0.2790,37,13.1,21.8,0.0075,,
0.2875,38,14.2,21.8,0.0075,,
0.2960,39,15.3,21.8,0.0070,,
0.3045,40,16.8,21.8,0.0070,,
0.3125,41,18.0,21.8,0.0065,,
0.3205,42,18.8,21.8,0.0075,,
0.3285,43,19.5,21.8,0.0075,,
0.3370,44,20.7,21.8,0.0075,,
0.3455,45,21.2,21.8,0.0070,,
0.3540,46,22.2,21.8,0.0070,,
0.3625,47,23.5,21.8,0.0070,,
0.3710,48,24.3,21.8,0.0075,,
0.3785,49,25.4,21.8,0.0070,,
0.3870,50,26.6,21.8,0.0075,,
0.3950,51,27.0,21.8,0.0065,,
0.4035,52,27.9,21.8,0.0070,,
0.4120,53,28.6,21.8,0.0070,,
0.4205,54,29.7,21.8,0.0070,,
0.4280,55,30.2,21.8,0.0070,,
0.4365,56,31.4,21.8,0.0075,,
0.4450,57,32.6,21.8,0.0070,,
0.4535,58,33.4,21.8,0.0070,,
0.4615,59,34.2,21.8,0.0065,,
0.4700,60,34.8,21.8,0.0070,,
0.4775,61,35.7,21.8,0.0070,,
0.4860,62,36.6,21.8,0.0075,,
0.4945,63,37.7,21.8,0.0070,,
0.5030,64,37.9,21.8,0.0070,,
0.5115,65,38.8,21.8,0.0070,,
0.5200,66,39.5,21.8,0.0075,,
0.5275,67,39.8,21.8,0.0070,,
0.5360,68,40.7,21.8,0.0075,,
0.5440,69,41.5,21.8,0.0065,,
0.5525,70,42.0,21.8,0.0070,,
0.5610,71,42.8,21.8,0.0070,,
0.5695,72,43.4,21.8,0.0075,,
0.5770,73,44.1,21.8,0.0070,,
0.5855,74,45.0,21.8,0.0075,,
0.5940,75,46.3,21.8,0.0070,,
0.6025,76,46.8,21.8,0.0070,,
0.6105,77,47.5,21.8,0.0065,,
0.6190,78,48.4,21.8,0.0075,,
0.6265,79,49.4,21.8,0.0070,,
0.6350,80,50.6,21.8,0.0075,,
0.6435,81,51.8,21.8,0.0070,,
0.6520,82,52.5,21.8,0.0070,,
0.6605,83,53.0,21.8,0.0070,,
0.6680,84,53.9,21.8,0.0070,,
0.6765,85,54.6,21.8,0.0075,,
0.6850,86,55.4,21.8,0.0075,,
0.6935,87,56.3,21.8,0.0070,,
0.7015,88,57.0,21.8,0.0065,,
0.7100,89,58.2,21.8,0.0070,,
0.7175,90,58.8,21.8,0.0070,,
0.7260,91,59.7,21.8,0.0075,,
0.7345,92,60.6,21.8,0.0075,,
0.7430,93,61.2,21.8,0.0070,,
0.7515,94,61.7,21.8,0.0070,,
0.7600,95,63.4,21.8,0.0070,,
0.7680,96,64.0,21.8,0.0075,,
0.7760,97,65.2,21.8,0.0075,,
0.7840,98,66.2,21.8,0.0075,,
0.7925,99,67.4,21.8,0.0070,,
0.8010,100,68.3,21.8,0.0070,,
0.8095,101,69.0,21.8,0.0070,,
0.8170,102,70.0,21.8,0.0070,,
0.8255,103,71.0,21.8,0.0075,,
0.8340,104,72.0,21.8,0.0075,,
0.8425,105,73.3,21.8,0.0070,,
0.8505,106,74.5,21.8,0.0065,,
0.8590,107,75.3,21.8,0.0070,,
0.8665,108,76.7,21.8,0.0070,,
0.8750,109,78.0,21.8,0.0075,,
0.8835,110,78.6,21.8,0.0075,,
0.8920,111,80.1,21.8,0.0070,,
0.9005,112,82.2,21.8,0.0070,,
0.9090,113,83.3,21.8,0.0070,,
0.9165,114,85.1,21.8,0.0070,,
0.9250,115,86.8,21.8,0.0075,,
0.9330,116,88.4,21.8,0.0075,,
0.9415,117,89.9,21.8,0.0070,,
0.9500,118,91.1,21.8,0.0070,,
0.9585,119,93.3,21.8,0.0070,,
0.9670,120,95.5,21.8,0.0075,,
0.9745,121,97.8,21.8,0.0070,,
0.9830,122,100.1,21.8,0.0075,,
0.9915,123,102.1,21.8,0.0070,,
0.9995,124,104.5,21.8,0.0065,,
1.0080,125,106.6,21.8,0.0070,,
1.0165,126,109.2,21.8,0.0075,,
1.0240,127,112.3,21.8,0.0070,,
1.0325,128,115.7,21.8,0.0075,,
1.0410,129,119.6,21.8,0.0075,,
1.0495,130,123.3,21.8,0.0070,,
1.0580,131,126.7,21.8,0.0070,,
1.0660,132,130.3,21.8,0.0075,,
1.0740,133,133.5,21.8,0.0075,,
1.0825,134,137.5,21.8,0.0075,,
1.0905,135,142.9,21.8,0.0065,,
1.0990,136,146.9,21.8,0.0070,,
1.1075,137,151.7,21.8,0.0070,,
1.1150,138,155.3,21.8,0.0070,,
1.1235,139,159.3,21.8,0.0075,,
1.1320,140,163.1,21.8,0.0075,,
1.1405,141,166.4,21.8,0.0070,,
1.1490,142,170.1,21.8,0.0070,,
1.1570,143,172.9,21.8,0.0065,,
1.1650,144,174.9,21.8,0.0075,,
1.1730,145,177.3,21.8,0.0075,,
1.1815,146,179.4,21.8,0.0075,,
1.1900,147,181.3,21.8,0.0070,,
1.1985,148,183.1,21.8,0.0070,,
1.2050,149,184.7,21.8,0.0055,,
1.2085,150,185.7,21.8,0.0030,,
1.2110,151,186.8,21.8,0.0025,,
1.2140,152,187.3,21.8,0.0025,,
1.2175,153,187.8,21.8,0.0030,,
1.2195,154,188.3,21.8,0.0015,,
1.2200,155,188.8,21.8,0.0005,,
1.2205,156,188.8,21.8,0.0005,,
1.2210,157,189.2,21.8,0.0005,,
1.2220,158,189.2,21.8,0.0010,,
1.2230,159,189.3,21.8,0.0010,,
1.2240,160,189.4,21.8,0.0010,,
1.2245,161,189.5,21.8,0.0005,,
1.2255,162,189.9,21.8,0.0010,,
1.2260,163,189.9,21.8,0.0005,,
1.2265,163,190.0,21.8,0.0015,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.7,22.0,NaN,,
0.0005,1,190.3,22.0,0.0005,,
0.0020,2,190.3,22.0,0.0015,,
0.0050,3,190.4,22.0,0.0025,,
0.0085,4,190.4,22.0,0.0030,,
0.0145,5,191.2,22.0,0.0050,,
0.0230,6,192.0,22.0,0.0070,,
0.0305,7,193.2,22.0,0.0070,,
0.0390,8,194.3,22.0,0.0075,,
0.0475,9,195.3,22.0,0.0070,,
0.0560,10,195.8,22.0,0.0070,,
0.0640,11,196.8,22.0,0.0065,,
0.0725,12,197.6,22.0,0.0070,,
0.0805,13,198.7,22.0,0.0075,,
0.0885,14,199.6,22.0,0.0075,,
0.0970,15,200.6,22.0,0.0070,,
0.1055,16,201.4,22.0,0.0070,,
0.1140,17,202.1,22.0,0.0070,,
0.1225,18,202.9,22.0,0.0075,,
0.1300,19,203.7,22.0,0.0070,,
0.1385,20,204.4,22.0,0.0075,,
0.1470,21,205.2,22.0,0.0070,,
0.1550,22,206.0,22.0,0.0065,,
0.1635,23,206.9,22.0,0.0070,,
0.1720,24,207.9,22.0,0.0070,,
0.1795,25,208.3,22.0,0.0070,,
0.1880,26,209.3,22.0,0.0075,,
0.1965,27,210.2,22.0,0.0070,,
0.2050,28,210.7,22.0,0.0070,,
0.2135,29,211.3,22.0,0.0070,,
