Raw Data
Scope 1/1, Sample 1/2 (Batch168_01)
Method Function,Sample (S1)
Creation time,3/27/2018 12:32:42 PM,
Sample start time,3/27/2018 12:32:42 PM,
Sample size,50.0635 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 12:32:43 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 12:32:52 PM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.123350 mmol,
VEQ1,1.2335 mL,
EST,-34.9 mV,
VEX,0 mL,
VEND,1.2335 mL,
t,02:47 min,
QEND,0.123350 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 12:35:50 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 12:42:51 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.099992 mmol,
VEQ1,0.999917 mL,
EST,189.8 mV,
VEX,0.000083 mL,
VEND,1.000000 mL,
t,02:36 min,
QEND,0.100000 mmol,
QEX,0.000008 mmol,
Scope 1/1, Sample 2/2 (Batch168_02)
Method Function,Sample (S1)
Creation time,3/27/2018 12:45:48 PM,
Sample start time,3/27/2018 12:45:48 PM,
Sample size,50.0834 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 12:45:48 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 12:45:49 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.123594 mmol,
VEQ1,1.235944 mL,
EST,-40.7 mV,
VEX,0.000055 mL,
VEND,1.235999 mL,
t,02:48 min,
QEND,0.123600 mmol,
QEX,0.000005 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 12:48:45 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 12:55:46 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.099950 mmol,
VEQ1,0.9995 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,0.9995 mL,
t,02:36 min,
QEND,0.099950 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T342
Scope 1/1, Sample 1/2 (Batch168_01)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-34.9,19.8,NaN,,
0.0005,1,-58.6,19.5,0.0005,,
0.0020,2,-59.2,19.5,0.0015,,
0.0050,3,-59.8,19.5,0.0025,,
0.0085,4,-60.3,19.5,0.0030,,
0.0145,5,-60.5,19.5,0.0050,,
0.0230,6,-59.6,19.5,0.0070,,
0.0305,7,-58.7,19.5,0.0070,,
0.0390,8,-57.2,19.5,0.0075,,
0.0475,9,-55.6,19.5,0.0070,,
0.0560,10,-53.9,19.5,0.0070,,
0.0645,11,-52.3,19.5,0.0070,,
0.0720,12,-50.9,19.5,0.0070,,
0.0805,13,-49.6,19.5,0.0075,,
0.0890,14,-47.4,19.5,0.0075,,
0.0970,15,-44.8,19.5,0.0065,,
0.1055,16,-42.2,19.5,0.0070,,
0.1140,17,-39.0,19.5,0.0070,,
0.1215,18,-36.3,19.5,0.0070,,
0.1300,19,-32.6,19.5,0.0075,,
0.1385,20,-29.1,19.5,0.0070,,
0.1470,21,-25.5,19.5,0.0070,,
0.1555,22,-21.3,19.5,0.0070,,
0.1630,23,-18.0,19.5,0.0070,,
0.1715,24,-14.0,19.5,0.0075,,
0.1800,25,-10.8,19.5,0.0075,,
0.1885,26,-8.4,19.5,0.0070,,
0.1965,27,-6.1,19.5,0.0065,,
0.2050,28,-3.7,19.5,0.0070,,
0.2125,29,-1.5,19.5,0.0070,,
0.2210,30,0.9,19.5,0.0075,,
0.2295,31,2.3,19.5,0.0070,,
0.2380,32,3.9,19.5,0.0070,,
0.2465,33,5.6,19.5,0.0070,,
0.2550,34,6.7,19.5,0.0075,,
0.2625,35,8.4,19.5,0.0070,,
0.2710,36,10.0,19.5,0.0075,,
0.2795,37,11.5,19.5,0.0070,,
0.2875,38,12.6,19.5,0.0065,,
0.2960,39,14.1,19.5,0.0070,,
0.3035,40,15.2,19.5,0.0070,,
0.3120,41,16.3,19.5,0.0075,,
0.3205,42,17.7,19.5,0.0075,,
0.3290,43,18.7,19.5,0.0070,,
0.3375,44,19.3,19.5,0.0070,,
0.3460,45,20.3,19.5,0.0075,,
0.3535,46,22.0,19.5,0.0070,,
0.3620,47,22.6,19.5,0.0075,,
0.3705,48,23.4,19.5,0.0070,,
0.3790,49,24.2,19.5,0.0070,,
0.3870,50,25.5,19.5,0.0065,,
0.3950,51,26.4,19.5,0.0075,,
0.4035,52,27.9,19.5,0.0075,,
0.4115,53,29.0,19.5,0.0075,,
0.4200,54,30.1,19.5,0.0070,,
0.4285,55,30.9,19.5,0.0070,,
0.4370,56,33.6,19.5,0.0070,,
0.4445,57,34.3,19.5,0.0070,,
0.4530,58,34.9,19.5,0.0075,,
0.4615,59,35.8,19.5,0.0070,,
0.4700,60,36.4,19.5,0.0070,,
0.4785,61,37.0,19.5,0.0070,,
0.4865,62,37.9,19.5,0.0075,,
0.4940,63,38.7,19.5,0.0070,,
0.5025,64,39.4,19.5,0.0075,,
0.5110,65,40.2,19.5,0.0070,,
0.5195,66,40.8,19.5,0.0070,,
0.5280,67,41.1,19.5,0.0070,,
0.5355,68,41.9,19.5,0.0070,,
0.5440,69,42.5,19.5,0.0075,,
0.5525,70,43.4,19.5,0.0075,,
0.5610,71,44.2,19.5,0.0070,,
0.5690,72,45.1,19.5,0.0065,,
0.5775,73,46.1,19.5,0.0070,,
0.5855,74,46.9,19.5,0.0075,,
0.5935,75,48.2,19.5,0.0075,,
0.6020,76,49.4,19.5,0.0070,,
0.6105,77,50.2,19.5,0.0070,,
0.6190,78,51.1,19.5,0.0070,,
0.6265,79,51.8,19.5,0.0070,,
0.6350,80,52.6,19.5,0.0075,,
0.6435,81,55.0,19.5,0.0075,,
0.6520,82,55.2,19.5,0.0070,,
0.6605,83,55.5,19.5,0.0070,,
0.6690,84,56.4,19.5,0.0070,,
0.6765,85,56.8,19.5,0.0070,,
0.6850,86,57.4,19.5,0.0075,,
0.6930,87,58.6,19.5,0.0065,,
0.7015,88,59.6,19.5,0.0070,,
0.7100,89,60.9,19.5,0.0070,,
0.7185,90,61.6,19.5,0.0075,,
0.7260,91,62.9,19.5,0.0070,,
0.7345,92,64.2,19.5,0.0075,,
0.7430,93,65.1,19.5,0.0070,,
0.7515,94,66.4,19.5,0.0070,,
0.7600,95,66.9,19.5,0.0070,,
0.7675,96,67.5,19.5,0.0070,,
0.7760,97,68.0,19.5,0.0075,,
0.7845,98,69.0,19.5,0.0070,,
0.7925,99,70.3,19.5,0.0065,,
0.8010,100,71.3,19.5,0.0070,,
0.8095,101,72.4,19.5,0.0070,,
0.8170,102,73.3,19.5,0.0070,,
0.8255,103,74.9,19.5,0.0075,,
0.8340,104,76.0,19.5,0.0070,,
0.8425,105,77.8,19.5,0.0070,,
0.8510,106,79.0,19.5,0.0070,,
0.8585,107,79.8,19.5,0.0070,,
0.8670,108,81.0,19.5,0.0075,,
0.8755,109,82.1,19.5,0.0075,,
0.8835,110,83.5,19.5,0.0065,,
0.8920,111,84.6,19.5,0.0070,,
0.9005,112,85.0,19.5,0.0070,,
0.9080,113,86.3,19.5,0.0070,,
0.9165,114,88.0,19.5,0.0075,,
0.9250,115,89.4,19.5,0.0070,,
0.9335,116,92.3,19.5,0.0070,,
0.9420,117,94.2,19.5,0.0070,,
0.9495,118,95.5,19.5,0.0070,,
0.9580,119,97.4,19.5,0.0075,,
0.9665,120,99.5,19.5,0.0075,,
0.9750,121,101.2,19.5,0.0070,,
0.9830,122,103.4,19.5,0.0065,,
0.9915,123,105.4,19.5,0.0070,,
0.9990,124,107.8,19.5,0.0070,,
1.0075,125,109.5,19.5,0.0075,,
1.0160,126,112.0,19.5,0.0070,,
1.0245,127,114.9,19.5,0.0070,,
1.0330,128,117.8,19.5,0.0070,,
1.0415,129,120.6,19.5,0.0075,,
1.0490,130,123.9,19.5,0.0070,,
1.0575,131,127.5,19.5,0.0075,,
1.0660,132,131.4,19.5,0.0070,,
1.0740,133,135.5,19.5,0.0065,,
1.0825,134,140.0,19.5,0.0070,,
1.0905,135,143.9,19.5,0.0075,,
1.0985,136,148.5,19.5,0.0075,,
1.1070,137,151.9,19.5,0.0070,,
1.1155,138,155.4,19.5,0.0070,,
1.1240,139,158.7,19.5,0.0070,,
1.1325,140,161.8,19.5,0.0075,,
1.1400,141,165.5,19.5,0.0070,,
1.1485,142,167.8,19.5,0.0075,,
1.1570,143,170.4,19.5,0.0070,,
1.1655,144,173.3,19.5,0.0070,,
1.1740,145,175.9,19.5,0.0070,,
1.1815,146,177.3,19.5,0.0070,,
1.1900,147,179.3,19.5,0.0075,,
1.1980,148,181.4,19.5,0.0075,,
1.2065,149,183.3,19.5,0.0070,,
1.2150,150,185.0,19.5,0.0070,,
1.2200,151,186.4,19.5,0.0040,,
1.2205,152,187.1,19.5,0.0005,,
1.2210,153,187.2,19.5,0.0005,,
1.2215,154,187.8,19.5,0.0005,,
1.2225,155,187.7,19.5,0.0010,,
1.2240,156,187.5,19.5,0.0010,,
1.2265,157,187.8,19.5,0.0025,,
1.2300,158,187.9,19.5,0.0030,,
1.2320,159,188.3,19.5,0.0020,,
1.2330,160,189.1,19.5,0.0010,,
1.2335,161,189.6,19.5,0.0005,,
1.2335,161,190.1,19.5,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.8,19.7,NaN,,
0.0005,1,189.2,19.7,0.0005,,
0.0020,2,189.6,19.7,0.0015,,
0.0050,3,190.3,19.7,0.0025,,
0.0090,4,190.4,19.7,0.0035,,
0.0150,5,191.1,19.7,0.0050,,
0.0235,6,192.0,19.7,0.0070,,
0.0310,7,192.8,19.7,0.0070,,
0.0395,8,194.0,19.7,0.0075,,
0.0480,9,195.3,19.7,0.0070,,
0.0565,10,195.9,19.7,0.0070,,
0.0650,11,196.5,19.7,0.0070,,
0.0725,12,197.3,19.7,0.0070,,
0.0810,13,198.2,19.7,0.0075,,
0.0895,14,199.0,19.7,0.0075,,
0.0975,15,200.2,19.7,0.0065,,
0.1060,16,201.3,19.7,0.0070,,
0.1145,17,202.2,19.7,0.0070,,
0.1220,18,202.8,19.7,0.0070,,
0.1305,19,203.2,19.7,0.0075,,
0.1390,20,203.7,19.7,0.0075,,
0.1475,21,204.4,19.7,0.0070,,
0.1560,22,205.1,19.7,0.0070,,
0.1640,23,205.9,19.7,0.0065,,
0.1720,24,206.5,19.7,0.0075,,
0.1800,25,207.2,19.7,0.0075,,
0.1885,26,208.2,19.7,0.0070,,
0.1970,27,209.1,19.7,0.0070,,
0.2055,28,209.8,19.7,0.0070,,
0.2140,29,210.1,19.7,0.0070,,
0.2215,30,210.3,19.7,0.0070,,
0.2300,31,210.7,19.7,0.0075,,
0.2385,32,211.2,19.7,0.0070,,
0.2470,33,212.0,19.7,0.0070,,
0.2550,34,213.1,19.7,0.0065,,
0.2635,35,213.6,19.7,0.0075,,
0.2715,36,214.4,19.7,0.0075,,
0.2795,37,214.9,19.7,0.0075,,
0.2880,38,215.3,19.7,0.0070,,
0.2965,39,215.7,19.7,0.0070,,
0.3050,40,215.6,19.7,0.0070,,
0.3125,41,215.8,19.7,0.0070,,
0.3210,42,216.1,19.7,0.0075,,
0.3295,43,216.7,19.7,0.0070,,
0.3380,44,217.5,19.7,0.0070,,
0.3465,45,218.2,19.7,0.0070,,
0.3545,46,218.0,19.7,0.0075,,
0.3625,47,218.7,19.7,0.0075,,
0.3705,48,219.5,19.7,0.0075,,
0.3790,49,220.1,19.7,0.0070,,
0.3875,50,220.5,19.7,0.0070,,
0.3960,51,220.4,19.7,0.0070,,
0.4035,52,221.3,19.7,0.0070,,
0.4120,53,221.2,19.7,0.0075,,
0.4205,54,220.9,19.7,0.0070,,
0.4290,55,221.6,19.7,0.0070,,
0.4375,56,221.7,19.7,0.0070,,
0.4460,57,222.0,19.7,0.0075,,
0.4535,58,222.7,19.7,0.0070,,
0.4620,59,223.4,19.7,0.0075,,
0.4700,60,223.9,19.7,0.0065,,
0.4785,61,224.5,19.7,0.0070,,
0.4870,62,224.8,19.7,0.0070,,
0.4945,63,225.1,19.7,0.0070,,
0.5030,64,225.2,19.7,0.0075,,
0.5115,65,225.3,19.7,0.0070,,
0.5200,66,225.0,19.7,0.0070,,
0.5285,67,225.4,19.7,0.0070,,
0.5370,68,225.6,19.7,0.0070,,
0.5445,69,225.9,19.7,0.0070,,
0.5530,70,226.4,19.7,0.0075,,
0.5615,71,227.3,19.7,0.0070,,
0.5695,72,227.9,19.7,0.0065,,
0.5780,73,228.2,19.7,0.0070,,
0.5855,74,228.5,19.7,0.0070,,
0.5940,75,228.8,19.7,0.0075,,
0.6025,76,229.1,19.7,0.0075,,
0.6110,77,229.3,19.7,0.0070,,
0.6195,78,229.1,19.7,0.0070,,
0.6280,79,229.2,19.7,0.0070,,
0.6355,80,229.4,19.7,0.0070,,
0.6440,81,229.4,19.7,0.0075,,
0.6525,82,229.5,19.7,0.0070,,
0.6605,83,229.8,19.7,0.0065,,
0.6690,84,230.1,19.7,0.0070,,
0.6775,85,230.3,19.7,0.0075,,
0.6850,86,230.6,19.7,0.0070,,
0.6935,87,231.0,19.7,0.0075,,
0.7020,88,231.8,19.7,0.0070,,
0.7105,89,232.4,19.7,0.0070,,
0.7190,90,232.6,19.7,0.0070,,
0.7265,91,232.5,19.7,0.0070,,
0.7350,92,232.7,19.7,0.0075,,
0.7435,93,233.5,19.7,0.0075,,
0.7520,94,233.8,19.7,0.0070,,
0.7600,95,233.6,19.7,0.0065,,
0.7685,96,233.4,19.7,0.0075,,
0.7760,97,233.2,19.7,0.0070,,
0.7845,98,233.6,19.7,0.0075,,
0.7930,99,234.5,19.7,0.0070,,
0.8015,100,234.7,19.7,0.0070,,
0.8100,101,235.0,19.7,0.0070,,
0.8185,102,234.9,19.7,0.0075,,
0.8260,103,234.6,19.7,0.0070,,
0.8345,104,234.7,19.7,0.0075,,
0.8430,105,235.2,19.7,0.0070,,
0.8510,106,235.5,19.7,0.0065,,
0.8595,107,236.0,19.7,0.0070,,
0.8670,108,236.2,19.7,0.0070,,
0.8755,109,236.9,19.7,0.0075,,
0.8840,110,237.0,19.7,0.0070,,
0.8925,111,237.1,19.7,0.0070,,
0.9010,112,237.3,19.7,0.0070,,
0.9085,113,234.2,19.7,0.0060,,
0.9090,114,232.1,19.7,0.0005,,
0.9100,115,237.6,19.7,0.0010,,
0.9110,116,238.0,19.7,0.0010,,
0.9115,117,236.5,19.7,0.0005,,
0.9115,118,236.7,19.7,0.0000,,
0.9120,119,236.8,19.7,0.0005,,
0.9135,120,237.0,19.7,0.0015,,
0.9155,121,237.6,19.7,0.0020,,
0.9185,122,237.7,19.7,0.0025,,
0.9225,123,238.0,19.7,0.0035,,
0.9290,124,238.2,19.7,0.0055,,
0.9365,125,238.3,19.7,0.0070,,
0.9450,126,238.5,19.7,0.0075,,
0.9535,127,238.4,19.7,0.0070,,
0.9615,128,238.0,19.7,0.0065,,
0.9700,129,237.9,19.7,0.0070,,
0.9770,130,238.3,19.7,0.0060,,
0.9780,131,238.3,19.7,0.0010,,
0.9785,132,238.5,19.7,0.0005,,
0.9795,133,239.1,19.7,0.0010,,
0.9815,134,239.6,19.7,0.0015,,
0.9825,135,239.3,19.7,0.0010,,
0.9830,136,239.2,19.7,0.0005,,
0.9840,137,239.1,19.7,0.0010,,
0.9845,138,238.7,19.7,0.0005,,
0.9855,139,238.5,19.7,0.0010,,
0.9860,140,238.8,19.7,0.0005,,
0.9870,141,239.0,19.7,0.0010,,
0.9885,142,239.0,19.7,0.0015,,
0.9900,143,239.5,19.7,0.0015,,
0.9920,144,239.8,19.7,0.0015,,
0.9930,145,239.7,19.7,0.0010,,
0.9945,146,239.6,19.7,0.0010,,
0.9955,147,239.8,19.7,0.0010,,
0.9965,148,239.5,19.7,0.0010,,
0.9975,149,239.0,19.7,0.0010,,
0.9990,150,238.9,19.7,0.0010,,
1.0000,151,240.1,19.7,0.0010,,
