Raw Data
Scope 1/1, Sample 1/2 (Batch168_01)
Method Function,Sample (S1)
Creation time,4/2/2018 9:59:48 AM,
Sample start time,4/2/2018 9:59:48 AM,
Sample size,50.0271 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/2/2018 9:59:49 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/2/2018 9:59:58 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.122700 mmol,
VEQ1,1.2270 mL,
EST,-41.7 mV,
VEX,0 mL,
VEND,1.2270 mL,
t,02:45 min,
QEND,0.122700 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,4/2/2018 10:02:55 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/2/2018 10:09:55 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.091200 mmol,
VEQ1,0.9120 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9120 mL,
t,02:43 min,
QEND,0.091200 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/2 (Batch168_02)
Method Function,Sample (S1)
Creation time,4/2/2018 10:12:59 AM,
Sample start time,4/2/2018 10:12:59 AM,
Sample size,50.0673 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/2/2018 10:12:59 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/2/2018 10:12:59 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.122650 mmol,
VEQ1,1.2265 mL,
EST,-46.4 mV,
VEX,0 mL,
VEND,1.2265 mL,
t,02:47 min,
QEND,0.122650 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,4/2/2018 10:15:55 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/2/2018 10:22:56 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.091700 mmol,
VEQ1,0.9170 mL,
EST,189.7 mV,
VEX,0 mL,
VEND,0.9170 mL,
t,02:44 min,
QEND,0.091700 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T346
Scope 1/1, Sample 1/2 (Batch168_01)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-41.7,21.8,NaN,,
0.0005,1,-59.4,22.0,0.0005,,
0.0020,2,-59.6,22.0,0.0015,,
0.0050,3,-59.9,22.1,0.0025,,
0.0085,4,-59.5,22.1,0.0030,,
0.0150,5,-59.1,22.1,0.0055,,
0.0235,6,-58.2,22.1,0.0070,,
0.0310,7,-58.1,22.1,0.0070,,
0.0395,8,-57.1,22.1,0.0075,,
0.0480,9,-55.8,22.1,0.0070,,
0.0565,10,-54.1,22.1,0.0070,,
0.0645,11,-52.5,22.1,0.0065,,
0.0730,12,-50.9,22.1,0.0075,,
0.0805,13,-49.0,22.1,0.0070,,
0.0890,14,-47.1,22.1,0.0075,,
0.0975,15,-45.0,22.1,0.0070,,
0.1060,16,-42.8,22.1,0.0070,,
0.1145,17,-40.7,22.1,0.0070,,
0.1230,18,-38.1,22.1,0.0075,,
0.1305,19,-35.2,22.1,0.0070,,
0.1390,20,-32.0,22.1,0.0075,,
0.1470,21,-29.3,22.1,0.0065,,
0.1555,22,-26.2,22.1,0.0070,,
0.1640,23,-22.9,22.1,0.0070,,
0.1725,24,-19.1,22.1,0.0075,,
0.1800,25,-16.2,22.1,0.0070,,
0.1885,26,-12.8,22.1,0.0075,,
0.1970,27,-9.7,22.1,0.0070,,
0.2055,28,-6.6,22.1,0.0070,,
0.2140,29,-3.7,22.1,0.0070,,
0.2215,30,-1.4,22.1,0.0070,,
0.2300,31,0.7,22.1,0.0075,,
0.2380,32,2.7,22.1,0.0075,,
0.2465,33,3.9,22.1,0.0070,,
0.2550,34,5.5,22.1,0.0070,,
0.2635,35,6.8,22.1,0.0070,,
0.2720,36,8.3,22.1,0.0075,,
0.2795,37,10.0,22.1,0.0070,,
0.2880,38,11.7,22.1,0.0075,,
0.2965,39,12.9,22.1,0.0070,,
0.3045,40,14.2,22.1,0.0065,,
0.3130,41,15.4,22.0,0.0070,,
0.3205,42,16.3,22.0,0.0070,,
0.3290,43,17.6,22.0,0.0075,,
0.3375,44,18.6,22.0,0.0075,,
0.3460,45,19.8,22.0,0.0070,,
0.3545,46,20.5,22.0,0.0070,,
0.3630,47,21.6,22.0,0.0070,,
0.3705,48,22.5,22.0,0.0070,,
0.3790,49,23.5,22.0,0.0075,,
0.3875,50,24.1,22.0,0.0075,,
0.3955,51,25.1,22.0,0.0065,,
0.4040,52,26.1,22.0,0.0070,,
0.4125,53,26.8,22.0,0.0070,,
0.4200,54,27.8,22.0,0.0070,,
0.4285,55,28.5,22.0,0.0075,,
0.4370,56,29.4,22.0,0.0070,,
0.4455,57,30.3,22.0,0.0070,,
0.4540,58,31.2,22.0,0.0070,,
0.4625,59,31.8,22.0,0.0075,,
0.4700,60,32.9,22.0,0.0070,,
0.4785,61,33.9,22.0,0.0075,,
0.4865,62,35.0,22.0,0.0065,,
0.4950,63,35.8,22.0,0.0070,,
0.5035,64,37.0,22.0,0.0070,,
0.5110,65,37.6,22.0,0.0070,,
0.5195,66,38.4,22.0,0.0075,,
0.5280,67,39.2,22.0,0.0075,,
0.5365,68,39.8,22.0,0.0070,,
0.5450,69,40.4,22.0,0.0070,,
0.5535,70,41.2,22.0,0.0070,,
0.5610,71,42.0,22.0,0.0070,,
0.5695,72,42.9,22.0,0.0075,,
0.5775,73,43.6,22.0,0.0075,,
0.5860,74,44.6,22.0,0.0070,,
0.5945,75,45.9,22.0,0.0070,,
0.6030,76,46.5,22.0,0.0070,,
0.6105,77,47.1,22.0,0.0070,,
0.6190,78,48.1,22.0,0.0075,,
0.6275,79,48.9,22.0,0.0075,,
0.6360,80,49.9,22.0,0.0070,,
0.6440,81,51.0,22.0,0.0065,,
0.6525,82,51.7,22.0,0.0070,,
0.6600,83,51.8,22.0,0.0070,,
0.6685,84,52.9,22.0,0.0075,,
0.6770,85,54.0,22.0,0.0075,,
0.6855,86,55.2,22.0,0.0070,,
0.6940,87,56.2,22.0,0.0070,,
0.7025,88,56.7,22.0,0.0070,,
0.7100,89,57.4,22.0,0.0070,,
0.7185,90,58.4,22.0,0.0075,,
0.7265,91,59.4,22.0,0.0075,,
0.7350,92,60.4,22.0,0.0070,,
0.7435,93,61.3,22.0,0.0070,,
0.7520,94,62.1,22.0,0.0070,,
0.7595,95,63.6,22.0,0.0070,,
0.7680,96,64.2,22.0,0.0075,,
0.7765,97,64.4,22.0,0.0075,,
0.7850,98,65.1,22.0,0.0070,,
0.7935,99,66.3,22.0,0.0070,,
0.8015,100,67.2,22.0,0.0065,,
0.8095,101,68.1,22.0,0.0075,,
0.8175,102,68.9,22.0,0.0075,,
0.8260,103,69.8,22.0,0.0070,,
0.8345,104,71.4,22.0,0.0070,,
0.8430,105,73.5,22.0,0.0070,,
0.8515,106,74.3,22.0,0.0075,,
0.8590,107,74.7,22.0,0.0070,,
0.8675,108,75.8,22.0,0.0075,,
0.8760,109,77.0,22.0,0.0070,,
0.8845,110,78.3,22.0,0.0070,,
0.8925,111,79.8,22.0,0.0065,,
0.9010,112,81.2,22.0,0.0075,,
0.9085,113,83.0,22.0,0.0070,,
0.9170,114,83.9,22.0,0.0075,,
0.9255,115,84.9,22.0,0.0070,,
0.9340,116,86.6,22.0,0.0070,,
0.9425,117,88.7,22.0,0.0070,,
0.9500,118,90.3,22.0,0.0070,,
0.9585,119,92.2,22.0,0.0075,,
0.9670,120,94.5,22.0,0.0075,,
0.9755,121,96.9,22.0,0.0070,,
0.9835,122,98.6,22.0,0.0065,,
0.9920,123,100.8,22.0,0.0070,,
0.9995,124,102.8,22.0,0.0070,,
1.0080,125,105.2,22.0,0.0075,,
1.0165,126,108.6,22.0,0.0075,,
1.0250,127,110.9,22.0,0.0070,,
