Raw Data
Scope 1/1, Sample 1/2 (Batch168_01)
Method Function,Sample (S1)
Creation time,4/3/2018 7:23:49 AM,
Sample start time,4/3/2018 7:23:49 AM,
Sample size,50.0162 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 7:23:49 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/3/2018 7:23:59 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.123917 mmol,
VEQ1,1.239167 mL,
EST,-41.2 mV,
VEX,0.000333 mL,
VEND,1.239499 mL,
t,02:48 min,
QEND,0.123950 mmol,
QEX,0.000033 mmol,
Method Function,Stir (Stir1)
Creation time,4/3/2018 7:26:56 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/3/2018 7:33:57 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094150 mmol,
VEQ1,0.9415 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9415 mL,
t,02:27 min,
QEND,0.094150 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/2 (Batch168_02)
Method Function,Sample (S1)
Creation time,4/3/2018 7:36:45 AM,
Sample start time,4/3/2018 7:36:45 AM,
Sample size,50.0672 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 7:36:45 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/3/2018 7:36:45 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.123117 mmol,
VEQ1,1.231167 mL,
EST,-47.3 mV,
VEX,0.000333 mL,
VEND,1.231500 mL,
t,02:48 min,
QEND,0.123150 mmol,
QEX,0.000033 mmol,
Method Function,Stir (Stir1)
Creation time,4/3/2018 7:39:42 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/3/2018 7:46:43 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094250 mmol,
VEQ1,0.9425 mL,
EST,189.8 mV,
VEX,0.000499 mL,
VEND,0.942999 mL,
t,02:19 min,
QEND,0.094300 mmol,
QEX,0.000050 mmol,

Table of Measured Values
Task,T351
Scope 1/1, Sample 1/2 (Batch168_01)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-41.2,21.0,NaN,,
0.0005,1,-59.0,21.2,0.0005,,
0.0020,2,-59.6,21.3,0.0015,,
0.0050,3,-60.4,21.3,0.0025,,
0.0085,4,-60.5,21.3,0.0030,,
0.0145,5,-60.1,21.3,0.0050,,
0.0230,6,-59.5,21.3,0.0070,,
0.0305,7,-58.9,21.3,0.0070,,
0.0390,8,-57.8,21.3,0.0075,,
0.0475,9,-56.8,21.3,0.0070,,
0.0560,10,-55.9,21.3,0.0070,,
0.0640,11,-54.1,21.3,0.0065,,
0.0725,12,-52.4,21.3,0.0070,,
0.0800,13,-50.9,21.3,0.0070,,
0.0885,14,-49.1,21.3,0.0075,,
0.0970,15,-47.3,21.3,0.0075,,
0.1055,16,-45.1,21.3,0.0070,,
0.1140,17,-42.8,21.3,0.0070,,
0.1225,18,-40.5,21.3,0.0070,,
0.1300,19,-38.0,21.3,0.0070,,
0.1380,20,-35.2,21.3,0.0075,,
0.1465,21,-31.9,21.3,0.0075,,
0.1550,22,-28.6,21.3,0.0070,,
0.1635,23,-25.1,21.3,0.0070,,
0.1720,24,-21.6,21.3,0.0070,,
0.1795,25,-18.7,21.3,0.0070,,
0.1880,26,-14.6,21.3,0.0075,,
0.1965,27,-11.2,21.3,0.0075,,
0.2050,28,-8.1,21.3,0.0070,,
0.2130,29,-5.3,21.3,0.0065,,
0.2215,30,-2.8,21.3,0.0070,,
0.2290,31,0.5,21.3,0.0070,,
0.2375,32,1.7,21.3,0.0075,,
0.2460,33,3.4,21.3,0.0075,,
0.2545,34,4.7,21.3,0.0070,,
0.2630,35,5.8,21.3,0.0070,,
0.2715,36,6.9,21.3,0.0070,,
0.2790,37,8.5,21.3,0.0070,,
0.2875,38,9.6,21.3,0.0075,,
0.2955,39,10.9,21.3,0.0065,,
0.3040,40,12.4,21.3,0.0070,,
0.3125,41,13.9,21.3,0.0070,,
0.3210,42,15.0,21.3,0.0075,,
0.3285,43,16.2,21.3,0.0070,,
0.3370,44,17.7,21.3,0.0075,,
0.3455,45,18.8,21.3,0.0070,,
0.3540,46,20.2,21.3,0.0070,,
0.3620,47,21.0,21.3,0.0065,,
0.3705,48,21.6,21.3,0.0070,,
0.3780,49,22.1,21.3,0.0070,,
0.3865,50,22.9,21.3,0.0075,,
0.3950,51,24.0,21.3,0.0075,,
0.4035,52,25.2,21.3,0.0070,,
0.4120,53,26.5,21.3,0.0070,,
0.4205,54,27.6,21.3,0.0070,,
0.4280,55,28.2,21.3,0.0070,,
0.4365,56,29.4,21.3,0.0075,,
0.4450,57,30.5,21.3,0.0075,,
0.4530,58,31.3,21.3,0.0065,,
0.4615,59,32.3,21.3,0.0070,,
0.4700,60,33.0,21.3,0.0070,,
0.4775,61,33.8,21.3,0.0070,,
0.4860,62,34.6,21.3,0.0075,,
0.4945,63,35.5,21.3,0.0070,,
0.5030,64,36.2,21.3,0.0070,,
0.5115,65,37.1,21.3,0.0070,,
0.5195,66,37.6,21.3,0.0065,,
0.5275,67,38.4,21.3,0.0075,,
0.5355,68,38.7,21.3,0.0075,,
0.5440,69,39.3,21.3,0.0070,,
0.5525,70,40.2,21.3,0.0070,,
0.5610,71,40.9,21.3,0.0070,,
0.5695,72,41.8,21.3,0.0075,,
0.5770,73,42.6,21.3,0.0070,,
0.5855,74,43.5,21.3,0.0075,,
0.5940,75,44.6,21.3,0.0070,,
0.6025,76,45.8,21.3,0.0070,,
0.6105,77,46.9,21.3,0.0065,,
0.6185,78,47.6,21.3,0.0075,,
0.6265,79,48.5,21.3,0.0075,,
0.6350,80,49.2,21.3,0.0075,,
0.6435,81,49.6,21.3,0.0070,,
0.6520,82,50.4,21.3,0.0070,,
0.6605,83,51.5,21.3,0.0070,,
0.6680,84,52.3,21.3,0.0070,,
0.6765,85,53.1,21.3,0.0075,,
0.6850,86,53.6,21.3,0.0075,,
0.6930,87,54.4,21.3,0.0065,,
0.7015,88,54.8,21.3,0.0070,,
0.7100,89,55.4,21.3,0.0070,,
0.7175,90,56.2,21.3,0.0070,,
0.7260,91,57.6,21.3,0.0075,,
0.7345,92,58.7,21.3,0.0070,,
0.7430,93,60.0,21.3,0.0070,,
0.7515,94,60.9,21.3,0.0070,,
0.7600,95,61.7,21.3,0.0075,,
0.7675,96,62.8,21.3,0.0070,,
0.7760,97,63.8,21.3,0.0075,,
0.7840,98,64.7,21.3,0.0065,,
0.7925,99,65.4,21.3,0.0070,,
0.8010,100,66.0,21.3,0.0070,,
0.8085,101,66.8,21.3,0.0070,,
0.8170,102,67.6,21.3,0.0075,,
0.8255,103,69.0,21.3,0.0075,,
0.8340,104,70.1,21.3,0.0070,,
0.8425,105,71.2,21.3,0.0070,,
0.8510,106,73.0,21.3,0.0070,,
0.8590,107,74.4,21.3,0.0075,,
0.8670,108,75.2,21.3,0.0075,,
0.8750,109,76.1,21.3,0.0075,,
0.8835,110,77.3,21.3,0.0070,,
0.8920,111,78.9,21.3,0.0070,,
0.9005,112,80.5,21.3,0.0070,,
0.9080,113,81.6,21.3,0.0070,,
0.9165,114,82.7,21.3,0.0075,,
0.9250,115,83.8,21.3,0.0075,,
0.9335,116,85.5,21.3,0.0070,,
0.9420,117,87.8,21.3,0.0070,,
0.9500,118,89.3,21.3,0.0065,,
0.9580,119,90.6,21.3,0.0075,,
0.9660,120,92.4,21.3,0.0075,,
0.9745,121,93.8,21.3,0.0075,,
0.9830,122,96.2,21.3,0.0070,,
0.9915,123,98.2,21.3,0.0070,,
1.0000,124,100.5,21.3,0.0070,,
1.0075,125,103.1,21.3,0.0070,,
1.0160,126,106.1,21.3,0.0075,,
1.0245,127,109.3,21.3,0.0075,,
1.0325,128,111.7,21.3,0.0065,,
1.0410,129,114.9,21.2,0.0070,,
1.0495,130,118.3,21.3,0.0070,,
1.0570,131,121.1,21.2,0.0070,,
1.0655,132,125.5,21.3,0.0075,,
1.0740,133,128.9,21.2,0.0075,,
1.0825,134,133.2,21.2,0.0070,,
1.0905,135,137.5,21.3,0.0065,,
1.0990,136,142.7,21.2,0.0070,,
1.1065,137,146.0,21.2,0.0070,,
1.1150,138,150.1,21.3,0.0075,,
1.1235,139,154.6,21.2,0.0075,,
1.1320,140,158.8,21.2,0.0070,,
1.1405,141,162.3,21.2,0.0070,,
1.1490,142,165.2,21.2,0.0070,,
1.1575,143,167.9,21.2,0.0075,,
1.1650,144,171.3,21.2,0.0070,,
1.1735,145,173.8,21.2,0.0075,,
1.1815,146,176.0,21.2,0.0065,,
1.1900,147,178.3,21.2,0.0070,,
1.1985,148,180.2,21.2,0.0070,,
1.2060,149,181.9,21.2,0.0070,,
