Resource Data
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
After Scope 1 / 1
Method Function,Calibration (Calibration1)
Sensor type,pH,
Unit,pH,
Sensor input,AB1/Sensor1,
Serial number,,
Calibration,Segmented,
Number of segments,2,
Zero point 1,6.915 pH,
Slope 1 (TCalib),-57.92 mV/pH,
Slope 1 (25.0 °C),-58.41 mV/pH,
Slope 1,98.73 %,
Segment limit 1, 2,7.010 pH,
Zero point 2,6.915 pH,
Slope 2 (TCalib),-58.18 mV/pH,
Slope 2 (25.0 °C),-58.67 mV/pH,
Slope 2,99.17 %,
Int. temp. sensor,No,
Calib. temperature,22.5 °C,
Calibration method,pH_calibration_7_4_10,
Date / Time,2/13/2018 10:03:03 AM,
Performed by,SystemInternal,
Mon. usable life,No,
Mon. life span,No,

Table of Measured Values
Task,T253
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Result,Measurenormal1
t,E,T
1,-5.2,21.7
2,-5.2,21.7
3,-5.2,21.7
4,-5.2,21.7
5,-5.2,21.7
6,-5.2,21.7
7,-5.2,21.7
8,-5.2,21.7
9,-5.2,21.7
10,-5.3,21.7
11,-5.2,21.7
12,-5.3,21.7
13,-5.2,21.7
14,-5.2,21.7
15,-5.2,21.7
16,-5.2,21.7
17,-5.3,21.7
18,-5.3,21.7
19,-5.3,21.7
20,-5.3,21.7
21,-5.3,21.7
22,-5.2,21.7
23,-5.3,21.7
24,-5.3,21.7
25,-5.3,21.7
26,-5.3,21.7
27,-5.3,21.7
28,-5.3,21.7
29,-5.3,21.7
30,-5.3,21.7
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Result,Measurenormal1
t,E,T
1,168.7,21.7
2,168.7,21.7
3,168.7,21.7
4,168.7,21.7
5,168.8,21.7
6,168.8,21.7
7,168.8,21.7
8,168.8,21.7
9,168.8,21.7
10,168.8,21.7
11,168.8,21.7
12,168.8,21.7
13,168.8,21.7
14,168.8,21.7
15,168.8,21.7
16,168.8,21.7
17,168.8,21.7
18,168.8,21.7
19,168.8,21.7
20,168.8,21.7
21,168.8,21.7
22,168.8,21.7
23,168.8,21.7
24,168.8,21.7
25,168.8,21.7
26,168.8,21.7
27,168.8,21.7
28,168.8,21.7
29,168.8,21.7
30,168.8,21.7
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Result,Measurenormal1
t,E,T
1,-180.6,21.7
2,-180.7,21.7
3,-180.7,21.7
4,-180.7,21.7
5,-180.7,21.7
6,-180.7,21.7
7,-180.7,21.7
8,-180.7,21.7
9,-180.7,21.7
10,-180.7,21.7
11,-180.7,21.7
12,-180.7,21.7
13,-180.7,21.7
14,-180.7,21.7
15,-180.7,21.7
16,-180.7,21.7
17,-180.7,21.7
18,-180.7,21.7
19,-180.7,21.7
20,-180.7,21.7
21,-180.7,21.7
22,-180.7,21.7
23,-180.7,21.7
24,-180.7,21.7
25,-180.5,21.7
26,-180.7,21.7
27,-180.9,21.7
28,-180.8,21.7
29,-180.8,21.7
30,-180.7,21.7
