Raw Data
Scope 1/1, Sample 1/9 (8-Aug-16 Bin5)
Method Function,Sample (S1)
QEND,0.100850 mmol,
QEX,0.000250 mmol,
Scope 1/1, Sample 5/9 (8-Aug-16 Bin9)
Method Function,Sample (S1)
Creation time,3/27/2018 1:53:01 PM,
Sample start time,3/27/2018 1:53:01 PM,
Sample size,50.0557 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 1:53:01 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 1:53:01 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.153450 mmol,
VEQ1,1.5345 mL,
EST,-99.4 mV,
VEX,0 mL,
VEND,1.5345 mL,
t,03:23 min,
QEND,0.153450 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 1:56:34 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 2:03:34 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.100950 mmol,
VEQ1,1.0095 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,1.0095 mL,
t,02:23 min,
QEND,0.100950 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 6/9 (8-Aug-16 Bin10)
Method Function,Sample (S1)
Creation time,3/27/2018 2:06:19 PM,
Sample start time,3/27/2018 2:06:19 PM,
Sample size,50.0696 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 2:06:20 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 2:06:20 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.153200 mmol,
VEQ1,1.5320 mL,
EST,-99.1 mV,
VEX,0 mL,
VEND,1.5320 mL,
t,03:25 min,
QEND,0.153200 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 2:09:54 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 2:16:55 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.100900 mmol,
VEQ1,1.0090 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,1.0090 mL,
t,02:19 min,
QEND,0.100900 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 7/9 (8-Aug-16 Bin11)
Method Function,Sample (S1)
Creation time,3/27/2018 2:19:36 PM,
Sample start time,3/27/2018 2:19:36 PM,
Sample size,50.0640 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 2:19:36 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 2:19:36 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.151400 mmol,
VEQ1,1.5140 mL,
EST,-97.2 mV,
VEX,0 mL,
VEND,1.5140 mL,
t,03:24 min,
QEND,0.151400 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 2:23:09 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 2:30:10 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.100700 mmol,
VEQ1,1.0070 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,1.0070 mL,
t,02:35 min,
QEND,0.100700 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 8/9 (8-Aug-16 Bin12)
Method Function,Sample (S1)
Creation time,3/27/2018 2:33:06 PM,
Sample start time,3/27/2018 2:33:06 PM,
Sample size,50.0574 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 2:33:06 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 2:33:06 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.152100 mmol,
VEQ1,1.5210 mL,
EST,-98.8 mV,
VEX,0.000000 mL,
VEND,1.521000 mL,
t,03:25 min,
QEND,0.152100 mmol,
QEX,0.000000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 2:36:41 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 2:43:41 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.103500 mmol,
VEQ1,1.0350 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,1.0350 mL,
t,02:19 min,
QEND,0.103500 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 9/9 (15-Aug-16 Bin1)
Method Function,Sample (S1)
Creation time,3/27/2018 2:46:22 PM,
Sample start time,3/27/2018 2:46:22 PM,
Sample size,50.0341 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 2:46:22 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 2:46:22 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.146096 mmol,
VEQ1,1.460958 mL,
EST,-97.9 mV,
VEX,0.000042 mL,
VEND,1.461000 mL,
t,03:17 min,
QEND,0.146100 mmol,
QEX,0.000004 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 2:49:48 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 2:56:49 PM,
Terminated at,Stop at endpoint,
EEQ1,240 mV,
Q1,0.100250 mmol,
VEQ1,1.0025 mL,
EST,190.2 mV,
VEX,0 mL,
VEND,1.0025 mL,
t,02:27 min,
QEND,0.100250 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T343
Scope 1/1, Sample 1/9 (8-Aug-16 Bin5)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.2,19.8,NaN,,
0.0005,1,-101.3,19.7,0.0005,,
0.0020,2,-101.8,19.7,0.0015,,
0.0050,3,-101.8,19.7,0.0025,,
0.0085,4,-101.8,19.7,0.0030,,
0.0150,5,-101.8,19.7,0.0055,,
0.0235,6,-101.8,19.7,0.0070,,
0.0310,7,-101.8,19.7,0.0070,,
0.0395,8,-101.7,19.7,0.0075,,
0.0480,9,-101.3,19.7,0.0070,,
0.0565,10,-100.4,19.7,0.0070,,
0.0645,11,-100.4,19.7,0.0065,,
0.0730,12,-99.6,19.7,0.0075,,
0.0810,13,-99.1,19.7,0.0075,,
0.0890,14,-98.5,19.7,0.0075,,
0.0975,15,-97.3,19.7,0.0070,,
0.1060,16,-96.0,19.7,0.0070,,
0.1145,17,-95.3,19.7,0.0070,,
0.1220,18,-94.7,19.7,0.0070,,
0.1305,19,-93.8,19.7,0.0075,,
0.1390,20,-92.8,19.7,0.0075,,
0.1475,21,-91.9,19.7,0.0070,,
0.1560,22,-91.2,19.7,0.0070,,
0.1640,23,-90.6,19.7,0.0075,,
0.1720,24,-89.6,19.7,0.0075,,
0.1800,25,-88.9,19.7,0.0075,,
0.1885,26,-87.4,19.7,0.0070,,
0.1970,27,-86.8,19.7,0.0070,,
0.2055,28,-86.3,19.7,0.0070,,
0.2140,29,-85.2,19.7,0.0075,,
0.2215,30,-84.4,19.7,0.0070,,
0.2300,31,-83.1,19.7,0.0075,,
0.2385,32,-81.5,19.7,0.0070,,
0.2470,33,-80.4,19.7,0.0070,,
0.2550,34,-78.9,19.7,0.0065,,
0.2630,35,-77.6,19.7,0.0075,,
0.2710,36,-76.5,19.7,0.0075,,
0.2795,37,-74.8,19.7,0.0075,,
0.2880,38,-72.9,19.7,0.0070,,
0.2965,39,-71.5,19.7,0.0070,,
0.3050,40,-70.3,19.7,0.0075,,
0.3125,41,-69.1,19.7,0.0070,,
0.3210,42,-67.5,19.7,0.0075,,
0.3295,43,-65.7,19.7,0.0070,,
0.3380,44,-63.6,19.7,0.0070,,
0.3465,45,-61.2,19.7,0.0070,,
0.3540,46,-59.1,19.7,0.0070,,
0.3625,47,-56.4,19.7,0.0075,,
0.3710,48,-54.0,19.7,0.0075,,
0.3790,49,-51.5,19.7,0.0065,,
0.3875,50,-48.7,19.7,0.0070,,
0.3960,51,-46.0,19.7,0.0075,,
0.4035,52,-42.9,19.7,0.0070,,
0.4120,53,-39.7,19.7,0.0075,,
0.4205,54,-36.3,19.7,0.0070,,
0.4290,55,-31.8,19.7,0.0070,,
0.4375,56,-27.4,19.7,0.0070,,
0.4450,57,-23.5,19.7,0.0070,,
0.4535,58,-18.6,19.7,0.0075,,
0.4620,59,-14.2,19.7,0.0075,,
0.4700,60,-10.1,19.7,0.0065,,
0.4785,61,-6.3,19.7,0.0070,,
0.4870,62,-2.7,19.7,0.0070,,
0.4945,63,-0.3,19.7,0.0070,,
0.5030,64,1.6,19.7,0.0075,,
0.5115,65,3.5,19.7,0.0070,,
0.5200,66,5.2,19.7,0.0070,,
0.5285,67,6.2,19.7,0.0070,,
0.5360,68,7.6,19.7,0.0070,,
0.5445,69,9.2,19.7,0.0075,,
0.5530,70,10.9,19.7,0.0075,,
0.5615,71,12.3,19.7,0.0070,,
0.5695,72,13.6,19.7,0.0065,,
0.5780,73,14.9,19.7,0.0070,,
0.5855,74,16.1,19.7,0.0070,,
0.5940,75,17.3,19.7,0.0075,,
0.6025,76,18.7,19.7,0.0075,,
0.6110,77,20.4,19.7,0.0070,,
0.6195,78,21.7,19.7,0.0070,,
0.6280,79,22.7,19.7,0.0070,,
0.6355,80,23.8,19.7,0.0070,,
0.6440,81,24.7,19.7,0.0075,,
0.6525,82,26.0,19.7,0.0070,,
0.6605,83,27.1,19.7,0.0065,,
0.6690,84,27.4,19.7,0.0070,,
0.6775,85,28.3,19.7,0.0075,,
0.6850,86,29.1,19.7,0.0070,,
0.6935,87,30.2,19.7,0.0075,,
0.7020,88,31.0,19.7,0.0070,,
0.7105,89,32.4,19.7,0.0070,,
0.7190,90,33.7,19.7,0.0070,,
0.7265,91,34.7,19.7,0.0070,,
0.7350,92,35.3,19.7,0.0075,,
0.7435,93,36.1,19.7,0.0070,,
0.7520,94,36.2,19.7,0.0070,,
0.7600,95,37.4,19.7,0.0065,,
0.7685,96,38.4,19.7,0.0075,,
0.7760,97,39.1,19.7,0.0070,,
0.7845,98,39.9,19.7,0.0075,,
0.7930,99,41.4,19.7,0.0070,,
0.8015,100,43.1,19.7,0.0070,,
0.8100,101,44.0,19.7,0.0070,,
0.8175,102,44.8,19.7,0.0070,,
0.8260,103,45.7,19.7,0.0075,,
0.8345,104,46.1,19.7,0.0075,,
0.8430,105,47.2,19.7,0.0070,,
0.8510,106,48.5,19.7,0.0065,,
0.8595,107,49.0,19.7,0.0070,,
0.8670,108,49.6,19.7,0.0070,,
0.8755,109,50.0,19.7,0.0075,,
0.8840,110,50.8,19.7,0.0070,,
0.8925,111,51.9,19.7,0.0070,,
0.9010,112,53.3,19.7,0.0070,,
0.9085,113,54.0,19.7,0.0070,,
0.9170,114,55.6,19.7,0.0075,,
0.9255,115,56.7,19.7,0.0075,,
0.9340,116,57.5,19.7,0.0070,,
0.9425,117,58.4,19.7,0.0070,,
0.9505,118,59.3,19.7,0.0065,,
0.9585,119,60.4,19.7,0.0075,,
0.9665,120,60.6,19.7,0.0075,,
0.9750,121,61.6,19.7,0.0070,,
0.9835,122,62.4,19.7,0.0070,,
0.9920,123,64.0,19.7,0.0070,,
0.9995,124,65.0,19.7,0.0070,,
1.0080,125,66.5,19.7,0.0075,,
1.0165,126,67.1,19.7,0.0075,,
1.0250,127,68.9,19.7,0.0070,,
1.0335,128,70.1,19.7,0.0070,,
1.0415,129,71.2,19.7,0.0065,,
1.0495,130,72.5,19.7,0.0075,,
1.0580,131,73.9,19.7,0.0075,,
1.0660,132,75.1,19.7,0.0075,,
1.0745,133,76.4,19.7,0.0070,,
1.0830,134,78.2,19.7,0.0070,,
1.0915,135,79.5,19.7,0.0070,,
1.0990,136,81.1,19.7,0.0070,,
1.1075,137,82.5,19.7,0.0075,,
1.1160,138,83.7,19.7,0.0070,,
1.1245,139,84.7,19.7,0.0070,,
1.1330,140,86.6,19.7,0.0070,,
1.1405,141,88.3,19.7,0.0070,,
1.1490,142,90.0,19.7,0.0075,,
1.1570,143,92.1,19.7,0.0075,,
1.1655,144,95.0,19.7,0.0070,,
1.1740,145,97.1,19.7,0.0070,,
1.1825,146,99.6,19.7,0.0070,,
1.1900,147,101.5,19.7,0.0070,,
1.1985,148,104.6,19.7,0.0075,,
1.2070,149,106.8,19.7,0.0075,,
1.2155,150,110.2,19.7,0.0070,,
1.2240,151,113.8,19.7,0.0070,,
1.2320,152,116.6,19.7,0.0065,,
1.2400,153,120.3,19.7,0.0075,,
1.2480,154,124.4,19.7,0.0075,,
1.2565,155,128.2,19.7,0.0070,,
1.2650,156,133.2,19.7,0.0070,,
1.2735,157,138.5,19.7,0.0070,,
1.2820,158,142.1,19.7,0.0075,,
1.2895,159,146.5,19.7,0.0070,,
1.2980,160,151.5,19.7,0.0075,,
1.3065,161,155.7,19.7,0.0070,,
1.3150,162,159.4,19.7,0.0070,,
1.3235,163,162.4,19.7,0.0070,,
1.3310,164,165.1,19.7,0.0070,,
1.3395,165,167.8,19.7,0.0075,,
1.3475,166,171.2,19.7,0.0075,,
1.3560,167,173.5,19.7,0.0070,,
1.3645,168,175.2,19.7,0.0070,,
1.3730,169,177.3,19.7,0.0070,,
1.3805,170,178.9,19.7,0.0070,,
1.3890,171,180.8,19.7,0.0075,,
1.3975,172,183.1,19.7,0.0070,,
1.4050,173,184.8,19.7,0.0060,,
1.4105,174,186.4,19.7,0.0045,,
1.4130,175,187.3,19.7,0.0025,,
1.4135,176,187.8,19.7,0.0005,,
1.4150,177,188.1,19.7,0.0015,,
1.4165,178,188.0,19.7,0.0010,,
1.4195,179,187.6,19.7,0.0025,,
1.4220,180,187.9,19.7,0.0020,,
1.4230,181,188.2,19.7,0.0010,,
1.4235,182,188.5,19.7,0.0005,,
1.4245,183,188.8,19.7,0.0010,,
1.4245,184,189.2,19.7,0.0000,,
1.4250,185,189.5,19.7,0.0005,,
1.4255,185,190.0,19.7,0.0015,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.9,19.9,NaN,,
0.0005,1,189.1,19.9,0.0005,,
0.0025,2,189.2,19.9,0.0015,,
0.0050,3,189.2,19.9,0.0025,,
0.0085,4,189.5,19.9,0.0030,,
0.0145,5,190.1,19.9,0.0055,,
0.0230,6,190.9,19.9,0.0070,,
0.0310,7,192.1,19.9,0.0065,,
0.0395,8,193.3,19.9,0.0070,,
0.0470,9,194.4,19.9,0.0070,,
0.0555,10,195.7,19.9,0.0075,,
0.0640,11,197.0,19.9,0.0070,,
0.0725,12,198.0,19.9,0.0070,,
0.0810,13,198.9,19.9,0.0070,,
0.0885,14,199.8,19.9,0.0070,,
0.0970,15,200.5,19.9,0.0075,,
0.1055,16,201.5,19.9,0.0075,,
0.1140,17,202.6,19.9,0.0070,,
0.1225,18,203.3,19.9,0.0070,,
0.1305,19,203.8,19.9,0.0065,,
0.1385,20,204.8,19.9,0.0075,,
0.1465,21,205.5,19.9,0.0075,,
0.1550,22,206.0,19.9,0.0070,,
0.1635,23,206.4,19.9,0.0070,,
0.1720,24,206.9,19.9,0.0070,,
0.1805,25,207.3,19.9,0.0075,,
0.1880,26,207.7,19.9,0.0070,,
0.1965,27,208.5,19.9,0.0075,,
0.2050,28,209.0,19.9,0.0070,,
0.2135,29,209.6,19.9,0.0070,,
0.2215,30,210.2,19.9,0.0065,,
0.2295,31,210.8,19.9,0.0075,,
0.2375,32,211.7,19.9,0.0075,,
0.2460,33,212.5,19.9,0.0075,,
0.2545,34,213.3,19.9,0.0070,,
0.2630,35,214.0,19.9,0.0070,,
0.2715,36,214.4,19.9,0.0070,,
0.2790,37,214.8,19.9,0.0070,,
0.2875,38,215.4,19.9,0.0075,,
0.2960,39,215.9,19.9,0.0070,,
0.3045,40,216.1,19.9,0.0070,,
0.3130,41,215.8,19.9,0.0070,,
0.3210,42,216.2,19.9,0.0075,,
0.3290,43,216.6,19.9,0.0075,,
0.3370,44,217.0,19.9,0.0075,,
0.3455,45,217.7,19.9,0.0070,,
0.3540,46,218.1,19.9,0.0070,,
0.3625,47,219.0,19.9,0.0070,,
0.3700,48,219.5,19.9,0.0070,,
0.3785,49,220.2,19.9,0.0075,,
0.3870,50,220.5,19.9,0.0070,,
0.3955,51,220.9,19.9,0.0070,,
0.4040,52,221.4,19.9,0.0070,,
0.4120,53,221.5,19.9,0.0065,,
0.4200,54,221.8,19.9,0.0075,,
0.4280,55,221.7,19.9,0.0075,,
0.4365,56,221.7,19.9,0.0070,,
0.4450,57,222.5,19.9,0.0070,,
0.4535,58,223.3,19.9,0.0070,,
0.4610,59,223.5,19.9,0.0070,,
0.4695,60,223.8,19.9,0.0075,,
0.4780,61,224.5,19.9,0.0075,,
0.4865,62,224.9,19.9,0.0070,,
0.4950,63,225.1,19.9,0.0070,,
0.5035,64,225.5,19.9,0.0070,,
0.5110,65,225.5,19.9,0.0070,,
0.5195,66,225.2,19.9,0.0075,,
0.5275,67,225.6,19.9,0.0065,,
0.5360,68,225.5,19.9,0.0070,,
0.5445,69,226.1,19.9,0.0070,,
0.5530,70,226.3,19.9,0.0075,,
0.5605,71,226.8,19.9,0.0070,,
0.5690,72,227.3,19.9,0.0075,,
0.5775,73,227.9,19.9,0.0070,,
0.5860,74,228.5,19.9,0.0070,,
0.5945,75,228.7,19.9,0.0070,,
0.6020,76,229.1,19.9,0.0070,,
0.6105,77,229.4,19.9,0.0075,,
0.6190,78,229.5,19.9,0.0070,,
0.6270,79,229.3,19.9,0.0065,,
0.6355,80,229.1,19.9,0.0070,,
0.6440,81,229.3,19.9,0.0075,,
0.6515,82,229.6,19.9,0.0070,,
0.6600,83,229.8,19.9,0.0075,,
0.6685,84,230.1,19.9,0.0070,,
0.6770,85,230.3,19.9,0.0070,,
0.6855,86,231.1,19.9,0.0070,,
0.6930,87,231.4,19.9,0.0070,,
0.7015,88,232.2,19.9,0.0075,,
0.7100,89,232.5,19.9,0.0075,,
0.7180,90,232.7,19.9,0.0065,,
0.7265,91,232.8,19.9,0.0070,,
0.7350,92,232.9,19.9,0.0070,,
0.7425,93,233.0,19.9,0.0070,,
0.7510,94,233.1,19.9,0.0070,,
0.7595,95,232.8,19.9,0.0070,,
0.7680,96,233.0,19.9,0.0070,,
0.7765,97,233.9,19.9,0.0070,,
0.7850,98,233.5,19.9,0.0075,,
0.7925,99,233.9,19.9,0.0070,,
0.8010,100,234.6,19.9,0.0075,,
0.8095,101,234.9,19.9,0.0070,,
0.8175,102,235.4,19.9,0.0065,,
0.8260,103,235.5,19.9,0.0070,,
0.8335,104,235.7,19.9,0.0070,,
0.8420,105,235.6,19.9,0.0075,,
0.8505,106,235.5,19.9,0.0070,,
0.8590,107,235.4,19.9,0.0070,,
0.8675,108,235.6,19.9,0.0070,,
0.8760,109,235.9,19.9,0.0075,,
0.8835,110,236.6,19.9,0.0070,,
0.8920,111,237.2,19.9,0.0075,,
0.9005,112,237.3,19.9,0.0070,,
0.9090,113,237.4,19.9,0.0070,,
0.9170,114,237.5,19.9,0.0065,,
0.9250,115,237.9,19.9,0.0075,,
0.9330,116,237.8,19.9,0.0075,,
0.9415,117,237.6,19.9,0.0075,,
0.9500,118,237.6,19.9,0.0070,,
0.9575,119,238.2,19.9,0.0060,,
0.9655,120,238.3,19.9,0.0075,,
0.9730,121,238.6,19.9,0.0070,,
0.9780,122,239.1,19.9,0.0045,,
0.9790,123,239.3,19.9,0.0010,,
0.9795,124,239.4,19.9,0.0005,,
0.9810,125,239.5,19.9,0.0010,,
0.9820,126,239.3,19.9,0.0010,,
0.9825,127,238.5,19.9,0.0005,,
0.9835,128,238.4,19.9,0.0010,,
0.9845,129,238.5,19.9,0.0010,,
0.9855,130,238.5,19.9,0.0010,,
0.9860,131,238.5,19.9,0.0005,,
0.9865,132,238.7,19.9,0.0005,,
0.9870,133,238.7,19.9,0.0005,,
0.9880,134,239.1,19.9,0.0010,,
0.9885,135,239.6,19.9,0.0005,,
0.9885,136,239.7,19.9,0.0000,,
0.9905,137,239.7,19.9,0.0015,,
0.9910,138,239.8,19.9,0.0005,,
0.9915,139,239.7,19.9,0.0005,,
0.9920,140,239.2,19.9,0.0005,,
0.9930,141,238.8,19.9,0.0010,,
0.9940,142,238.7,19.9,0.0010,,
0.9955,143,239.1,19.9,0.0015,,
0.9965,144,239.4,19.9,0.0010,,
0.9970,145,239.1,19.9,0.0005,,
0.9980,146,239.8,19.9,0.0010,,
0.9985,147,239.9,19.9,0.0005,,
0.9995,148,239.9,19.9,0.0010,,
1.0000,149,239.9,19.9,0.0005,,
1.0010,150,239.8,19.9,0.0010,,
1.0015,151,239.4,19.9,0.0005,,
1.0030,152,239.0,19.9,0.0010,,
1.0045,153,240.0,19.9,0.0010,,
Scope 1/1, Sample 2/9 (8-Aug-16 Bin6)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-100.2,19.6,NaN,,
0.0005,1,-104.8,19.6,0.0005,,
0.0020,2,-104.8,19.6,0.0015,,
0.0050,3,-105.1,19.6,0.0025,,
0.0085,4,-104.9,19.6,0.0030,,
0.0145,5,-104.5,19.6,0.0050,,
0.0230,6,-104.4,19.6,0.0070,,
0.0305,7,-103.9,19.6,0.0070,,
0.0390,8,-103.5,19.6,0.0075,,
0.0475,9,-103.3,19.6,0.0070,,
0.0560,10,-103.4,19.6,0.0070,,
0.0645,11,-102.9,19.6,0.0070,,
0.0720,12,-102.4,19.6,0.0070,,
0.0805,13,-101.7,19.6,0.0075,,
0.0885,14,-100.7,19.6,0.0075,,
0.0970,15,-99.7,19.6,0.0070,,
0.1055,16,-98.6,19.6,0.0070,,
0.1140,17,-98.0,19.6,0.0070,,
0.1215,18,-97.4,19.6,0.0070,,
0.1300,19,-97.2,19.6,0.0075,,
0.1385,20,-96.8,19.6,0.0070,,
0.1470,21,-95.8,19.6,0.0070,,
0.1555,22,-94.4,19.6,0.0070,,
0.1630,23,-93.3,19.6,0.0070,,
0.1715,24,-92.4,19.6,0.0075,,
0.1800,25,-91.8,19.6,0.0075,,
0.1885,26,-90.7,19.6,0.0070,,
0.1965,27,-90.2,19.6,0.0065,,
0.2050,28,-89.4,19.6,0.0070,,
0.2125,29,-88.4,19.6,0.0070,,
0.2210,30,-87.8,19.6,0.0075,,
0.2295,31,-86.5,19.6,0.0070,,
0.2380,32,-84.9,19.6,0.0070,,
0.2465,33,-83.3,19.6,0.0070,,
0.2550,34,-82.6,19.6,0.0075,,
0.2625,35,-81.0,19.6,0.0070,,
0.2710,36,-79.8,19.6,0.0075,,
0.2795,37,-78.5,19.6,0.0070,,
0.2875,38,-77.3,19.6,0.0065,,
0.2960,39,-75.9,19.6,0.0070,,
0.3045,40,-74.9,19.6,0.0075,,
0.3120,41,-74.2,19.6,0.0070,,
0.3205,42,-72.4,19.6,0.0075,,
