Raw Data
Scope 1/1, Sample 1/9 (8-Aug-16 Bin5)
Method Function,Sample (S1)
Creation time,3/27/2018 12:59:12 PM,
Sample start time,3/27/2018 12:59:12 PM,
Sample size,50.0387 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 12:59:12 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 12:59:21 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.142550 mmol,
VEQ1,1.4255 mL,
EST,-96.2 mV,
VEX,0 mL,
VEND,1.4255 mL,
t,03:12 min,
QEND,0.142550 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 1:02:42 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 1:09:43 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.100450 mmol,
VEQ1,1.0045 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,1.0045 mL,
t,02:39 min,
QEND,0.100450 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/9 (8-Aug-16 Bin6)
Method Function,Sample (S1)
Creation time,3/27/2018 1:12:43 PM,
Sample start time,3/27/2018 1:12:43 PM,
Sample size,50.0421 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 1:12:43 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 1:12:43 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.145445 mmol,
VEQ1,1.454455 mL,
EST,-100.2 mV,
VEX,0.000045 mL,
VEND,1.454500 mL,
t,03:18 min,
QEND,0.145450 mmol,
QEX,0.000005 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 1:16:10 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 1:23:10 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.101000 mmol,
VEQ1,1.0100 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,1.0100 mL,
t,02:28 min,
QEND,0.101000 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (8-Aug-16 Bin7)
Method Function,Sample (S1)
Creation time,3/27/2018 1:26:00 PM,
Sample start time,3/27/2018 1:26:00 PM,
Sample size,50.0484 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 1:26:00 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 1:26:00 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.152750 mmol,
VEQ1,1.5275 mL,
EST,-100.0 mV,
VEX,0 mL,
VEND,1.5275 mL,
t,03:25 min,
QEND,0.152750 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 1:29:34 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 1:36:34 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.101150 mmol,
VEQ1,1.0115 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,1.0115 mL,
t,02:32 min,
QEND,0.101150 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 4/9 (8-Aug-16 Bin8)
Method Function,Sample (S1)
Creation time,3/27/2018 1:39:27 PM,
Sample start time,3/27/2018 1:39:27 PM,
Sample size,50.0125 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/27/2018 1:39:28 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/27/2018 1:39:28 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.154000 mmol,
VEQ1,1.5400 mL,
EST,-101.0 mV,
VEX,0.000499 mL,
VEND,1.540499 mL,
t,03:25 min,
QEND,0.154050 mmol,
QEX,0.000050 mmol,
Method Function,Stir (Stir1)
Creation time,3/27/2018 1:43:01 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/27/2018 1:50:02 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.100600 mmol,
VEQ1,1.0060 mL,
EST,190.2 mV,
VEX,0.002499 mL,
VEND,1.008499 mL,
t,02:37 min,
