Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin 10)
Method Function,Sample (S1)
Method Function,Stir (Stir1)
Creation time,3/20/2018 12:35:07 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 12:42:08 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093050 mmol,
VEQ1,0.9305 mL,
EST,189.6 mV,
VEX,0.000000 mL,
VEND,0.930500 mL,
t,02:39 min,
QEND,0.093050 mmol,
QEX,0.000000 mmol,
Scope 1/1, Sample 4/9 (2-Aug-16 Header1)
Method Function,Sample (S1)
Creation time,3/20/2018 12:45:08 PM,
Sample start time,3/20/2018 12:45:08 PM,
Sample size,50.0473 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 12:45:08 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 12:45:08 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.152593 mmol,
VEQ1,1.525929 mL,
EST,-97.9 mV,
VEX,0.000071 mL,
VEND,1.526000 mL,
t,03:23 min,
QEND,0.152600 mmol,
QEX,0.000007 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 12:48:40 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 12:55:41 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092550 mmol,
VEQ1,0.9255 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9255 mL,
t,02:18 min,
QEND,0.092550 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 5/9 (2-Aug-16 Header2)
Method Function,Sample (S1)
Creation time,3/20/2018 12:58:20 PM,
Sample start time,3/20/2018 12:58:20 PM,
Sample size,50.0204 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 12:58:20 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 12:58:21 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.144100 mmol,
VEQ1,1.4410 mL,
EST,-100.4 mV,
VEX,0 mL,
VEND,1.4410 mL,
t,03:13 min,
QEND,0.144100 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 1:01:43 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 1:08:43 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092250 mmol,
VEQ1,0.9225 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9225 mL,
t,02:54 min,
QEND,0.092250 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 6/9 (8-Aug-16 Bin1)
Method Function,Sample (S1)
Creation time,3/20/2018 1:11:58 PM,
Sample start time,3/20/2018 1:11:58 PM,
Sample size,50.0254 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 1:11:58 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 1:11:58 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143546 mmol,
VEQ1,1.435462 mL,
EST,-98.8 mV,
VEX,0.000038 mL,
VEND,1.435500 mL,
t,03:13 min,
QEND,0.143550 mmol,
QEX,0.000004 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 1:15:20 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 1:22:21 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092200 mmol,
VEQ1,0.9220 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,0.9220 mL,
t,02:40 min,
QEND,0.092200 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 7/9 (8-Aug-16 Bin2)
Method Function,Sample (S1)
Creation time,3/20/2018 1:25:22 PM,
Sample start time,3/20/2018 1:25:22 PM,
Sample size,50.0528 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 1:25:22 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 1:25:22 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.142396 mmol,
VEQ1,1.423962 mL,
EST,-97.4 mV,
VEX,0.000039 mL,
VEND,1.424000 mL,
t,03:14 min,
QEND,0.142400 mmol,
QEX,0.000004 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 1:28:45 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 1:35:46 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.091950 mmol,
VEQ1,0.9195 mL,
EST,189.8 mV,
VEX,0 mL,
VEND,0.9195 mL,
t,02:49 min,
QEND,0.091950 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 8/9 (8-Aug-16 Bin3)
Method Function,Sample (S1)
Creation time,3/20/2018 1:38:56 PM,
Sample start time,3/20/2018 1:38:56 PM,
Sample size,50.0675 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 1:38:56 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 1:38:56 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.144000 mmol,
VEQ1,1.4400 mL,
EST,-98.5 mV,
VEX,0 mL,
VEND,1.4400 mL,
t,03:19 min,
QEND,0.144000 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 1:42:24 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 1:49:25 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092300 mmol,
VEQ1,0.9230 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,0.9230 mL,
t,02:34 min,
QEND,0.092300 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 9/9 (8-Aug-16 Bin4)
Method Function,Sample (S1)
Creation time,3/20/2018 1:52:20 PM,
Sample start time,3/20/2018 1:52:20 PM,
Sample size,50.0068 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 1:52:20 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 1:52:20 PM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.142700 mmol,
VEQ1,1.4270 mL,
EST,-98.0 mV,
VEX,0 mL,
VEND,1.4270 mL,
t,03:14 min,
QEND,0.142700 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 1:55:43 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 2:02:44 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092050 mmol,
VEQ1,0.9205 mL,
EST,189.8 mV,
VEX,0.001000 mL,
VEND,0.921500 mL,
t,02:48 min,
QEND,0.092150 mmol,
QEX,0.000100 mmol,

Table of Measured Values
Task,T328
Scope 1/1, Sample 1/9 (2-Aug-16 Bin 10)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-95.2,21.9,NaN,,
0.0005,1,-98.9,22.0,0.0005,,
0.0020,2,-99.7,22.0,0.0015,,
0.0050,3,-99.8,22.0,0.0025,,
0.0085,4,-99.8,22.0,0.0030,,
0.0150,5,-100.0,22.0,0.0055,,
0.0235,6,-99.7,22.0,0.0070,,
0.0310,7,-99.7,22.0,0.0070,,
0.0395,8,-99.3,22.0,0.0075,,
0.0480,9,-98.7,22.0,0.0075,,
0.0565,10,-98.4,22.0,0.0070,,
0.0645,11,-98.3,22.0,0.0065,,
0.0730,12,-98.1,22.0,0.0070,,
0.0805,13,-97.6,22.0,0.0070,,
0.0890,14,-97.0,22.0,0.0075,,
0.0975,15,-96.1,22.0,0.0075,,
0.1060,16,-95.6,22.0,0.0070,,
0.1145,17,-95.0,22.0,0.0070,,
0.1230,18,-94.2,22.0,0.0070,,
0.1305,19,-93.7,22.0,0.0070,,
0.1385,20,-92.3,22.0,0.0075,,
0.1470,21,-91.7,22.0,0.0075,,
0.1555,22,-91.1,22.0,0.0070,,
0.1640,23,-90.1,22.0,0.0070,,
0.1725,24,-89.6,22.0,0.0070,,
0.1800,25,-89.0,22.0,0.0070,,
0.1885,26,-88.1,22.0,0.0075,,
0.1970,27,-87.2,22.0,0.0075,,
0.2055,28,-86.2,22.0,0.0070,,
0.2135,29,-85.0,22.0,0.0065,,
0.2220,30,-83.9,22.0,0.0070,,
0.2295,31,-83.1,22.0,0.0070,,
0.2380,32,-82.0,22.0,0.0075,,
0.2465,33,-80.7,22.0,0.0070,,
0.2550,34,-79.5,22.0,0.0070,,
0.2635,35,-78.1,22.0,0.0070,,
0.2720,36,-77.4,22.0,0.0070,,
0.2795,37,-76.4,22.0,0.0070,,
0.2880,38,-75.0,22.0,0.0075,,
0.2965,39,-73.3,22.0,0.0075,,
0.3045,40,-72.0,22.0,0.0065,,
0.3130,41,-71.0,22.0,0.0070,,
0.3215,42,-69.8,22.0,0.0075,,
0.3290,43,-68.4,22.0,0.0070,,
0.3375,44,-66.5,22.0,0.0075,,
0.3460,45,-65.0,22.0,0.0070,,
0.3545,46,-63.3,22.0,0.0070,,
0.3630,47,-61.7,22.0,0.0070,,
0.3710,48,-60.2,22.0,0.0065,,
0.3790,49,-58.8,22.0,0.0075,,
0.3870,50,-56.6,22.0,0.0075,,
0.3955,51,-54.3,22.0,0.0075,,
0.4040,52,-52.1,22.0,0.0070,,
0.4125,53,-49.8,22.0,0.0070,,
0.4210,54,-47.1,22.0,0.0070,,
0.4285,55,-44.9,22.0,0.0070,,
0.4370,56,-42.7,22.0,0.0075,,
0.4450,57,-40.1,22.0,0.0075,,
0.4535,58,-36.8,22.0,0.0070,,
0.4620,59,-33.5,22.0,0.0070,,
0.4705,60,-29.9,22.0,0.0070,,
0.4780,61,-26.3,22.0,0.0070,,
0.4865,62,-22.2,22.0,0.0075,,
0.4950,63,-17.9,22.0,0.0075,,
0.5035,64,-14.0,22.0,0.0070,,
0.5115,65,-10.4,22.0,0.0065,,
0.5200,66,-6.9,22.0,0.0070,,
0.5285,67,-3.9,22.0,0.0075,,
0.5360,68,-0.6,22.0,0.0070,,
0.5445,69,1.0,22.0,0.0075,,
0.5530,70,2.5,22.0,0.0070,,
0.5615,71,4.6,22.0,0.0070,,
0.5700,72,6.2,22.0,0.0070,,
0.5780,73,7.5,22.0,0.0075,,
0.5860,74,9.0,22.0,0.0075,,
0.5940,75,10.4,22.0,0.0075,,
0.6025,76,11.9,22.0,0.0070,,
0.6110,77,12.9,22.0,0.0070,,
0.6195,78,14.2,22.0,0.0070,,
0.6280,79,15.0,22.0,0.0075,,
0.6355,80,15.8,22.0,0.0070,,
0.6440,81,16.9,22.0,0.0075,,
0.6525,82,18.3,22.0,0.0070,,
0.6610,83,19.5,22.0,0.0070,,
0.6690,84,20.3,22.0,0.0065,,
0.6770,85,20.9,22.0,0.0075,,
0.6855,86,21.7,22.0,0.0075,,
0.6935,87,22.7,22.0,0.0075,,
0.7020,88,23.4,22.0,0.0070,,
0.7105,89,24.6,22.0,0.0070,,
0.7190,90,25.5,22.0,0.0070,,
0.7265,91,26.8,22.0,0.0070,,
0.7350,92,27.7,22.0,0.0075,,
0.7435,93,28.7,22.0,0.0075,,
0.7520,94,29.4,22.0,0.0070,,
0.7600,95,30.2,22.0,0.0065,,
0.7685,96,31.1,22.0,0.0070,,
0.7760,97,31.2,22.0,0.0070,,
0.7845,98,31.9,22.0,0.0075,,
0.7930,99,32.6,22.0,0.0075,,
0.8015,100,33.5,22.0,0.0070,,
0.8100,101,34.5,22.0,0.0070,,
0.8185,102,35.5,22.0,0.0070,,
0.8260,103,36.2,22.0,0.0070,,
0.8345,104,36.8,22.0,0.0075,,
0.8425,105,37.5,22.0,0.0075,,
0.8510,106,38.5,22.0,0.0070,,
0.8595,107,39.1,22.0,0.0070,,
0.8680,108,39.9,22.0,0.0070,,
0.8755,109,40.3,22.0,0.0070,,
0.8840,110,41.4,22.0,0.0075,,
0.8925,111,42.6,22.0,0.0075,,
0.9010,112,43.2,22.0,0.0070,,
0.9090,113,43.2,22.0,0.0065,,
0.9175,114,43.9,22.0,0.0070,,
0.9250,115,45.0,22.0,0.0070,,
0.9335,116,45.8,22.0,0.0075,,
0.9420,117,46.8,22.0,0.0075,,
0.9505,118,47.9,22.0,0.0070,,
0.9590,119,48.7,22.0,0.0070,,
0.9670,120,49.7,22.0,0.0065,,
0.9755,121,50.7,22.0,0.0075,,
0.9830,122,51.4,22.0,0.0070,,
0.9915,123,52.0,22.0,0.0075,,
1.0000,124,52.6,22.0,0.0070,,
1.0085,125,53.1,22.0,0.0070,,
1.0170,126,53.6,22.0,0.0070,,
1.0245,127,54.6,22.0,0.0070,,
1.0330,128,55.2,22.0,0.0075,,
1.0415,129,56.0,22.0,0.0075,,
1.0500,130,56.8,22.0,0.0070,,
1.0580,131,58.3,22.0,0.0065,,
1.0665,132,59.1,22.0,0.0070,,
1.0740,133,60.5,22.0,0.0070,,
1.0825,134,61.5,22.0,0.0075,,
1.0910,135,62.3,22.0,0.0075,,
1.0995,136,62.8,22.0,0.0070,,
1.1080,137,63.4,22.0,0.0070,,
1.1165,138,64.2,22.0,0.0070,,
1.1240,139,65.9,22.0,0.0070,,
1.1325,140,66.7,22.0,0.0075,,
1.1410,141,67.3,22.0,0.0075,,
1.1490,142,68.6,22.0,0.0065,,
1.1575,143,69.7,22.0,0.0070,,
1.1660,144,71.0,22.0,0.0070,,
1.1735,145,72.0,22.0,0.0070,,
1.1820,146,73.1,22.0,0.0075,,
1.1905,147,74.3,22.0,0.0075,,
1.1990,148,75.6,22.0,0.0070,,
1.2075,149,76.9,22.0,0.0070,,
1.2155,150,78.7,22.0,0.0065,,
1.2235,151,80.2,22.0,0.0075,,
1.2315,152,81.5,22.0,0.0075,,
1.2400,153,82.8,22.0,0.0070,,
1.2485,154,84.9,22.0,0.0070,,
1.2570,155,86.6,22.0,0.0070,,
1.2655,156,89.4,22.0,0.0070,,
1.2730,157,91.3,22.0,0.0070,,
1.2815,158,93.3,22.0,0.0075,,
1.2900,159,95.4,22.0,0.0075,,
1.2980,160,96.7,22.0,0.0065,,
1.3065,161,98.5,22.0,0.0070,,
1.3150,162,101.2,22.0,0.0075,,
1.3225,163,103.9,22.0,0.0070,,
1.3310,164,106.9,22.0,0.0075,,
1.3395,165,111.3,22.0,0.0070,,
1.3480,166,114.9,22.0,0.0070,,
1.3565,167,117.6,22.0,0.0070,,
1.3650,168,121.4,22.0,0.0075,,
1.3725,169,125.5,22.0,0.0070,,
1.3810,170,130.3,22.0,0.0075,,
1.3890,171,135.0,22.0,0.0065,,
1.3975,172,139.1,22.0,0.0070,,
1.4060,173,143.9,22.0,0.0070,,
1.4145,174,148.0,22.0,0.0075,,
1.4220,175,153.2,22.0,0.0070,,
1.4305,176,157.4,22.0,0.0075,,
1.4390,177,160.9,22.0,0.0070,,
1.4475,178,163.9,22.0,0.0070,,
1.4560,179,167.4,22.0,0.0070,,
1.4640,180,170.4,22.0,0.0075,,
1.4715,181,173.1,22.0,0.0070,,
1.4800,182,175.5,22.0,0.0075,,
1.4885,183,177.9,22.0,0.0070,,
1.4970,184,179.9,22.0,0.0070,,
1.5055,185,181.9,22.0,0.0070,,
1.5130,186,183.4,22.0,0.0070,,
1.5190,187,184.8,22.0,0.0055,,
1.5245,188,186.3,22.0,0.0050,,
1.5270,189,187.3,22.0,0.0020,,
1.5275,190,187.9,22.0,0.0005,,
1.5280,191,188.1,22.0,0.0005,,
1.5290,192,188.1,22.0,0.0010,,
1.5305,193,188.2,22.0,0.0015,,
1.5315,194,188.3,22.0,0.0010,,
1.5325,195,188.8,22.0,0.0010,,
1.5335,196,188.9,22.0,0.0010,,
1.5355,197,188.8,22.0,0.0015,,
1.5375,198,189.5,22.0,0.0020,,
1.5385,199,189.4,22.0,0.0010,,
1.5390,200,190.0,22.0,0.0005,,
1.5395,200,190.0,22.0,0.0015,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.5,22.3,NaN,,
0.0005,1,190.3,22.3,0.0005,,
0.0020,2,190.5,22.3,0.0015,,
0.0050,3,190.5,22.3,0.0025,,
0.0085,4,190.3,22.3,0.0030,,
0.0150,5,191.4,22.3,0.0055,,
0.0235,6,192.3,22.3,0.0070,,
0.0310,7,193.5,22.3,0.0070,,
0.0395,8,194.7,22.3,0.0075,,
0.0480,9,195.7,22.3,0.0070,,
0.0565,10,196.7,22.3,0.0070,,
0.0645,11,197.2,22.3,0.0065,,
0.0730,12,198.0,22.3,0.0070,,
0.0805,13,199.3,22.3,0.0070,,
0.0890,14,200.6,22.3,0.0075,,
0.0975,15,201.5,22.3,0.0075,,
0.1060,16,202.5,22.3,0.0070,,
0.1145,17,203.0,22.3,0.0070,,
0.1230,18,203.5,22.3,0.0070,,
0.1305,19,204.3,22.3,0.0070,,
0.1390,20,204.8,22.3,0.0075,,
0.1470,21,205.2,22.3,0.0065,,
0.1555,22,206.3,22.3,0.0070,,
0.1640,23,206.8,22.3,0.0070,,
0.1725,24,207.5,22.3,0.0070,,
0.1800,25,208.0,22.3,0.0070,,
0.1885,26,208.7,22.3,0.0075,,
0.1970,27,209.8,22.3,0.0070,,
0.2055,28,211.0,22.3,0.0070,,
0.2140,29,211.8,22.3,0.0070,,
0.2220,30,212.0,22.3,0.0075,,
0.2300,31,212.3,22.3,0.0075,,
0.2380,32,212.8,22.3,0.0075,,
0.2465,33,213.3,22.3,0.0070,,
0.2550,34,213.7,22.3,0.0070,,
0.2635,35,214.6,22.3,0.0070,,
0.2720,36,215.2,22.3,0.0070,,
0.2795,37,215.4,22.3,0.0070,,
0.2880,38,216.4,22.2,0.0075,,
0.2965,39,216.6,22.3,0.0070,,
0.3045,40,217.4,22.3,0.0065,,
0.3130,41,218.0,22.3,0.0070,,
0.3215,42,218.3,22.3,0.0075,,
0.3290,43,218.3,22.3,0.0060,,
0.3375,44,219.0,22.3,0.0075,,
0.3460,45,219.8,22.3,0.0070,,
0.3545,46,220.3,22.3,0.0070,,
0.3630,47,220.5,22.3,0.0070,,
0.3710,48,220.8,22.3,0.0065,,
0.3790,49,221.3,22.3,0.0075,,
0.3870,50,221.5,22.3,0.0075,,
0.3955,51,221.3,22.3,0.0075,,
0.4040,52,221.8,22.3,0.0070,,
0.4125,53,222.8,22.3,0.0070,,
0.4210,54,223.6,22.3,0.0070,,
0.4285,55,223.8,22.3,0.0070,,
0.4370,56,224.1,22.3,0.0075,,
0.4455,57,224.4,22.3,0.0070,,
0.4535,58,224.7,22.3,0.0065,,
0.4620,59,225.1,22.3,0.0070,,
0.4705,60,225.6,22.3,0.0070,,
0.4780,61,225.8,22.3,0.0070,,
0.4865,62,226.4,22.3,0.0075,,
0.4950,63,226.7,22.2,0.0070,,
0.5035,64,227.1,22.3,0.0070,,
0.5120,65,227.3,22.3,0.0070,,
0.5200,66,227.5,22.3,0.0065,,
0.5280,67,228.0,22.3,0.0075,,
0.5360,68,228.2,22.3,0.0075,,
0.5445,69,228.7,22.3,0.0070,,
0.5530,70,228.8,22.3,0.0070,,
0.5615,71,229.1,22.3,0.0070,,
0.5700,72,229.4,22.3,0.0075,,
0.5775,73,229.4,22.3,0.0070,,
0.5860,74,229.6,22.2,0.0075,,
0.5945,75,229.8,22.2,0.0070,,
0.6030,76,229.5,22.3,0.0070,,
0.6110,77,229.8,22.2,0.0065,,
0.6190,78,230.0,22.3,0.0075,,
0.6270,79,230.4,22.3,0.0075,,
0.6355,80,231.0,22.2,0.0075,,
0.6440,81,231.0,22.3,0.0070,,
0.6525,82,231.6,22.3,0.0070,,
0.6610,83,232.1,22.3,0.0070,,
0.6685,84,231.7,22.2,0.0070,,
0.6770,85,232.4,22.3,0.0075,,
0.6855,86,233.1,22.2,0.0075,,
0.6940,87,233.6,22.2,0.0070,,
0.7020,88,233.9,22.2,0.0065,,
0.7105,89,234.1,22.3,0.0070,,
0.7180,90,234.2,22.3,0.0070,,
0.7265,91,234.6,22.2,0.0075,,
0.7350,92,234.8,22.2,0.0075,,
0.7435,93,234.9,22.3,0.0070,,
0.7520,94,234.7,22.3,0.0070,,
0.7605,95,234.9,22.3,0.0070,,
0.7680,96,235.5,22.2,0.0070,,
0.7765,97,235.1,22.2,0.0075,,
0.7845,98,235.5,22.3,0.0075,,
0.7930,99,235.5,22.2,0.0070,,
0.8015,100,235.4,22.3,0.0070,,
0.8100,101,235.7,22.3,0.0075,,
0.8175,102,235.9,22.3,0.0070,,
0.8260,103,236.1,22.3,0.0075,,
0.8340,104,236.4,22.2,0.0065,,
0.8425,105,236.7,22.3,0.0070,,
0.8510,106,236.8,22.3,0.0070,,
0.8585,107,237.2,22.3,0.0060,,
0.8590,108,237.6,22.3,0.0005,,
0.8605,109,237.7,22.2,0.0015,,
0.8620,110,237.5,22.3,0.0015,,
0.8635,111,237.3,22.3,0.0010,,
0.8665,112,237.6,22.2,0.0025,,
0.8710,113,237.6,22.2,0.0040,,
0.8765,114,237.6,22.3,0.0050,,
0.8825,115,237.6,22.3,0.0055,,
0.8830,116,237.8,22.3,0.0005,,
0.8840,117,237.9,22.3,0.0010,,
0.8855,118,238.1,22.3,0.0010,,
0.8865,119,238.0,22.3,0.0010,,
0.8880,120,237.9,22.3,0.0015,,
0.8905,121,238.2,22.3,0.0025,,
0.8945,122,238.8,22.3,0.0035,,
0.9000,123,238.8,22.3,0.0045,,
0.9050,124,239.0,22.3,0.0040,,
0.9075,125,239.0,22.3,0.0025,,
0.9085,126,239.4,22.3,0.0010,,
0.9095,127,239.4,22.3,0.0010,,
0.9100,128,239.5,22.3,0.0005,,
0.9110,129,239.7,22.2,0.0010,,
0.9120,130,239.7,22.3,0.0010,,
0.9130,131,239.4,22.3,0.0010,,
0.9140,132,238.8,22.3,0.0010,,
0.9145,133,239.0,22.3,0.0005,,
0.9150,134,238.7,22.2,0.0005,,
0.9165,135,238.8,22.3,0.0010,,
0.9170,136,238.9,22.3,0.0005,,
0.9175,137,239.0,22.3,0.0005,,
0.9185,138,238.9,22.2,0.0010,,
0.9190,139,239.0,22.3,0.0005,,
0.9195,140,238.9,22.2,0.0005,,
0.9205,141,238.7,22.3,0.0010,,
0.9215,142,238.7,22.3,0.0010,,
0.9220,143,239.3,22.3,0.0005,,
0.9225,144,238.8,22.3,0.0005,,
0.9235,145,238.9,22.2,0.0010,,
0.9240,146,240.0,22.2,0.0010,,
Scope 1/1, Sample 2/9 (2-Aug-16 Bin 11)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-97.6,22.0,NaN,,
0.0005,1,-101.5,21.9,0.0005,,
0.0020,2,-101.5,21.9,0.0015,,
0.0050,3,-101.9,21.9,0.0025,,
0.0085,4,-101.7,21.9,0.0030,,
0.0145,5,-101.6,21.9,0.0050,,
0.0230,6,-101.1,21.9,0.0070,,
0.0305,7,-100.9,21.9,0.0070,,
0.0390,8,-100.6,21.9,0.0075,,
0.0475,9,-100.4,21.9,0.0070,,
0.0555,10,-99.8,21.9,0.0065,,
0.0640,11,-99.5,21.9,0.0070,,
0.0725,12,-99.3,21.9,0.0070,,
0.0800,13,-99.2,21.9,0.0070,,
0.0885,14,-98.6,21.9,0.0075,,
0.0970,15,-98.0,21.9,0.0075,,
0.1055,16,-97.3,21.9,0.0070,,
0.1140,17,-96.6,21.9,0.0070,,
0.1220,18,-96.1,21.9,0.0065,,
0.1300,19,-95.2,21.9,0.0075,,
0.1380,20,-93.9,21.9,0.0075,,
0.1465,21,-93.2,21.9,0.0075,,
0.1550,22,-92.8,21.9,0.0070,,
0.1635,23,-92.6,21.9,0.0070,,
0.1720,24,-91.8,21.9,0.0070,,
0.1795,25,-90.9,21.9,0.0070,,
0.1880,26,-90.3,21.9,0.0075,,
0.1965,27,-89.2,21.9,0.0075,,
0.2045,28,-88.2,21.9,0.0065,,
0.2130,29,-87.1,21.9,0.0070,,
0.2215,30,-85.8,21.9,0.0070,,
0.2300,31,-84.6,21.9,0.0075,,
0.2375,32,-83.7,21.9,0.0070,,
0.2460,33,-82.7,21.9,0.0075,,
0.2545,34,-82.1,21.9,0.0070,,
