Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin 10)
Method Function,Sample (S1)
Creation time,3/20/2018 12:04:24 PM,
Sample start time,3/20/2018 12:04:24 PM,
Sample size,50.0192 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 12:04:24 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 12:04:34 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.153900 mmol,
VEQ1,1.5390 mL,
EST,-95.2 mV,
VEX,0.000499 mL,
VEND,1.539499 mL,
t,03:27 min,
QEND,0.153950 mmol,
QEX,0.000050 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 12:08:10 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 12:15:10 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092400 mmol,
VEQ1,0.9240 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9240 mL,
t,02:31 min,
QEND,0.092400 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/9 (2-Aug-16 Bin 11)
Method Function,Sample (S1)
Creation time,3/20/2018 12:18:02 PM,
Sample start time,3/20/2018 12:18:02 PM,
Sample size,50.0119 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 12:18:03 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 12:18:03 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.154200 mmol,
VEQ1,1.5420 mL,
EST,-97.6 mV,
VEX,0 mL,
VEND,1.5420 mL,
t,03:27 min,
QEND,0.154200 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 12:21:39 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 12:28:40 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092550 mmol,
VEQ1,0.9255 mL,
EST,189.8 mV,
VEX,0 mL,
VEND,0.9255 mL,
t,02:32 min,
QEND,0.092550 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (2-Aug-16 Bin 12)
Method Function,Sample (S1)
Creation time,3/20/2018 12:31:33 PM,
Sample start time,3/20/2018 12:31:33 PM,
Sample size,50.0402 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 12:31:33 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 12:31:33 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.151150 mmol,
VEQ1,1.5115 mL,
EST,-95.2 mV,
VEX,0 mL,
VEND,1.5115 mL,
t,03:25 min,
QEND,0.151150 mmol,
QEX,0.0000 mmol,
