Raw Data
Scope 1/1, Sample 1/9 (H1 A 2/20/17)
Method Function,Sample (S1)
Creation time,4/2/2018 10:36:27 AM,
Sample start time,4/2/2018 10:36:27 AM,
Sample size,50.0427 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/2/2018 10:36:27 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/2/2018 10:36:37 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.129300 mmol,
VEQ1,1.2930 mL,
EST,-58.4 mV,
VEX,0 mL,
VEND,1.2930 mL,
t,02:53 min,
QEND,0.129300 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,4/2/2018 10:39:39 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/2/2018 10:46:40 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094050 mmol,
VEQ1,0.9405 mL,
EST,189.8 mV,
VEX,0 mL,
VEND,0.9405 mL,
t,02:21 min,
QEND,0.094050 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/9 (H2 A 2/20/17)
Method Function,Sample (S1)
Creation time,4/2/2018 10:49:22 AM,
Sample start time,4/2/2018 10:49:22 AM,
Sample size,50.0562 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/2/2018 10:49:22 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/2/2018 10:49:22 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.129050 mmol,
VEQ1,1.2905 mL,
EST,-81.4 mV,
VEX,0 mL,
VEND,1.2905 mL,
t,02:56 min,
QEND,0.129050 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,4/2/2018 10:52:28 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/2/2018 10:59:28 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093950 mmol,
VEQ1,0.9395 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9395 mL,
t,02:52 min,
QEND,0.093950 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (T1 A 2/20/17)
Method Function,Sample (S1)
Creation time,4/2/2018 11:02:42 AM,
Sample start time,4/2/2018 11:02:42 AM,
Sample size,50.0119 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/2/2018 11:02:42 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/2/2018 11:02:42 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.128940 mmol,
VEQ1,1.2894 mL,
EST,-64.5 mV,
VEX,0.000100 mL,
VEND,1.289500 mL,
t,02:59 min,
QEND,0.128950 mmol,
QEX,0.000010 mmol,
Method Function,Stir (Stir1)
Creation time,4/2/2018 11:05:50 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/2/2018 11:12:50 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093750 mmol,
VEQ1,0.9375 mL,
EST,190.3 mV,
VEX,0 mL,
VEND,0.9375 mL,
t,02:26 min,
