Raw Data
Scope 1/1, Sample 1/9 (129)
Method Function,Sample (S1)
Creation time,3/16/2018 10:53:59 AM,
Sample start time,3/16/2018 10:53:59 AM,
Sample size,50.1386 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 10:53:59 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 10:54:09 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.152200 mmol,
VEQ1,1.5220 mL,
EST,-96.6 mV,
VEX,0.000000 mL,
VEND,1.522000 mL,
t,03:25 min,
QEND,0.152200 mmol,
QEX,0.000000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 10:57:43 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 11:04:44 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093193 mmol,
VEQ1,0.931929 mL,
EST,190.1 mV,
VEX,0.000071 mL,
VEND,0.932000 mL,
t,02:26 min,
QEND,0.093200 mmol,
QEX,0.000007 mmol,
Scope 1/1, Sample 2/9 (131)
Method Function,Sample (S1)
Creation time,3/16/2018 11:07:30 AM,
Sample start time,3/16/2018 11:07:30 AM,
Sample size,50.0205 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 11:07:30 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 11:07:31 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.158800 mmol,
VEQ1,1.5880 mL,
EST,-96.4 mV,
VEX,0 mL,
VEND,1.5880 mL,
t,03:35 min,
QEND,0.158800 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 11:11:14 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 11:18:15 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094100 mmol,
VEQ1,0.9410 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,0.9410 mL,
t,02:37 min,
QEND,0.094100 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (135)
Method Function,Sample (S1)
Creation time,3/16/2018 11:21:13 AM,
Sample start time,3/16/2018 11:21:13 AM,
Sample size,50.0181 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 11:21:13 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 11:21:13 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.149590 mmol,
VEQ1,1.4959 mL,
EST,-96.4 mV,
VEX,0.000100 mL,
VEND,1.496000 mL,
t,03:21 min,
QEND,0.149600 mmol,
QEX,0.000010 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 11:24:43 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 11:31:44 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093850 mmol,
VEQ1,0.9385 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9385 mL,
t,02:34 min,
QEND,0.093850 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 4/9 (137)
Method Function,Sample (S1)
Creation time,3/16/2018 11:34:39 AM,
Sample start time,3/16/2018 11:34:39 AM,
Sample size,50.0150 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 11:34:40 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 11:34:40 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143244 mmol,
VEQ1,1.432444 mL,
EST,-97.6 mV,
VEX,0.000056 mL,
VEND,1.432500 mL,
t,03:15 min,
QEND,0.143250 mmol,
QEX,0.000006 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 11:38:04 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 11:45:04 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093350 mmol,
VEQ1,0.9335 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,0.9335 mL,
t,02:25 min,
QEND,0.093350 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 5/9 (139)
Method Function,Sample (S1)
Creation time,3/16/2018 11:47:50 AM,
Sample start time,3/16/2018 11:47:50 AM,
Sample size,50.0056 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 11:47:50 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 11:47:51 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.159100 mmol,
VEQ1,1.5910 mL,
EST,-95.9 mV,
VEX,0.000999 mL,
VEND,1.591999 mL,
t,03:34 min,
QEND,0.159200 mmol,
QEX,0.000100 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 11:51:33 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 11:58:34 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093550 mmol,
VEQ1,0.9355 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,0.9355 mL,
t,02:41 min,
QEND,0.093550 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 6/9 (157)
Method Function,Sample (S1)
Creation time,3/16/2018 12:01:36 PM,
Sample start time,3/16/2018 12:01:36 PM,
Sample size,50.0285 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 12:01:36 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 12:01:37 PM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.144950 mmol,
VEQ1,1.4495 mL,
EST,-96.6 mV,
VEX,0 mL,
VEND,1.4495 mL,
t,03:23 min,
QEND,0.144950 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 12:05:08 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 12:12:09 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094000 mmol,
VEQ1,0.9400 mL,
EST,190.2 mV,
VEX,0 mL,
VEND,0.9400 mL,
t,02:45 min,
QEND,0.094000 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 7/9 (159)
Method Function,Sample (S1)
Creation time,3/16/2018 12:15:15 PM,
Sample start time,3/16/2018 12:15:15 PM,
Sample size,49.9993 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 12:15:15 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 12:15:15 PM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.154800 mmol,
VEQ1,1.5480 mL,
EST,-96.6 mV,
VEX,0 mL,
VEND,1.5480 mL,
t,03:27 min,
QEND,0.154800 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 12:18:51 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 12:25:51 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093950 mmol,
VEQ1,0.9395 mL,
EST,189.4 mV,
VEX,0 mL,
VEND,0.9395 mL,
t,02:32 min,
QEND,0.093950 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 8/9 (161)
