Raw Data
Scope 1/1, Sample 1/9 (129)
Method Function,Sample (S1)
Method Function,Sample (S1)
Creation time,3/16/2018 12:28:45 PM,
Sample start time,3/16/2018 12:28:45 PM,
Sample size,49.9727 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 12:28:45 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 12:28:45 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.141850 mmol,
VEQ1,1.4185 mL,
EST,-98.8 mV,
VEX,0 mL,
VEND,1.4185 mL,
t,03:15 min,
QEND,0.141850 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 12:32:09 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 12:39:10 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093150 mmol,
VEQ1,0.9315 mL,
EST,189.7 mV,
VEX,0.000500 mL,
VEND,0.932000 mL,
t,02:25 min,
QEND,0.093200 mmol,
QEX,0.000050 mmol,
Scope 1/1, Sample 9/9 (163)
Method Function,Sample (S1)
Creation time,3/16/2018 12:41:56 PM,
Sample start time,3/16/2018 12:41:56 PM,
Sample size,49.9963 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 12:41:56 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 12:41:56 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.146342 mmol,
VEQ1,1.463417 mL,
EST,-95.7 mV,
VEX,0.000083 mL,
VEND,1.463499 mL,
t,03:22 min,
QEND,0.146350 mmol,
QEX,0.000008 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 12:45:27 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 12:52:28 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093800 mmol,
VEQ1,0.9380 mL,
EST,189.8 mV,
VEX,0 mL,
VEND,0.9380 mL,
t,02:26 min,
QEND,0.093800 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T306
Scope 1/1, Sample 1/9 (129)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.6,21.8,NaN,,
0.0005,1,-100.1,21.8,0.0005,,
0.0020,2,-100.8,21.8,0.0015,,
0.0050,3,-101.1,21.8,0.0025,,
0.0085,4,-100.9,21.8,0.0030,,
0.0150,5,-100.9,21.8,0.0055,,
0.0235,6,-100.8,21.8,0.0070,,
0.0310,7,-100.4,21.8,0.0070,,
0.0395,8,-100.1,21.9,0.0075,,
0.0480,9,-100.0,21.9,0.0075,,
0.0565,10,-99.9,21.9,0.0070,,
0.0645,11,-99.5,21.9,0.0065,,
0.0730,12,-98.9,21.9,0.0070,,
0.0805,13,-97.5,21.9,0.0070,,
0.0890,14,-97.1,21.9,0.0075,,
0.0975,15,-96.5,21.9,0.0075,,
0.1060,16,-95.8,21.9,0.0070,,
0.1145,17,-95.4,21.9,0.0070,,
0.1230,18,-95.0,21.9,0.0070,,
0.1305,19,-93.9,21.9,0.0070,,
0.1390,20,-93.6,21.9,0.0075,,
0.1470,21,-92.4,21.9,0.0075,,
0.1555,22,-91.3,21.9,0.0070,,
0.1640,23,-90.5,21.9,0.0070,,
0.1725,24,-89.7,21.8,0.0070,,
0.1800,25,-88.9,21.9,0.0070,,
0.1885,26,-88.1,21.8,0.0075,,
0.1970,27,-87.2,21.8,0.0075,,
0.2055,28,-86.5,21.9,0.0070,,
0.2135,29,-85.6,21.9,0.0065,,
0.2220,30,-84.3,21.9,0.0070,,
0.2295,31,-83.7,21.9,0.0070,,
0.2380,32,-82.6,21.9,0.0075,,
0.2465,33,-81.5,21.9,0.0075,,
0.2550,34,-80.5,21.8,0.0070,,
0.2635,35,-79.3,21.9,0.0070,,
0.2720,36,-78.2,21.9,0.0070,,
0.2795,37,-77.2,21.9,0.0070,,
0.2880,38,-75.9,21.9,0.0075,,
0.2960,39,-74.7,21.9,0.0075,,
0.3045,40,-73.6,21.9,0.0070,,
0.3130,41,-72.8,21.9,0.0070,,
0.3215,42,-71.1,21.9,0.0070,,
0.3300,43,-70.1,21.9,0.0075,,
0.3375,44,-68.6,21.9,0.0070,,
0.3460,45,-66.9,21.8,0.0075,,
0.3545,46,-65.0,21.9,0.0070,,
0.3625,47,-63.3,21.9,0.0065,,
0.3710,48,-61.8,21.9,0.0070,,
0.3785,49,-60.1,21.9,0.0070,,
0.3870,50,-57.9,21.9,0.0075,,
0.3955,51,-55.7,21.8,0.0075,,
0.4040,52,-53.6,21.9,0.0070,,
0.4125,53,-51.2,21.9,0.0070,,
0.4210,54,-48.5,21.9,0.0070,,
0.4285,55,-46.3,21.9,0.0070,,
0.4370,56,-43.3,21.8,0.0075,,
0.4450,57,-39.8,21.9,0.0075,,
0.4535,58,-36.7,21.9,0.0070,,
0.4620,59,-33.0,21.8,0.0070,,
0.4705,60,-28.9,21.9,0.0070,,
0.4790,61,-25.3,21.9,0.0075,,
0.4865,62,-21.1,21.9,0.0070,,
0.4950,63,-17.5,21.9,0.0075,,
0.5035,64,-13.9,21.8,0.0070,,
0.5120,65,-10.0,21.8,0.0070,,
0.5200,66,-6.6,21.9,0.0065,,
0.5285,67,-3.2,21.8,0.0075,,
0.5360,68,-0.2,21.8,0.0070,,
0.5445,69,1.6,21.9,0.0075,,
0.5530,70,2.9,21.8,0.0070,,
0.5615,71,4.2,21.8,0.0070,,
0.5700,72,5.7,21.8,0.0070,,
0.5775,73,7.3,21.8,0.0070,,
0.5860,74,9.3,21.8,0.0075,,
0.5945,75,10.8,21.8,0.0075,,
0.6025,76,12.1,21.9,0.0065,,
0.6110,77,13.3,21.8,0.0070,,
0.6195,78,14.6,21.8,0.0070,,
0.6270,79,15.7,21.8,0.0070,,
0.6355,80,16.8,21.8,0.0075,,
0.6440,81,17.6,21.8,0.0075,,
0.6525,82,18.7,21.9,0.0070,,
0.6610,83,19.6,21.9,0.0070,,
0.6690,84,20.3,21.9,0.0065,,
0.6770,85,21.4,21.9,0.0075,,
0.6850,86,22.2,21.9,0.0075,,
0.6935,87,23.0,21.9,0.0075,,
0.7020,88,23.7,21.9,0.0070,,
0.7105,89,24.4,21.9,0.0070,,
0.7190,90,25.9,21.8,0.0070,,
0.7265,91,27.2,21.9,0.0070,,
0.7350,92,28.1,21.9,0.0075,,
0.7435,93,29.0,21.8,0.0075,,
0.7520,94,29.8,21.8,0.0070,,
0.7600,95,30.7,21.9,0.0065,,
0.7685,96,31.5,21.9,0.0070,,
0.7760,97,32.3,21.9,0.0070,,
0.7845,98,33.1,21.8,0.0075,,
0.7930,99,34.0,21.9,0.0075,,
0.8015,100,34.7,21.9,0.0070,,
0.8100,101,35.5,21.9,0.0070,,
0.8185,102,36.3,21.9,0.0070,,
0.8260,103,36.6,21.9,0.0070,,
0.8345,104,37.4,21.9,0.0075,,
0.8425,105,38.3,21.9,0.0075,,
0.8510,106,38.8,21.9,0.0070,,
0.8595,107,39.8,21.9,0.0070,,
0.8680,108,40.3,21.9,0.0070,,
0.8755,109,41.0,21.9,0.0070,,
0.8840,110,42.0,21.9,0.0075,,
0.8925,111,42.4,21.9,0.0075,,
0.9010,112,43.4,21.9,0.0070,,
0.9090,113,44.4,21.9,0.0065,,
0.9175,114,45.5,21.9,0.0070,,
0.9250,115,46.1,21.9,0.0070,,
0.9335,116,46.6,21.9,0.0075,,
0.9420,117,47.5,21.9,0.0075,,
0.9505,118,48.3,21.9,0.0070,,
0.9590,119,49.0,21.9,0.0070,,
0.9675,120,50.0,21.9,0.0070,,
0.9750,121,50.4,21.9,0.0070,,
0.9835,122,51.2,21.9,0.0075,,
0.9915,123,52.5,21.9,0.0075,,
1.0000,124,53.2,21.9,0.0070,,
1.0085,125,53.8,21.9,0.0070,,
1.0170,126,54.6,21.9,0.0070,,
1.0245,127,55.6,21.9,0.0070,,
1.0330,128,56.2,21.9,0.0075,,
1.0415,129,57.2,21.9,0.0075,,
1.0500,130,58.1,21.9,0.0070,,
1.0585,131,59.1,21.9,0.0070,,
1.0665,132,60.3,21.9,0.0065,,
1.0745,133,60.8,21.9,0.0075,,
1.0825,134,61.9,21.9,0.0075,,
1.0910,135,62.9,21.9,0.0070,,
1.0995,136,63.9,21.9,0.0070,,
1.1080,137,64.9,21.9,0.0070,,
1.1165,138,66.0,21.9,0.0070,,
1.1240,139,67.0,21.8,0.0070,,
1.1325,140,68.3,21.9,0.0075,,
1.1410,141,69.2,21.9,0.0070,,
1.1490,142,70.5,21.9,0.0065,,
1.1575,143,71.7,21.9,0.0070,,
1.1660,144,72.9,21.9,0.0070,,
1.1735,145,74.0,21.9,0.0070,,
1.1820,146,75.2,21.9,0.0075,,
1.1905,147,76.5,21.9,0.0070,,
1.1990,148,77.9,21.9,0.0070,,
1.2075,149,79.4,21.9,0.0070,,
1.2155,150,80.8,21.9,0.0065,,
1.2235,151,83.5,21.9,0.0075,,
1.2315,152,85.3,21.9,0.0075,,
1.2400,153,87.1,21.9,0.0075,,
1.2485,154,89.0,21.9,0.0070,,
1.2570,155,90.9,21.9,0.0070,,
1.2655,156,93.3,21.9,0.0070,,
1.2730,157,95.0,21.9,0.0070,,
1.2815,158,97.0,21.9,0.0075,,
1.2900,159,99.0,21.9,0.0075,,
1.2980,160,101.8,21.9,0.0065,,
1.3065,161,104.6,21.9,0.0070,,
1.3150,162,107.4,21.9,0.0070,,
1.3225,163,110.1,21.9,0.0070,,
1.3310,164,113.8,21.9,0.0075,,
1.3395,165,118.0,21.9,0.0075,,
1.3480,166,122.1,21.9,0.0070,,
1.3565,167,126.1,21.9,0.0070,,
1.3645,168,129.8,21.9,0.0065,,
1.3725,169,134.2,21.9,0.0075,,
1.3805,170,139.6,21.9,0.0075,,
1.3890,171,144.1,21.9,0.0075,,
1.3975,172,149.1,21.9,0.0070,,
1.4060,173,153.5,21.9,0.0070,,
1.4145,174,158.1,21.9,0.0070,,
1.4220,175,161.3,21.9,0.0070,,
1.4305,176,164.6,21.9,0.0075,,
1.4390,177,167.6,21.9,0.0075,,
1.4470,178,170.8,21.9,0.0065,,
1.4555,179,173.3,21.9,0.0070,,
1.4640,180,175.7,21.9,0.0070,,
1.4715,181,178.1,21.9,0.0070,,
1.4800,182,179.9,21.9,0.0075,,
1.4885,183,181.6,21.9,0.0075,,
1.4970,184,183.4,21.9,0.0070,,
1.5030,185,185.4,21.9,0.0050,,
1.5050,186,186.6,21.9,0.0015,,
1.5050,187,186.4,21.9,0.0000,,
1.5055,188,186.1,21.9,0.0005,,
1.5065,189,186.5,21.9,0.0010,,
1.5080,190,187.0,21.9,0.0010,,
1.5105,191,187.6,21.9,0.0020,,
1.5140,192,188.1,21.9,0.0030,,
1.5175,193,188.2,21.9,0.0030,,
1.5195,194,188.8,21.9,0.0020,,
1.5195,195,188.9,21.9,0.0000,,
1.5200,196,189.3,21.9,0.0005,,
1.5210,197,189.4,21.9,0.0010,,
1.5220,198,189.7,21.9,0.0010,,
1.5220,198,190.1,21.9,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.1,22.1,NaN,,
0.0005,1,189.3,22.1,0.0005,,
0.0020,2,189.2,22.1,0.0015,,
0.0050,3,189.5,22.1,0.0025,,
0.0085,4,190.1,22.1,0.0030,,
0.0145,5,191.0,22.1,0.0050,,
0.0230,6,191.8,22.1,0.0070,,
0.0305,7,192.9,22.1,0.0070,,
0.0390,8,194.1,22.1,0.0075,,
0.0475,9,195.3,22.1,0.0070,,
0.0560,10,196.6,22.1,0.0070,,
0.0640,11,197.7,22.1,0.0065,,
0.0725,12,198.7,22.0,0.0075,,
0.0805,13,199.7,22.1,0.0075,,
0.0885,14,200.6,22.1,0.0075,,
0.0970,15,201.4,22.1,0.0070,,
0.1055,16,202.5,22.1,0.0070,,
0.1140,17,203.3,22.1,0.0070,,
0.1225,18,203.8,22.1,0.0075,,
0.1300,19,204.2,22.1,0.0070,,
0.1385,20,205.1,22.0,0.0075,,
0.1470,21,206.3,22.0,0.0070,,
0.1550,22,207.2,22.1,0.0065,,
0.1635,23,207.5,22.0,0.0070,,
0.1720,24,207.9,22.1,0.0070,,
0.1795,25,208.1,22.0,0.0070,,
0.1880,26,208.6,22.0,0.0075,,
0.1965,27,209.2,22.1,0.0075,,
0.2050,28,209.9,22.1,0.0070,,
0.2130,29,210.6,22.0,0.0065,,
0.2215,30,211.5,22.0,0.0070,,
0.2290,31,211.7,22.0,0.0070,,
0.2375,32,212.4,22.0,0.0075,,
0.2460,33,212.9,22.0,0.0075,,
0.2545,34,213.4,22.0,0.0070,,
0.2630,35,214.0,22.0,0.0070,,
0.2715,36,214.5,22.0,0.0070,,
0.2790,37,214.9,22.0,0.0070,,
0.2875,38,215.4,22.0,0.0075,,
0.2960,39,215.9,22.0,0.0075,,
0.3040,40,216.3,22.0,0.0065,,
0.3125,41,216.9,22.0,0.0070,,
0.3210,42,217.4,22.0,0.0070,,
0.3285,43,218.6,22.0,0.0070,,
0.3370,44,219.3,22.0,0.0075,,
0.3455,45,219.7,22.0,0.0075,,
0.3540,46,220.2,22.1,0.0070,,
0.3620,47,220.6,22.0,0.0065,,
0.3705,48,220.8,22.0,0.0070,,
0.3780,49,221.4,22.0,0.0070,,
0.3865,50,221.9,22.0,0.0075,,
0.3950,51,222.2,22.0,0.0075,,
0.4035,52,222.6,22.0,0.0070,,
0.4120,53,223.0,22.0,0.0070,,
0.4205,54,223.2,22.0,0.0070,,
0.4280,55,223.6,22.0,0.0070,,
0.4365,56,224.0,22.0,0.0075,,
0.4450,57,224.4,22.0,0.0075,,
0.4530,58,224.8,22.0,0.0065,,
0.4615,59,225.0,22.0,0.0070,,
0.4700,60,225.3,22.0,0.0070,,
0.4775,61,225.5,22.0,0.0070,,
0.4860,62,226.2,22.0,0.0075,,
0.4945,63,226.6,22.0,0.0075,,
0.5030,64,226.7,22.0,0.0070,,
0.5115,65,226.6,22.0,0.0070,,
0.5195,66,226.9,22.0,0.0065,,
0.5275,67,227.7,22.0,0.0075,,
0.5355,68,227.9,22.0,0.0075,,
0.5440,69,228.0,22.0,0.0075,,
0.5525,70,228.0,22.0,0.0070,,
0.5610,71,228.2,22.0,0.0070,,
0.5695,72,228.4,22.0,0.0070,,
0.5770,73,228.8,22.0,0.0070,,
0.5855,74,229.0,22.0,0.0075,,
0.5940,75,229.4,22.0,0.0075,,
0.6020,76,230.0,22.0,0.0065,,
0.6105,77,230.5,22.0,0.0070,,
0.6190,78,230.2,22.0,0.0070,,
0.6265,79,230.9,22.0,0.0070,,
0.6350,80,230.9,22.0,0.0075,,
0.6435,81,230.7,22.0,0.0070,,
0.6520,82,231.1,22.0,0.0070,,
0.6605,83,231.3,22.0,0.0070,,
0.6690,84,231.6,22.0,0.0070,,
0.6765,85,232.1,22.0,0.0070,,
0.6850,86,232.1,22.0,0.0075,,
0.6930,87,232.3,22.0,0.0065,,
0.7015,88,232.5,22.0,0.0070,,
0.7100,89,232.8,22.0,0.0070,,
0.7185,90,233.0,22.0,0.0075,,
0.7260,91,233.6,22.0,0.0070,,
0.7345,92,233.5,22.0,0.0075,,
0.7430,93,233.9,22.0,0.0075,,
0.7515,94,234.1,22.0,0.0070,,
0.7595,95,234.4,22.0,0.0065,,
0.7680,96,234.6,22.0,0.0070,,
0.7755,97,234.9,22.0,0.0070,,
0.7840,98,234.9,22.0,0.0075,,
0.7925,99,235.2,22.0,0.0070,,
0.8010,100,235.5,22.0,0.0070,,
0.8095,101,235.6,22.0,0.0070,,
0.8175,102,235.8,22.0,0.0065,,
0.8250,103,236.5,22.0,0.0070,,
0.8330,104,237.3,22.0,0.0075,,
0.8395,105,237.5,22.0,0.0060,,
0.8435,106,237.6,22.0,0.0035,,
0.8445,107,237.9,22.0,0.0010,,
0.8460,108,237.8,22.0,0.0010,,
0.8485,109,237.9,22.0,0.0025,,
0.8515,110,238.0,22.0,0.0025,,
0.8555,111,237.8,22.0,0.0035,,
0.8605,112,238.1,22.0,0.0040,,
0.8675,113,238.0,22.0,0.0060,,
0.8740,114,238.2,22.0,0.0055,,
0.8795,115,238.3,22.0,0.0050,,
0.8855,116,238.7,22.0,0.0055,,
0.8940,117,239.0,22.0,0.0075,,
0.9020,118,239.1,22.0,0.0065,,
0.9055,119,239.2,22.0,0.0030,,
0.9060,120,239.1,22.0,0.0005,,
0.9075,121,239.0,22.0,0.0015,,
0.9095,122,238.6,22.0,0.0020,,
0.9130,123,238.3,22.0,0.0030,,
0.9165,124,238.7,22.0,0.0030,,
0.9190,125,239.0,22.0,0.0020,,
0.9195,126,239.0,22.0,0.0005,,
0.9200,127,238.8,22.0,0.0005,,
0.9210,128,238.9,22.0,0.0010,,
0.9220,129,239.2,22.0,0.0010,,
0.9230,130,239.2,22.0,0.0010,,
0.9245,131,239.3,22.0,0.0010,,
0.9250,132,239.2,22.0,0.0005,,
0.9260,133,239.2,22.0,0.0010,,
0.9265,134,239.3,22.0,0.0005,,
0.9270,135,239.1,22.0,0.0005,,
0.9285,136,239.0,22.0,0.0010,,
0.9295,137,239.0,22.0,0.0010,,
0.9300,138,239.1,22.0,0.0005,,
0.9310,139,239.3,22.0,0.0010,,
0.9315,140,239.4,22.0,0.0005,,
0.9320,140,240.1,22.0,0.0010,,
Scope 1/1, Sample 2/9 (131)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.4,21.7,NaN,,
0.0005,1,-100.1,21.6,0.0005,,
0.0020,2,-100.5,21.6,0.0015,,
0.0050,3,-100.3,21.6,0.0025,,
0.0090,4,-100.2,21.6,0.0035,,
0.0150,5,-99.9,21.6,0.0050,,
0.0235,6,-99.9,21.6,0.0075,,
0.0310,7,-99.5,21.6,0.0070,,
0.0395,8,-99.1,21.6,0.0075,,
0.0480,9,-98.6,21.6,0.0070,,
0.0565,10,-98.3,21.6,0.0070,,
0.0650,11,-97.7,21.6,0.0070,,
0.0730,12,-97.4,21.6,0.0075,,
0.0810,13,-97.0,21.6,0.0075,,
0.0890,14,-96.1,21.6,0.0075,,
0.0975,15,-95.4,21.6,0.0070,,
0.1060,16,-94.8,21.6,0.0070,,
0.1145,17,-94.5,21.6,0.0070,,
0.1230,18,-94.0,21.6,0.0070,,
0.1305,19,-93.7,21.6,0.0070,,
0.1390,20,-93.0,21.6,0.0075,,
0.1475,21,-92.3,21.6,0.0070,,
0.1555,22,-91.5,21.6,0.0065,,
0.1640,23,-90.6,21.6,0.0070,,
0.1725,24,-89.9,21.6,0.0070,,
0.1800,25,-89.1,21.6,0.0070,,
0.1885,26,-88.1,21.6,0.0075,,
0.1970,27,-86.9,21.6,0.0075,,
0.2055,28,-85.8,21.6,0.0070,,
0.2135,29,-84.5,21.6,0.0065,,
0.2220,30,-83.7,21.6,0.0070,,
0.2305,31,-82.9,21.6,0.0075,,
0.2380,32,-81.7,21.6,0.0070,,
0.2465,33,-81.1,21.6,0.0075,,
0.2550,34,-80.3,21.6,0.0070,,
0.2635,35,-78.8,21.6,0.0070,,
0.2720,36,-78.2,21.6,0.0070,,
0.2795,37,-77.0,21.6,0.0070,,
0.2880,38,-76.1,21.6,0.0075,,
0.2965,39,-75.0,21.6,0.0075,,
0.3045,40,-73.7,21.6,0.0065,,
0.3130,41,-72.4,21.6,0.0070,,
0.3215,42,-71.0,21.6,0.0070,,
0.3290,43,-69.5,21.6,0.0070,,
0.3375,44,-68.4,21.6,0.0075,,
0.3460,45,-66.6,21.6,0.0070,,
0.3545,46,-65.1,21.6,0.0070,,
0.3630,47,-63.4,21.6,0.0070,,
