Raw Data
Scope 1/1, Sample 1/9 (217)
Method Function,Sample (S1)
Creation time,3/19/2018 11:04:18 AM,
Sample start time,3/19/2018 11:04:18 AM,
Sample size,49.8915 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 11:04:19 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 11:04:28 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143800 mmol,
VEQ1,1.4380 mL,
EST,-98.3 mV,
VEX,0 mL,
VEND,1.4380 mL,
t,03:19 min,
QEND,0.143800 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 11:07:57 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 11:14:57 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093000 mmol,
VEQ1,0.9300 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,0.9300 mL,
t,02:37 min,
QEND,0.093000 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/9 (219)
Method Function,Sample (S1)
Creation time,3/19/2018 11:17:55 AM,
Sample start time,3/19/2018 11:17:55 AM,
Sample size,50.0387 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 11:17:55 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 11:17:55 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.151983 mmol,
VEQ1,1.519833 mL,
EST,-99.5 mV,
VEX,0.000166 mL,
VEND,1.520000 mL,
t,03:26 min,
QEND,0.152000 mmol,
QEX,0.000017 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 11:21:30 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 11:28:31 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093550 mmol,
VEQ1,0.9355 mL,
EST,190.2 mV,
VEX,0 mL,
VEND,0.9355 mL,
t,02:36 min,
QEND,0.093550 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (221)
Method Function,Sample (S1)
Creation time,3/19/2018 11:31:28 AM,
Sample start time,3/19/2018 11:31:28 AM,
Sample size,49.8785 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 11:31:28 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 11:31:29 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.145000 mmol,
VEQ1,1.4500 mL,
EST,-99.8 mV,
VEX,0 mL,
VEND,1.4500 mL,
t,03:16 min,
QEND,0.145000 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 11:34:53 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 11:41:54 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092900 mmol,
VEQ1,0.9290 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9290 mL,
t,02:33 min,
QEND,0.092900 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 4/9 (223)
Method Function,Sample (S1)
Creation time,3/19/2018 11:44:48 AM,
Sample start time,3/19/2018 11:44:48 AM,
Sample size,49.9461 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 11:44:48 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 11:44:48 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.157100 mmol,
VEQ1,1.5710 mL,
EST,-96.7 mV,
VEX,0 mL,
VEND,1.5710 mL,
t,03:30 min,
QEND,0.157100 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 11:48:27 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 11:55:28 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093250 mmol,
VEQ1,0.9325 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9325 mL,
t,02:40 min,
QEND,0.093250 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 5/9 (8)
Method Function,Sample (S1)
Creation time,3/19/2018 11:58:29 AM,
Sample start time,3/19/2018 11:58:29 AM,
Sample size,49.9466 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 11:58:30 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 11:58:30 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.152250 mmol,
VEQ1,1.5225 mL,
EST,-97.1 mV,
VEX,0 mL,
VEND,1.5225 mL,
t,03:29 min,
QEND,0.152250 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 12:02:07 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 12:09:08 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092800 mmol,
VEQ1,0.9280 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,0.9280 mL,
t,02:36 min,
QEND,0.092800 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 6/9 (10)
Method Function,Sample (S1)
Creation time,3/19/2018 12:12:06 PM,
Sample start time,3/19/2018 12:12:06 PM,
Sample size,49.9471 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 12:12:06 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 12:12:06 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.148000 mmol,
VEQ1,1.4800 mL,
EST,-97.3 mV,
VEX,0 mL,
VEND,1.4800 mL,
t,03:20 min,
QEND,0.148000 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 12:15:34 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 12:22:35 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092450 mmol,
VEQ1,0.9245 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,0.9245 mL,
t,02:46 min,
QEND,0.092450 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 7/9 (12)
Method Function,Sample (S1)
Creation time,3/19/2018 12:25:42 PM,
Sample start time,3/19/2018 12:25:42 PM,
Sample size,49.9558 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 12:25:42 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 12:25:42 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143500 mmol,
VEQ1,1.4350 mL,
EST,-97.5 mV,
VEX,0.001499 mL,
VEND,1.436499 mL,
t,03:16 min,
QEND,0.143650 mmol,
QEX,0.000150 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 12:29:08 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 12:36:08 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092200 mmol,
VEQ1,0.9220 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9220 mL,
t,02:24 min,
QEND,0.092200 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 8/9 (14)
Method Function,Sample (S1)
Creation time,3/19/2018 12:38:54 PM,
Sample start time,3/19/2018 12:38:54 PM,
Sample size,49.9741 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 12:38:54 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 12:38:54 PM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.154050 mmol,
VEQ1,1.5405 mL,
EST,-94.8 mV,
VEX,0 mL,
VEND,1.5405 mL,
t,03:28 min,
QEND,0.154050 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 12:42:31 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 12:49:32 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092450 mmol,
VEQ1,0.9245 mL,
EST,189.3 mV,
VEX,0.001499 mL,
VEND,0.925999 mL,
t,02:29 min,
QEND,0.092600 mmol,
QEX,0.000150 mmol,
Scope 1/1, Sample 9/9 (16)
Method Function,Sample (S1)
Creation time,3/19/2018 12:52:21 PM,
Sample start time,3/19/2018 12:52:21 PM,
Sample size,50.0468 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/19/2018 12:52:21 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/19/2018 12:52:21 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.144200 mmol,
VEQ1,1.4420 mL,
EST,-97.9 mV,
VEX,0 mL,
VEND,1.4420 mL,
t,03:20 min,
QEND,0.144200 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/19/2018 12:55:51 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/19/2018 1:02:51 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.092750 mmol,
VEQ1,0.9275 mL,
EST,190.3 mV,
VEX,0.000499 mL,
VEND,0.927999 mL,
t,02:46 min,
QEND,0.092800 mmol,
QEX,0.000050 mmol,

Table of Measured Values
Task,T323
Scope 1/1, Sample 1/9 (217)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-98.3,21.8,NaN,,
0.0005,1,-103.0,21.8,0.0005,,
0.0020,2,-103.3,21.8,0.0015,,
0.0050,3,-103.6,21.8,0.0025,,
0.0085,4,-103.9,21.8,0.0030,,
0.0150,5,-104.7,21.8,0.0055,,
0.0235,6,-104.5,21.8,0.0070,,
0.0310,7,-104.2,21.8,0.0070,,
0.0395,8,-103.7,21.8,0.0075,,
0.0480,9,-103.2,21.8,0.0075,,
0.0565,10,-102.6,21.8,0.0070,,
0.0645,11,-101.7,21.8,0.0065,,
0.0730,12,-100.9,21.8,0.0070,,
0.0805,13,-100.2,21.8,0.0070,,
0.0890,14,-99.9,21.8,0.0075,,
0.0975,15,-99.5,21.8,0.0075,,
0.1060,16,-98.7,21.8,0.0070,,
0.1145,17,-97.9,21.8,0.0070,,
0.1230,18,-97.2,21.8,0.0070,,
0.1305,19,-96.4,21.8,0.0070,,
0.1390,20,-95.2,21.8,0.0075,,
0.1470,21,-94.3,21.8,0.0075,,
0.1555,22,-93.5,21.8,0.0070,,
0.1640,23,-92.9,21.8,0.0070,,
0.1725,24,-92.2,21.8,0.0070,,
0.1800,25,-90.5,21.8,0.0070,,
0.1885,26,-89.3,21.8,0.0075,,
0.1970,27,-88.3,21.8,0.0075,,
0.2055,28,-87.2,21.8,0.0070,,
0.2135,29,-86.2,21.8,0.0065,,
0.2220,30,-85.2,21.8,0.0070,,
0.2295,31,-84.2,21.8,0.0070,,
0.2380,32,-83.5,21.8,0.0075,,
0.2465,33,-82.5,21.8,0.0075,,
0.2550,34,-80.7,21.8,0.0070,,
0.2635,35,-79.3,21.8,0.0070,,
0.2720,36,-78.0,21.8,0.0070,,
0.2800,37,-76.7,21.8,0.0075,,
0.2875,38,-75.5,21.8,0.0060,,
0.2960,39,-74.0,21.8,0.0075,,
0.3045,40,-72.3,21.8,0.0070,,
0.3130,41,-71.1,21.8,0.0070,,
0.3215,42,-69.4,21.8,0.0070,,
0.3300,43,-67.7,21.8,0.0075,,
0.3375,44,-66.2,21.8,0.0070,,
0.3460,45,-63.6,21.8,0.0075,,
0.3540,46,-61.6,21.8,0.0065,,
0.3625,47,-59.3,21.8,0.0070,,
0.3710,48,-57.2,21.8,0.0070,,
0.3795,49,-55.2,21.8,0.0075,,
0.3870,50,-52.8,21.8,0.0070,,
0.3955,51,-50.5,21.8,0.0075,,
0.4040,52,-47.7,21.8,0.0070,,
0.4125,53,-44.9,21.8,0.0070,,
0.4210,54,-41.4,21.8,0.0070,,
0.4290,55,-37.8,21.8,0.0075,,
0.4370,56,-34.2,21.8,0.0075,,
0.4450,57,-29.8,21.8,0.0075,,
0.4535,58,-25.0,21.8,0.0070,,
0.4620,59,-20.7,21.8,0.0070,,
0.4705,60,-16.2,21.8,0.0070,,
0.4790,61,-11.7,21.8,0.0070,,
0.4865,62,-8.6,21.8,0.0070,,
0.4950,63,-5.6,21.8,0.0075,,
0.5035,64,-2.9,21.8,0.0070,,
0.5115,65,0.3,21.8,0.0065,,
0.5200,66,1.6,21.8,0.0070,,
0.5285,67,3.6,21.8,0.0075,,
0.5360,68,5.5,21.8,0.0070,,
0.5445,69,6.8,21.8,0.0075,,
0.5530,70,8.9,21.8,0.0070,,
0.5615,71,10.2,21.8,0.0070,,
0.5700,72,11.4,21.8,0.0070,,
0.5780,73,12.6,21.8,0.0075,,
0.5860,74,14.0,21.8,0.0075,,
0.5945,75,15.5,21.8,0.0075,,
0.6025,76,16.7,21.8,0.0065,,
0.6110,77,17.8,21.8,0.0070,,
0.6195,78,18.7,21.8,0.0070,,
0.6270,79,19.7,21.8,0.0070,,
0.6355,80,20.7,21.8,0.0075,,
0.6440,81,21.5,21.8,0.0075,,
0.6525,82,22.2,21.8,0.0070,,
0.6610,83,23.2,21.8,0.0070,,
0.6690,84,24.3,21.8,0.0065,,
0.6770,85,25.1,21.8,0.0075,,
0.6850,86,26.2,21.8,0.0075,,
0.6935,87,27.3,21.8,0.0075,,
0.7020,88,28.5,21.8,0.0070,,
0.7105,89,29.9,21.8,0.0070,,
0.7190,90,31.2,21.8,0.0070,,
0.7265,91,32.0,21.8,0.0070,,
0.7350,92,33.0,21.8,0.0075,,
0.7435,93,33.5,21.8,0.0075,,
0.7520,94,34.3,21.8,0.0070,,
0.7600,95,35.7,21.8,0.0065,,
0.7685,96,36.7,21.8,0.0070,,
0.7760,97,37.2,21.8,0.0070,,
