Raw Data
Scope 1/1, Sample 1/9 (217)
Method Function,Sample (S1)
0.7845,98,38.0,21.8,0.0075,,
0.7930,99,39.1,21.8,0.0075,,
0.8015,100,40.1,21.8,0.0070,,
0.8100,101,41.2,21.8,0.0070,,
0.8185,102,41.7,21.8,0.0070,,
0.8260,103,42.4,21.8,0.0070,,
0.8345,104,43.6,21.8,0.0075,,
0.8425,105,44.5,21.8,0.0065,,
0.8510,106,45.3,21.8,0.0070,,
0.8595,107,46.4,21.8,0.0070,,
0.8680,108,47.3,21.8,0.0070,,
0.8755,109,48.0,21.8,0.0070,,
0.8840,110,48.8,21.8,0.0075,,
0.8925,111,49.3,21.8,0.0075,,
0.9010,112,50.1,21.8,0.0070,,
0.9090,113,51.0,21.8,0.0065,,
0.9175,114,52.1,21.8,0.0070,,
0.9250,115,52.9,21.8,0.0070,,
0.9335,116,54.0,21.8,0.0075,,
0.9420,117,55.0,21.8,0.0070,,
0.9505,118,55.9,21.8,0.0070,,
0.9590,119,56.9,21.8,0.0070,,
0.9675,120,58.2,21.8,0.0070,,
0.9750,121,59.2,21.8,0.0070,,
0.9835,122,59.9,21.8,0.0075,,
0.9915,123,60.6,21.8,0.0075,,
1.0000,124,61.6,21.8,0.0070,,
1.0085,125,62.6,21.8,0.0070,,
1.0170,126,63.8,21.8,0.0070,,
1.0245,127,64.8,21.8,0.0070,,
1.0330,128,65.7,21.8,0.0075,,
1.0415,129,67.0,21.8,0.0075,,
1.0500,130,68.3,21.8,0.0070,,
1.0585,131,69.7,21.8,0.0070,,
1.0665,132,71.3,21.8,0.0065,,
1.0745,133,72.2,21.8,0.0075,,
1.0825,134,73.5,21.8,0.0075,,
1.0910,135,75.2,21.8,0.0070,,
1.0995,136,76.2,21.8,0.0070,,
1.1080,137,77.3,21.8,0.0070,,
1.1165,138,79.2,21.8,0.0070,,
1.1240,139,80.2,21.8,0.0070,,
1.1325,140,81.8,21.8,0.0075,,
1.1410,141,83.8,21.8,0.0070,,
1.1490,142,86.2,21.8,0.0065,,
1.1575,143,88.1,21.8,0.0070,,
1.1660,144,89.9,21.8,0.0070,,
1.1735,145,91.8,21.8,0.0070,,
1.1820,146,94.0,21.8,0.0075,,
1.1905,147,96.2,21.8,0.0070,,
1.1990,148,97.7,21.8,0.0070,,
1.2075,149,100.2,21.8,0.0070,,
1.2150,150,102.3,21.8,0.0070,,
1.2235,151,104.4,21.8,0.0075,,
1.2320,152,107.2,21.8,0.0075,,
1.2400,153,110.9,21.8,0.0065,,
1.2485,154,115.2,21.8,0.0070,,
1.2570,155,119.5,21.8,0.0070,,
1.2645,156,121.4,21.8,0.0070,,
1.2730,157,125.7,21.8,0.0075,,
1.2815,158,131.2,21.8,0.0075,,
1.2900,159,136.8,21.8,0.0070,,
1.2985,160,140.6,21.8,0.0070,,
1.3065,161,145.3,21.8,0.0065,,
1.3145,162,150.2,21.8,0.0075,,
1.3225,163,154.6,21.8,0.0075,,
1.3310,164,158.8,21.8,0.0075,,
1.3395,165,162.4,21.8,0.0070,,
1.3480,166,165.7,21.8,0.0070,,
1.3565,167,168.2,21.8,0.0070,,
1.3650,168,171.3,21.8,0.0075,,
1.3725,169,174.1,21.8,0.0070,,
1.3810,170,176.5,21.8,0.0075,,
1.3890,171,178.6,21.8,0.0065,,
1.3975,172,180.6,21.8,0.0070,,
1.4060,173,182.5,21.8,0.0070,,
1.4140,174,184.2,21.8,0.0065,,
1.4195,175,185.1,21.8,0.0050,,
1.4230,176,186.7,21.8,0.0030,,
1.4245,177,187.4,21.8,0.0010,,
1.4255,178,187.6,21.8,0.0010,,
1.4260,179,187.2,21.8,0.0005,,
1.4270,180,187.1,21.8,0.0010,,
1.4275,181,187.3,21.8,0.0005,,
1.4290,182,187.3,21.8,0.0015,,
1.4300,183,187.8,21.8,0.0010,,
1.4305,184,187.7,21.8,0.0005,,
1.4320,185,187.9,21.8,0.0010,,
1.4335,186,188.0,21.8,0.0010,,
1.4340,187,188.4,21.8,0.0005,,
1.4345,188,188.6,21.8,0.0005,,
1.4350,189,188.7,21.8,0.0005,,
1.4355,190,188.8,21.8,0.0005,,
1.4360,191,188.7,21.8,0.0005,,
1.4370,192,188.8,21.8,0.0010,,
1.4380,193,190.0,21.8,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.1,22.1,NaN,,
0.0005,1,189.8,22.1,0.0005,,
0.0020,2,189.6,22.1,0.0015,,
0.0050,3,190.2,22.1,0.0025,,
0.0085,4,190.8,22.1,0.0030,,
0.0145,5,191.3,22.1,0.0050,,
0.0230,6,192.4,22.1,0.0070,,
0.0305,7,193.2,22.1,0.0070,,
0.0390,8,194.2,22.1,0.0075,,
0.0475,9,195.0,22.1,0.0075,,
0.0560,10,195.7,22.1,0.0070,,
0.0640,11,196.9,22.1,0.0065,,
0.0725,12,197.8,22.1,0.0070,,
0.0800,13,198.6,22.1,0.0070,,
0.0885,14,199.8,22.1,0.0075,,
0.0970,15,200.4,22.1,0.0075,,
0.1055,16,201.6,22.1,0.0070,,
0.1140,17,202.2,22.1,0.0070,,
0.1225,18,203.1,22.1,0.0070,,
0.1300,19,203.8,22.1,0.0070,,
0.1380,20,205.3,22.1,0.0075,,
0.1465,21,206.1,22.1,0.0075,,
0.1550,22,206.6,22.1,0.0070,,
0.1635,23,207.4,22.1,0.0070,,
0.1720,24,207.7,22.1,0.0070,,
0.1795,25,208.3,22.1,0.0070,,
0.1880,26,208.6,22.1,0.0075,,
0.1965,27,209.6,22.1,0.0075,,
0.2050,28,210.7,22.1,0.0070,,
0.2130,29,211.5,22.1,0.0065,,
0.2215,30,212.2,22.1,0.0070,,
0.2295,31,212.8,22.1,0.0075,,
0.2375,32,213.3,22.1,0.0075,,
0.2460,33,214.0,22.1,0.0070,,
0.2545,34,214.6,22.1,0.0070,,
0.2630,35,214.9,22.1,0.0070,,
0.2715,36,215.4,22.1,0.0070,,
0.2790,37,215.6,22.1,0.0070,,
0.2875,38,216.2,22.1,0.0075,,
0.2960,39,216.9,22.1,0.0075,,
0.3040,40,217.1,22.1,0.0065,,
0.3125,41,217.3,22.1,0.0070,,
0.3210,42,217.5,22.1,0.0070,,
0.3285,43,218.2,22.1,0.0070,,
0.3370,44,219.0,22.1,0.0075,,
0.3455,45,219.4,22.1,0.0075,,
0.3540,46,219.7,22.1,0.0070,,
0.3625,47,219.8,22.1,0.0070,,
0.3705,48,219.9,22.1,0.0065,,
0.3785,49,220.3,22.1,0.0075,,
0.3870,50,221.2,22.1,0.0075,,
0.3950,51,221.7,22.1,0.0065,,
0.4035,52,222.0,22.1,0.0070,,
0.4120,53,222.3,22.1,0.0070,,
0.4205,54,222.5,22.1,0.0075,,
0.4280,55,222.8,22.1,0.0070,,
0.4365,56,223.3,22.1,0.0075,,
0.4450,57,224.1,22.1,0.0070,,
0.4535,58,224.8,22.1,0.0070,,
0.4615,59,225.2,22.1,0.0065,,
0.4695,60,225.3,22.1,0.0075,,
0.4775,61,225.4,22.1,0.0075,,
0.4860,62,226.0,22.1,0.0075,,
0.4945,63,226.6,22.1,0.0070,,
0.5030,64,226.8,22.1,0.0070,,
0.5115,65,227.2,22.1,0.0070,,
0.5190,66,227.5,22.1,0.0070,,
0.5275,67,227.9,22.1,0.0075,,
0.5360,68,228.0,22.1,0.0075,,
0.5440,69,228.5,22.1,0.0065,,
0.5525,70,228.7,22.1,0.0070,,
0.5610,71,229.1,22.1,0.0070,,
0.5695,72,229.4,22.1,0.0075,,
0.5770,73,229.6,22.1,0.0070,,
0.5855,74,229.9,22.1,0.0075,,
0.5940,75,230.2,22.1,0.0070,,
0.6025,76,230.5,22.1,0.0070,,
0.6105,77,230.8,22.1,0.0065,,
0.6190,78,231.0,22.1,0.0075,,
0.6265,79,231.0,22.1,0.0070,,
0.6350,80,231.3,22.1,0.0075,,
0.6435,81,231.4,22.1,0.0075,,
0.6520,82,231.2,22.1,0.0070,,
0.6605,83,231.8,22.1,0.0070,,
0.6690,84,232.6,22.1,0.0070,,
0.6765,85,233.0,22.1,0.0070,,
0.6850,86,233.2,22.1,0.0075,,
0.6930,87,233.3,22.1,0.0075,,
0.7015,88,233.7,22.1,0.0070,,
0.7100,89,234.0,22.1,0.0070,,
0.7185,90,234.1,22.1,0.0070,,
0.7260,91,234.1,22.1,0.0070,,
0.7345,92,234.7,22.1,0.0075,,
0.7430,93,234.9,22.1,0.0070,,
0.7515,94,235.1,22.1,0.0070,,
0.7595,95,235.5,22.1,0.0065,,
0.7680,96,235.7,22.1,0.0070,,
0.7755,97,235.8,22.1,0.0070,,
0.7840,98,236.0,22.1,0.0075,,
0.7925,99,235.8,22.1,0.0070,,
0.8010,100,235.8,22.1,0.0070,,
0.8095,101,235.6,22.1,0.0070,,
0.8180,102,235.7,22.1,0.0075,,
0.8255,103,235.9,22.1,0.0070,,
0.8335,104,236.2,22.1,0.0075,,
0.8420,105,236.6,22.1,0.0070,,
0.8505,106,236.9,22.1,0.0070,,
0.8590,107,237.6,22.1,0.0070,,
0.8665,108,238.0,22.1,0.0070,,
0.8750,109,238.5,22.1,0.0075,,
0.8835,110,238.6,22.1,0.0075,,
0.8920,111,238.7,22.1,0.0070,,
0.8950,112,238.9,22.1,0.0025,,
0.8955,113,238.6,22.1,0.0005,,
0.8960,114,238.5,22.1,0.0005,,
0.8965,115,238.8,22.1,0.0005,,
0.8985,116,238.7,22.1,0.0020,,
0.8995,117,238.8,22.1,0.0010,,
0.9005,118,239.1,22.1,0.0010,,
0.9020,119,239.2,22.1,0.0010,,
0.9040,120,239.1,22.1,0.0020,,
0.9055,121,239.3,22.1,0.0015,,
0.9060,122,239.4,22.1,0.0005,,
0.9070,123,239.4,22.1,0.0010,,
0.9080,124,239.4,22.1,0.0010,,
0.9090,125,239.3,22.1,0.0010,,
0.9105,126,239.5,22.1,0.0015,,
0.9115,127,239.5,22.1,0.0010,,
0.9130,128,239.3,22.1,0.0015,,
0.9130,129,239.5,22.1,0.0000,,
0.9135,130,239.6,22.1,0.0005,,
0.9145,131,239.4,22.1,0.0010,,
0.9150,132,239.7,22.1,0.0005,,
0.9160,133,239.6,22.1,0.0010,,
0.9170,134,239.3,22.1,0.0010,,
0.9175,135,238.8,22.1,0.0005,,
0.9195,136,238.7,22.1,0.0015,,
0.9200,137,239.3,22.1,0.0005,,
0.9205,138,239.6,22.1,0.0005,,
0.9215,139,239.4,22.1,0.0010,,
0.9225,140,239.4,22.1,0.0010,,
0.9225,141,239.5,22.1,0.0000,,
0.9240,142,239.8,22.1,0.0010,,
0.9245,143,239.8,22.1,0.0005,,
0.9250,144,239.8,22.1,0.0005,,
0.9260,145,239.9,22.1,0.0010,,
0.9265,146,239.9,22.1,0.0005,,
0.9270,147,239.9,22.1,0.0005,,
0.9280,148,239.9,22.1,0.0010,,
0.9285,149,239.8,22.1,0.0005,,
0.9290,150,239.7,22.1,0.0005,,
0.9300,151,240.0,22.1,0.0010,,
Scope 1/1, Sample 2/9 (219)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-99.5,22.2,NaN,,
0.0005,1,-103.6,22.1,0.0005,,
0.0020,2,-103.9,22.1,0.0010,,
0.0050,3,-103.5,22.1,0.0025,,
0.0085,4,-103.4,22.1,0.0025,,
0.0145,5,-103.1,22.1,0.0045,,
0.0230,6,-102.9,22.1,0.0070,,
0.0305,7,-102.6,22.1,0.0060,,
0.0390,8,-102.5,22.0,0.0070,,
0.0475,9,-102.3,22.0,0.0070,,
0.0560,10,-101.6,22.0,0.0065,,
0.0640,11,-101.1,22.0,0.0060,,
0.0725,12,-101.0,22.0,0.0065,,
0.0800,13,-100.4,22.0,0.0060,,
0.0885,14,-99.6,22.0,0.0070,,
0.0970,15,-98.5,22.0,0.0065,,
0.1055,16,-98.2,22.0,0.0065,,
0.1140,17,-97.7,22.0,0.0065,,
0.1225,18,-96.7,22.0,0.0065,,
0.1300,19,-96.5,22.0,0.0060,,
0.1385,20,-95.5,22.0,0.0070,,
0.1465,21,-95.1,22.0,0.0065,,
0.1550,22,-94.1,22.0,0.0065,,
0.1635,23,-93.0,22.0,0.0065,,
0.1720,24,-92.1,22.0,0.0065,,
0.1795,25,-91.8,22.0,0.0060,,
0.1880,26,-91.0,22.0,0.0070,,
0.1965,27,-90.1,22.0,0.0070,,
0.2050,28,-89.1,22.0,0.0065,,
0.2130,29,-88.1,22.0,0.0060,,
0.2215,30,-87.0,22.0,0.0065,,
0.2290,31,-85.8,22.0,0.0060,,
0.2375,32,-85.2,22.0,0.0070,,
0.2460,33,-84.2,22.0,0.0070,,
0.2545,34,-82.9,22.0,0.0065,,
0.2630,35,-81.2,22.1,0.0065,,
0.2715,36,-80.3,22.1,0.0065,,
0.2795,37,-78.6,22.1,0.0065,,
0.2875,38,-77.9,22.1,0.0065,,
0.2955,39,-76.9,22.0,0.0065,,
0.3040,40,-75.6,22.1,0.0065,,
0.3125,41,-74.0,22.1,0.0065,,
0.3210,42,-72.2,22.1,0.0065,,
0.3285,43,-71.4,22.1,0.0060,,
