Raw Data
Scope 1/1, Sample 1/9 (165)
Method Function,Sample (S1)
Creation time,3/16/2018 12:56:33 PM,
Sample start time,3/16/2018 12:56:33 PM,
Sample size,50.0039 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 12:56:33 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 12:56:43 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.142200 mmol,
VEQ1,1.4220 mL,
EST,-106.1 mV,
VEX,0 mL,
VEND,1.4220 mL,
t,03:13 min,
QEND,0.142200 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 1:00:05 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 1:07:05 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093550 mmol,
VEQ1,0.9355 mL,
EST,190.4 mV,
VEX,0.000000 mL,
VEND,0.935500 mL,
t,02:56 min,
QEND,0.093550 mmol,
QEX,0.000000 mmol,
Scope 1/1, Sample 2/9 (202)
Method Function,Sample (S1)
Creation time,3/16/2018 1:10:23 PM,
Sample start time,3/16/2018 1:10:23 PM,
Sample size,50.0339 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 1:10:23 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 1:10:23 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.150700 mmol,
VEQ1,1.5070 mL,
EST,-99.7 mV,
VEX,0 mL,
VEND,1.5070 mL,
t,03:23 min,
QEND,0.150700 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 1:13:55 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 1:20:56 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093800 mmol,
VEQ1,0.9380 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9380 mL,
t,02:59 min,
QEND,0.093800 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (204)
Method Function,Sample (S1)
Creation time,3/16/2018 1:24:16 PM,
Sample start time,3/16/2018 1:24:16 PM,
Sample size,50.0155 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 1:24:16 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 1:24:16 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.154850 mmol,
VEQ1,1.5485 mL,
EST,-93.9 mV,
VEX,0 mL,
VEND,1.5485 mL,
t,03:32 min,
QEND,0.154850 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 1:27:58 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 1:34:58 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093700 mmol,
VEQ1,0.9370 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,0.9370 mL,
t,02:37 min,
QEND,0.093700 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 4/9 (206)
Method Function,Sample (S1)
Creation time,3/16/2018 1:37:56 PM,
Sample start time,3/16/2018 1:37:56 PM,
Sample size,49.9944 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 1:37:57 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 1:37:57 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143546 mmol,
VEQ1,1.435458 mL,
EST,-100.2 mV,
VEX,0.000042 mL,
VEND,1.435500 mL,
t,03:17 min,
QEND,0.143550 mmol,
QEX,0.000004 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 1:41:23 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 1:48:23 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093400 mmol,
VEQ1,0.9340 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,0.9340 mL,
t,02:16 min,
QEND,0.093400 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 5/9 (208)
Method Function,Sample (S1)
Creation time,3/16/2018 1:51:00 PM,
Sample start time,3/16/2018 1:51:00 PM,
Sample size,50.0416 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 1:51:01 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 1:51:01 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.151200 mmol,
