Raw Data
Scope 1/1, Sample 1/9 (165)
Method Function,Sample (S1)
VEQ1,1.5120 mL,
EST,-98.4 mV,
VEX,0 mL,
VEND,1.5120 mL,
t,03:23 min,
QEND,0.151200 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 1:54:33 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 2:01:33 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093400 mmol,
VEQ1,0.9340 mL,
EST,190.0 mV,
VEX,0.000000 mL,
VEND,0.934000 mL,
t,02:31 min,
QEND,0.093400 mmol,
QEX,0.000000 mmol,
Scope 1/1, Sample 6/9 (210)
Method Function,Sample (S1)
Creation time,3/16/2018 2:04:26 PM,
Sample start time,3/16/2018 2:04:26 PM,
Sample size,50.0052 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 2:04:26 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 2:04:26 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143267 mmol,
VEQ1,1.432667 mL,
EST,-99.3 mV,
VEX,0.000333 mL,
VEND,1.433000 mL,
t,03:13 min,
QEND,0.143300 mmol,
QEX,0.000033 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 2:07:48 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 2:14:48 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093200 mmol,
VEQ1,0.9320 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9320 mL,
t,02:40 min,
QEND,0.093200 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 7/9 (212)
Method Function,Sample (S1)
Creation time,3/16/2018 2:17:49 PM,
Sample start time,3/16/2018 2:17:49 PM,
Sample size,49.9918 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 2:17:49 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 2:17:50 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.153546 mmol,
VEQ1,1.535458 mL,
EST,-92.1 mV,
VEX,0.000042 mL,
VEND,1.535500 mL,
t,03:25 min,
QEND,0.153550 mmol,
QEX,0.000004 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 2:21:23 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 2:28:24 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093500 mmol,
VEQ1,0.9350 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,0.9350 mL,
t,02:41 min,
QEND,0.093500 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 8/9 (213)
Method Function,Sample (S1)
Creation time,3/16/2018 2:31:26 PM,
Sample start time,3/16/2018 2:31:26 PM,
Sample size,50.0146 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 2:31:26 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 2:31:26 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.151743 mmol,
VEQ1,1.517429 mL,
EST,-97.1 mV,
VEX,0.000071 mL,
VEND,1.517499 mL,
t,03:23 min,
QEND,0.151750 mmol,
QEX,0.000007 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 2:34:59 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 2:41:59 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093150 mmol,
VEQ1,0.9315 mL,
EST,190.1 mV,
VEX,0 mL,
VEND,0.9315 mL,
t,02:35 min,
QEND,0.093150 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 9/9 (215)
Method Function,Sample (S1)
Creation time,3/16/2018 2:44:55 PM,
Sample start time,3/16/2018 2:44:55 PM,
Sample size,50.0228 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/16/2018 2:44:55 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/16/2018 2:44:55 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.156900 mmol,
VEQ1,1.5690 mL,
EST,-94.5 mV,
VEX,0 mL,
VEND,1.5690 mL,
t,03:33 min,
QEND,0.156900 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/16/2018 2:48:37 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/16/2018 2:55:38 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093200 mmol,
VEQ1,0.9320 mL,
EST,190.2 mV,
VEX,0 mL,
VEND,0.9320 mL,
t,02:34 min,
QEND,0.093200 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T307
Scope 1/1, Sample 1/9 (165)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-106.1,21.3,NaN,,
0.0005,1,-110.0,21.3,0.0005,,
0.0020,2,-110.2,21.4,0.0015,,
0.0050,3,-110.1,21.4,0.0025,,
0.0090,4,-110.0,21.4,0.0035,,
0.0150,5,-109.9,21.4,0.0050,,
0.0235,6,-109.7,21.4,0.0070,,
0.0310,7,-109.2,21.4,0.0070,,
0.0395,8,-108.6,21.4,0.0075,,
0.0480,9,-107.9,21.4,0.0070,,
0.0565,10,-107.3,21.4,0.0070,,
0.0650,11,-106.6,21.4,0.0070,,
0.0730,12,-106.1,21.4,0.0075,,
0.0810,13,-105.1,21.4,0.0075,,
0.0890,14,-104.4,21.4,0.0075,,
0.0975,15,-103.9,21.4,0.0070,,
0.1060,16,-102.9,21.4,0.0070,,
0.1145,17,-102.1,21.4,0.0070,,
0.1230,18,-101.4,21.4,0.0070,,
0.1305,19,-100.7,21.4,0.0070,,
0.1390,20,-99.9,21.4,0.0075,,
0.1475,21,-98.8,21.4,0.0070,,
0.1555,22,-97.9,21.4,0.0065,,
0.1640,23,-97.1,21.4,0.0070,,
0.1725,24,-96.3,21.4,0.0070,,
0.1800,25,-95.0,21.4,0.0070,,
0.1885,26,-94.2,21.4,0.0075,,
0.1970,27,-93.3,21.4,0.0075,,
0.2055,28,-92.3,21.4,0.0070,,
0.2140,29,-91.3,21.4,0.0070,,
0.2220,30,-90.2,21.4,0.0065,,
0.2300,31,-89.1,21.4,0.0075,,
0.2380,32,-87.9,21.4,0.0075,,
0.2465,33,-86.3,21.4,0.0070,,
0.2550,34,-84.6,21.4,0.0070,,
0.2635,35,-83.3,21.4,0.0070,,
0.2720,36,-82.6,21.4,0.0075,,
0.2795,37,-81.3,21.4,0.0070,,
0.2880,38,-80.0,21.4,0.0075,,
0.2965,39,-78.4,21.4,0.0070,,
0.3050,40,-76.8,21.4,0.0070,,
0.3130,41,-75.7,21.4,0.0065,,
0.3215,42,-74.4,21.4,0.0070,,
0.3290,43,-73.2,21.4,0.0070,,
0.3375,44,-71.6,21.4,0.0075,,
0.3460,45,-69.8,21.4,0.0070,,
0.3545,46,-67.8,21.4,0.0070,,
0.3630,47,-65.9,21.4,0.0070,,
0.3710,48,-63.8,21.4,0.0065,,
0.3790,49,-62.1,21.4,0.0075,,
0.3870,50,-59.9,21.4,0.0075,,
0.3955,51,-57.2,21.4,0.0075,,
0.4040,52,-54.7,21.4,0.0070,,
0.4125,53,-51.7,21.4,0.0070,,
0.4210,54,-48.8,21.4,0.0070,,
0.4285,55,-45.5,21.4,0.0070,,
0.4370,56,-42.5,21.4,0.0075,,
0.4455,57,-38.8,21.4,0.0075,,
0.4535,58,-34.7,21.4,0.0065,,
0.4620,59,-30.4,21.4,0.0070,,
0.4705,60,-25.8,21.4,0.0070,,
0.4780,61,-21.2,21.4,0.0070,,
0.4865,62,-16.8,21.4,0.0075,,
0.4950,63,-12.4,21.4,0.0075,,
0.5035,64,-8.9,21.4,0.0070,,
0.5120,65,-5.5,21.4,0.0070,,
0.5205,66,-2.3,21.4,0.0070,,
0.5280,67,-0.1,21.4,0.0070,,
0.5365,68,2.5,21.4,0.0075,,
0.5445,69,4.7,21.4,0.0065,,
0.5530,70,6.3,21.4,0.0070,,
0.5615,71,7.8,21.4,0.0070,,
0.5700,72,9.4,21.4,0.0075,,
0.5775,73,10.7,21.4,0.0070,,
0.5860,74,12.2,21.4,0.0075,,
0.5945,75,13.8,21.4,0.0070,,
0.6030,76,15.0,21.4,0.0070,,
0.6115,77,16.3,21.4,0.0070,,
0.6195,78,17.3,21.4,0.0075,,
0.6275,79,18.4,21.4,0.0075,,
0.6355,80,19.1,21.4,0.0075,,
0.6440,81,19.7,21.4,0.0070,,
0.6525,82,20.7,21.4,0.0070,,
0.6610,83,21.8,21.4,0.0070,,
0.6685,84,23.3,21.4,0.0070,,
0.6770,85,24.1,21.4,0.0075,,
0.6855,86,25.0,21.4,0.0075,,
0.6940,87,26.2,21.4,0.0070,,
0.7020,88,27.2,21.4,0.0065,,
0.7105,89,28.1,21.4,0.0070,,
0.7185,90,29.1,21.4,0.0075,,
0.7265,91,30.3,21.4,0.0075,,
0.7350,92,31.1,21.4,0.0075,,
0.7435,93,32.1,21.4,0.0070,,
0.7520,94,33.0,21.4,0.0070,,
0.7605,95,33.9,21.4,0.0070,,
0.7685,96,35.2,21.4,0.0075,,
0.7765,97,36.0,21.4,0.0075,,
0.7845,98,36.7,21.4,0.0075,,
0.7930,99,37.7,21.4,0.0070,,
0.8015,100,38.9,21.4,0.0070,,
0.8100,101,40.4,21.4,0.0070,,
0.8185,102,41.0,21.4,0.0070,,
0.8260,103,42.4,21.4,0.0070,,
0.8345,104,43.4,21.4,0.0075,,
0.8430,105,44.3,21.4,0.0075,,
0.8510,106,44.7,21.4,0.0065,,
0.8595,107,45.3,21.4,0.0070,,
0.8680,108,46.2,21.4,0.0075,,
0.8755,109,47.5,21.4,0.0070,,
0.8840,110,49.2,21.4,0.0075,,
0.8925,111,50.1,21.4,0.0075,,
0.9010,112,51.0,21.4,0.0070,,
0.9095,113,51.9,21.4,0.0070,,
0.9175,114,52.4,21.4,0.0065,,
0.9255,115,53.0,21.4,0.0075,,
0.9335,116,53.7,21.4,0.0075,,
0.9420,117,54.6,21.4,0.0070,,
0.9505,118,55.7,21.4,0.0070,,
0.9590,119,56.8,21.4,0.0070,,
0.9675,120,57.6,21.4,0.0075,,
0.9750,121,58.6,21.4,0.0070,,
0.9835,122,59.7,21.4,0.0075,,
0.9920,123,60.9,21.4,0.0070,,
1.0005,124,62.0,21.4,0.0070,,
1.0085,125,63.2,21.4,0.0065,,
1.0170,126,64.6,21.4,0.0075,,
1.0245,127,65.6,21.4,0.0070,,
1.0330,128,66.7,21.4,0.0075,,
1.0415,129,68.2,21.4,0.0070,,
1.0500,130,69.0,21.4,0.0070,,
1.0585,131,70.3,21.4,0.0070,,
1.0670,132,72.1,21.4,0.0075,,
1.0745,133,73.6,21.4,0.0070,,
1.0830,134,74.9,21.4,0.0075,,
1.0910,135,76.6,21.4,0.0065,,
1.0995,136,78.1,21.4,0.0070,,
1.1080,137,79.6,21.4,0.0070,,
1.1165,138,81.4,21.4,0.0070,,
1.1240,139,82.9,21.4,0.0070,,
1.1325,140,84.6,21.4,0.0075,,
1.1410,141,86.6,21.4,0.0070,,
1.1495,142,88.5,21.4,0.0070,,
1.1575,143,90.3,21.4,0.0065,,
1.1660,144,92.8,21.4,0.0070,,
1.1735,145,95.0,21.4,0.0070,,
1.1820,146,96.8,21.4,0.0075,,
1.1905,147,99.2,21.4,0.0075,,
1.1990,148,102.3,21.4,0.0070,,
1.2075,149,105.4,21.4,0.0070,,
1.2160,150,108.6,21.4,0.0070,,
1.2235,151,111.6,21.4,0.0070,,
1.2320,152,115.1,21.4,0.0075,,
1.2400,153,118.6,21.4,0.0075,,
1.2485,154,123.3,21.4,0.0070,,
1.2570,155,127.6,21.4,0.0070,,
1.2655,156,132.4,21.4,0.0070,,
1.2730,157,137.0,21.4,0.0070,,
1.2815,158,141.6,21.4,0.0075,,
1.2900,159,146.4,21.4,0.0070,,
1.2985,160,151.0,21.4,0.0070,,
1.3065,161,154.9,21.4,0.0065,,
1.3150,162,159.3,21.4,0.0070,,
1.3225,163,162.6,21.4,0.0070,,
1.3310,164,165.6,21.4,0.0075,,
1.3395,165,168.6,21.4,0.0070,,
1.3480,166,171.7,21.4,0.0070,,
1.3565,167,174.3,21.4,0.0070,,
1.3650,168,176.6,21.4,0.0070,,
1.3725,169,178.5,21.4,0.0070,,
1.3810,170,180.3,21.4,0.0075,,
1.3890,171,182.3,21.4,0.0075,,
1.3970,172,183.8,21.4,0.0065,,
1.4045,173,184.9,21.4,0.0065,,
1.4080,174,186.6,21.4,0.0030,,
1.4085,175,186.8,21.4,0.0005,,
1.4090,176,187.0,21.4,0.0005,,
1.4105,177,187.4,21.4,0.0015,,
1.4120,178,187.5,21.4,0.0010,,
1.4145,179,188.2,21.4,0.0020,,
1.4170,180,188.4,21.4,0.0020,,
1.4180,181,188.3,21.4,0.0010,,
1.4185,182,188.5,21.4,0.0005,,
1.4195,183,188.7,21.4,0.0010,,
1.4200,184,189.0,21.4,0.0005,,
1.4210,185,189.5,21.4,0.0010,,
1.4215,186,189.9,21.4,0.0005,,
1.4220,187,190.0,21.4,0.0005,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.4,21.8,NaN,,
0.0005,1,189.7,21.8,0.0005,,
0.0020,2,189.8,21.8,0.0015,,
0.0050,3,190.0,21.8,0.0025,,
0.0085,4,190.0,21.8,0.0030,,
0.0145,5,190.4,21.8,0.0050,,
0.0230,6,191.5,21.8,0.0070,,
0.0305,7,192.4,21.8,0.0070,,
0.0390,8,193.7,21.8,0.0075,,
0.0475,9,194.8,21.8,0.0070,,
0.0560,10,196.2,21.8,0.0070,,
0.0645,11,197.3,21.8,0.0070,,
0.0725,12,197.7,21.8,0.0075,,
0.0805,13,199.1,21.8,0.0075,,
0.0885,14,200.6,21.8,0.0075,,
0.0970,15,201.7,21.8,0.0070,,
0.1055,16,202.6,21.8,0.0070,,
0.1140,17,203.4,21.8,0.0070,,
0.1215,18,204.2,21.8,0.0070,,
0.1300,19,204.8,21.8,0.0075,,
0.1385,20,205.8,21.8,0.0075,,
0.1470,21,206.3,21.8,0.0070,,
0.1555,22,207.0,21.8,0.0070,,
0.1635,23,207.3,21.8,0.0065,,
0.1715,24,207.9,21.8,0.0075,,
0.1795,25,208.8,21.8,0.0075,,
0.1880,26,209.6,21.8,0.0075,,
0.1965,27,210.4,21.8,0.0070,,
0.2050,28,211.0,21.8,0.0070,,
0.2135,29,211.6,21.8,0.0070,,
0.2210,30,212.2,21.8,0.0070,,
0.2295,31,212.9,21.8,0.0075,,
0.2380,32,213.2,21.8,0.0075,,
0.2465,33,213.6,21.8,0.0070,,
0.2545,34,214.0,21.8,0.0065,,
0.2630,35,214.8,21.8,0.0070,,
0.2705,36,215.4,21.8,0.0070,,
0.2790,37,215.8,21.8,0.0075,,
0.2875,38,216.5,21.8,0.0070,,
0.2960,39,216.9,21.8,0.0070,,
0.3045,40,217.4,21.8,0.0070,,
0.3130,41,217.9,21.8,0.0070,,
0.3205,42,217.8,21.8,0.0070,,
0.3285,43,217.8,21.8,0.0075,,
0.3370,44,218.3,21.8,0.0075,,
0.3455,45,219.1,21.8,0.0070,,
0.3540,46,219.9,21.8,0.0070,,
0.3625,47,220.6,21.8,0.0070,,
0.3700,48,220.9,21.8,0.0070,,
0.3785,49,221.4,21.8,0.0075,,
0.3870,50,221.4,21.8,0.0075,,
0.3955,51,221.7,21.8,0.0070,,
0.4035,52,222.3,21.8,0.0065,,
0.4120,53,222.7,21.8,0.0070,,
0.4195,54,222.5,21.8,0.0070,,
0.4280,55,222.9,21.8,0.0075,,
0.4365,56,223.8,21.8,0.0070,,
0.4450,57,224.3,21.8,0.0070,,
0.4535,58,224.8,21.8,0.0070,,
0.4620,59,225.1,21.8,0.0075,,
0.4695,60,225.5,21.8,0.0070,,
0.4780,61,225.9,21.8,0.0075,,
0.4865,62,226.2,21.8,0.0070,,
0.4945,63,226.3,21.8,0.0065,,
0.5030,64,226.8,21.8,0.0070,,
0.5115,65,227.0,21.8,0.0070,,
0.5190,66,227.2,21.8,0.0070,,
0.5275,67,226.8,21.8,0.0075,,
0.5360,68,227.0,21.8,0.0075,,
0.5445,69,227.3,21.8,0.0070,,
0.5525,70,227.6,21.8,0.0065,,
0.5610,71,228.1,21.8,0.0070,,
0.5685,72,228.2,21.8,0.0070,,
0.5770,73,228.6,21.8,0.0075,,
0.5855,74,228.8,21.8,0.0075,,
0.5940,75,229.1,21.8,0.0070,,
0.6025,76,229.3,21.8,0.0070,,
0.6110,77,229.6,21.8,0.0070,,
0.6185,78,230.2,21.8,0.0070,,
0.6270,79,230.9,21.8,0.0075,,
0.6350,80,230.6,21.8,0.0075,,
0.6435,81,230.6,21.8,0.0070,,
0.6520,82,231.1,21.8,0.0070,,
0.6605,83,231.4,21.8,0.0070,,
0.6680,84,231.5,21.8,0.0070,,
0.6765,85,232.0,21.8,0.0075,,
0.6850,86,232.6,21.8,0.0075,,
0.6935,87,232.8,21.8,0.0070,,
0.7015,88,233.0,21.8,0.0065,,
0.7100,89,233.2,21.8,0.0070,,
0.7175,90,233.3,21.8,0.0070,,
0.7260,91,233.3,21.8,0.0075,,
0.7345,92,233.4,21.8,0.0075,,
0.7430,93,233.7,21.8,0.0070,,
0.7515,94,234.2,21.8,0.0070,,
0.7600,95,234.8,21.8,0.0070,,
0.7675,96,235.2,21.8,0.0070,,
0.7760,97,235.3,21.8,0.0075,,
0.7845,98,235.4,21.8,0.0070,,
0.7925,99,235.6,21.8,0.0065,,
0.8010,100,236.1,21.8,0.0070,,
0.8095,101,235.6,21.8,0.0070,,
0.8165,102,236.2,21.8,0.0065,,
0.8225,103,236.6,21.8,0.0055,,
0.8300,104,236.8,21.8,0.0070,,
0.8385,105,236.8,21.8,0.0070,,
0.8470,106,237.0,21.8,0.0070,,
0.8555,107,237.1,21.8,0.0070,,
0.8630,108,237.7,21.8,0.0070,,
0.8710,109,237.5,21.8,0.0075,,
0.8795,110,238.2,21.8,0.0075,,
0.8810,111,238.6,21.8,0.0010,,
0.8815,112,238.7,21.8,0.0005,,
0.8825,113,238.5,21.8,0.0010,,
0.8835,114,238.7,21.8,0.0010,,
0.8850,115,238.7,21.8,0.0015,,
0.8855,116,238.5,21.8,0.0005,,
0.8860,117,238.7,21.8,0.0005,,
0.8875,118,238.8,21.8,0.0010,,
0.8890,119,238.4,21.8,0.0010,,
0.8900,120,237.9,21.8,0.0010,,
0.8905,121,238.0,21.8,0.0005,,
0.8905,122,237.9,21.8,0.0000,,
0.8925,123,237.9,21.8,0.0015,,
0.8930,124,237.9,21.8,0.0005,,
0.8940,125,237.9,21.8,0.0010,,
0.8950,126,238.0,21.8,0.0010,,
0.8950,127,238.2,21.8,0.0000,,
0.8960,128,238.5,21.8,0.0010,,
0.8965,129,238.5,21.8,0.0005,,
0.8970,130,238.9,21.8,0.0005,,
0.8980,131,238.8,21.8,0.0010,,
0.8985,132,239.0,21.8,0.0005,,
0.8995,133,238.6,21.8,0.0010,,
0.9020,134,238.2,21.8,0.0025,,
0.9050,135,238.2,21.8,0.0025,,
0.9055,136,239.0,21.8,0.0005,,
0.9065,137,239.2,21.8,0.0010,,
0.9070,138,239.2,21.8,0.0005,,
0.9085,139,239.3,21.8,0.0015,,
0.9095,140,239.1,21.8,0.0010,,
0.9100,141,239.1,21.8,0.0005,,
0.9110,142,238.7,21.8,0.0010,,
0.9120,143,238.7,21.8,0.0010,,
0.9130,144,239.2,21.8,0.0010,,
0.9135,145,239.3,21.8,0.0005,,
0.9145,146,239.4,21.8,0.0010,,
0.9150,147,239.5,21.8,0.0005,,
0.9160,148,239.5,21.8,0.0010,,
0.9170,149,239.4,21.8,0.0010,,
0.9180,150,239.5,21.8,0.0010,,
0.9190,151,239.5,21.8,0.0010,,
0.9200,152,239.6,21.8,0.0010,,
0.9205,153,239.5,21.8,0.0005,,
0.9215,154,239.6,21.8,0.0010,,
0.9220,155,239.6,21.8,0.0005,,
0.9230,156,239.3,21.8,0.0010,,
0.9235,157,239.7,21.8,0.0005,,
0.9240,158,239.5,21.8,0.0005,,
0.9250,159,239.6,21.8,0.0010,,
0.9255,160,239.5,21.8,0.0005,,
0.9265,161,239.3,21.8,0.0010,,
0.9270,162,238.8,21.8,0.0005,,
0.9280,163,238.7,21.8,0.0010,,
0.9290,164,238.7,21.8,0.0010,,
0.9300,165,238.8,21.8,0.0010,,
0.9310,166,238.8,21.8,0.0010,,
0.9315,167,239.0,21.8,0.0005,,
0.9325,168,239.0,21.8,0.0010,,
0.9340,169,239.2,21.8,0.0015,,
0.9345,170,238.9,21.8,0.0005,,
0.9355,171,240.0,21.8,0.0015,,
Scope 1/1, Sample 2/9 (202)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-99.7,21.5,NaN,,
0.0005,1,-103.5,21.4,0.0005,,
0.0020,2,-103.8,21.4,0.0015,,
0.0050,3,-103.7,21.4,0.0025,,
0.0085,4,-103.2,21.4,0.0030,,
0.0145,5,-103.1,21.4,0.0050,,
0.0230,6,-103.2,21.4,0.0075,,
0.0305,7,-102.9,21.4,0.0070,,
0.0390,8,-102.3,21.4,0.0075,,
0.0475,9,-101.9,21.4,0.0070,,
0.0560,10,-101.6,21.4,0.0070,,
0.0645,11,-101.6,21.4,0.0070,,
0.0720,12,-100.7,21.4,0.0070,,
0.0805,13,-100.1,21.4,0.0075,,
0.0885,14,-99.6,21.4,0.0075,,
0.0970,15,-99.1,21.4,0.0070,,
0.1055,16,-98.5,21.4,0.0070,,
0.1140,17,-98.1,21.4,0.0070,,
0.1215,18,-97.6,21.4,0.0070,,
0.1300,19,-96.9,21.4,0.0075,,
0.1385,20,-96.4,21.4,0.0075,,
0.1470,21,-95.0,21.4,0.0070,,
0.1555,22,-94.6,21.4,0.0070,,
0.1635,23,-93.9,21.4,0.0065,,
0.1715,24,-93.3,21.4,0.0075,,
0.1795,25,-92.5,21.4,0.0075,,
0.1880,26,-91.6,21.4,0.0075,,
0.1965,27,-90.5,21.4,0.0070,,
0.2050,28,-89.9,21.4,0.0070,,
0.2135,29,-88.9,21.4,0.0070,,
