Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin1)
Method Function,Sample (S1)
Creation time,3/20/2018 9:15:45 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093650 mmol,
VEQ1,0.9365 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9365 mL,
t,02:38 min,
QEND,0.093650 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 5/9 (2-Aug-16 Bin5)
Method Function,Sample (S1)
Creation time,3/20/2018 9:18:45 AM,
Sample start time,3/20/2018 9:18:45 AM,
Sample size,50.0130 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 9:18:45 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 9:18:45 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.143300 mmol,
VEQ1,1.4330 mL,
EST,-97.5 mV,
VEX,0.000499 mL,
VEND,1.433499 mL,
t,03:16 min,
QEND,0.143350 mmol,
QEX,0.000050 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 9:22:10 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 9:29:11 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093550 mmol,
VEQ1,0.9355 mL,
EST,190.3 mV,
VEX,0.000000 mL,
VEND,0.935500 mL,
t,02:20 min,
QEND,0.093550 mmol,
QEX,0.000000 mmol,
Scope 1/1, Sample 6/9 (2-Aug-16 Bin6)
Method Function,Sample (S1)
Creation time,3/20/2018 9:31:52 AM,
Sample start time,3/20/2018 9:31:52 AM,
Sample size,50.0256 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 9:31:52 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 9:31:52 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.144550 mmol,
VEQ1,1.4455 mL,
EST,-98.1 mV,
VEX,0 mL,
VEND,1.4455 mL,
t,03:14 min,
QEND,0.144550 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 9:35:15 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 9:42:15 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093200 mmol,
VEQ1,0.9320 mL,
EST,189.6 mV,
VEX,0.001499 mL,
VEND,0.933499 mL,
t,02:40 min,
QEND,0.093350 mmol,
QEX,0.000150 mmol,
Scope 1/1, Sample 7/9 (2-Aug-16 Bin7)
Method Function,Sample (S1)
Creation time,3/20/2018 9:45:16 AM,
Sample start time,3/20/2018 9:45:16 AM,
Sample size,50.0461 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 9:45:16 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 9:45:16 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.154750 mmol,
VEQ1,1.5475 mL,
EST,-98.8 mV,
VEX,0 mL,
VEND,1.5475 mL,
t,03:31 min,
QEND,0.154750 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 9:48:56 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 9:55:57 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093700 mmol,
VEQ1,0.9370 mL,
EST,189.9 mV,
VEX,0 mL,
VEND,0.9370 mL,
t,02:31 min,
QEND,0.093700 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 8/9 (2-Aug-16 Bin8)
Method Function,Sample (S1)
Creation time,3/20/2018 9:58:49 AM,
Sample start time,3/20/2018 9:58:49 AM,
Sample size,50.0241 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 9:58:49 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 9:58:49 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.153700 mmol,
VEQ1,1.5370 mL,
EST,-98.6 mV,
VEX,0 mL,
VEND,1.5370 mL,
t,03:25 min,
QEND,0.153700 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 10:02:24 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 10:09:24 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093400 mmol,
VEQ1,0.9340 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9340 mL,
t,02:40 min,
QEND,0.093400 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 9/9 (2-Aug-16 Bin9)
Method Function,Sample (S1)
Creation time,3/20/2018 10:12:25 AM,
Sample start time,3/20/2018 10:12:25 AM,
Sample size,50.0312 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 10:12:25 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 10:12:25 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.151200 mmol,
VEQ1,1.5120 mL,
EST,-95.0 mV,
VEX,0 mL,
VEND,1.5120 mL,
t,03:21 min,
QEND,0.151200 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 10:15:55 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 10:22:55 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093450 mmol,
VEQ1,0.9345 mL,
EST,189.8 mV,
VEX,0 mL,
VEND,0.9345 mL,
t,02:25 min,
QEND,0.093450 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T327
Scope 1/1, Sample 1/9 (2-Aug-16 Bin1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-93.9,21.4,NaN,,
0.0005,1,-99.7,21.5,0.0005,,
0.0020,2,-99.6,21.6,0.0015,,
0.0050,3,-100.3,21.6,0.0025,,
0.0085,4,-100.7,21.6,0.0030,,
0.0145,5,-100.6,21.6,0.0050,,
0.0230,6,-100.5,21.6,0.0070,,
0.0305,7,-100.1,21.6,0.0070,,
0.0390,8,-99.7,21.6,0.0075,,
0.0475,9,-99.5,21.6,0.0075,,
0.0555,10,-98.9,21.6,0.0065,,
0.0640,11,-98.2,21.6,0.0070,,
0.0725,12,-97.1,21.6,0.0070,,
0.0800,13,-97.1,21.6,0.0070,,
0.0885,14,-96.1,21.6,0.0075,,
0.0970,15,-94.8,21.6,0.0070,,
0.1055,16,-94.1,21.6,0.0070,,
0.1140,17,-93.4,21.6,0.0070,,
0.1225,18,-92.5,21.6,0.0070,,
0.1300,19,-92.0,21.6,0.0070,,
0.1385,20,-91.2,21.6,0.0075,,
0.1465,21,-90.1,21.6,0.0075,,
0.1550,22,-89.4,21.6,0.0070,,
0.1635,23,-88.4,21.6,0.0070,,
0.1720,24,-87.5,21.6,0.0070,,
0.1795,25,-86.7,21.6,0.0070,,
0.1880,26,-86.0,21.6,0.0075,,
0.1965,27,-85.2,21.6,0.0075,,
0.2050,28,-84.1,21.6,0.0070,,
0.2130,29,-82.9,21.6,0.0065,,
0.2215,30,-81.9,21.6,0.0070,,
0.2290,31,-80.9,21.6,0.0070,,
0.2375,32,-80.2,21.6,0.0075,,
0.2460,33,-79.5,21.6,0.0070,,
0.2545,34,-78.3,21.6,0.0070,,
0.2630,35,-76.8,21.6,0.0070,,
0.2715,36,-75.8,21.6,0.0075,,
0.2790,37,-74.3,21.6,0.0070,,
0.2875,38,-73.0,21.6,0.0075,,
0.2960,39,-71.8,21.6,0.0070,,
0.3040,40,-70.2,21.6,0.0065,,
0.3125,41,-68.2,21.6,0.0070,,
0.3210,42,-66.7,21.6,0.0075,,
0.3285,43,-65.3,21.6,0.0070,,
0.3370,44,-63.4,21.6,0.0075,,
0.3455,45,-61.5,21.6,0.0070,,
0.3540,46,-59.2,21.6,0.0070,,
0.3625,47,-57.0,21.6,0.0070,,
0.3705,48,-55.3,21.6,0.0075,,
0.3785,49,-53.3,21.6,0.0075,,
0.3865,50,-51.0,21.6,0.0075,,
0.3950,51,-48.4,21.6,0.0070,,
0.4035,52,-46.2,21.6,0.0070,,
0.4120,53,-43.5,21.6,0.0070,,
0.4205,54,-40.8,21.6,0.0070,,
0.4280,55,-37.9,21.6,0.0070,,
0.4365,56,-34.4,21.6,0.0075,,
0.4450,57,-30.5,21.6,0.0070,,
0.4530,58,-26.0,21.6,0.0065,,
0.4615,59,-21.8,21.6,0.0070,,
0.4700,60,-17.9,21.6,0.0070,,
0.4775,61,-14.9,21.6,0.0070,,
0.4860,62,-11.3,21.6,0.0075,,
0.4945,63,-8.1,21.6,0.0075,,
0.5030,64,-5.2,21.6,0.0070,,
0.5115,65,-2.6,21.6,0.0070,,
0.5195,66,-0.2,21.6,0.0065,,
0.5275,67,2.1,21.6,0.0075,,
0.5355,68,4.3,21.6,0.0075,,
0.5440,69,5.9,21.6,0.0070,,
0.5525,70,7.6,21.6,0.0070,,
0.5610,71,9.2,21.6,0.0070,,
0.5695,72,10.2,21.6,0.0070,,
0.5770,73,11.3,21.6,0.0060,,
0.5855,74,12.9,21.6,0.0075,,
0.5940,75,14.6,21.6,0.0070,,
0.6025,76,15.9,21.6,0.0070,,
0.6105,77,17.0,21.6,0.0065,,
0.6190,78,18.0,21.6,0.0070,,
0.6265,79,19.0,21.6,0.0070,,
0.6350,80,20.2,21.6,0.0075,,
0.6435,81,21.2,21.6,0.0070,,
0.6520,82,22.2,21.6,0.0070,,
0.6605,83,23.0,21.6,0.0070,,
0.6690,84,24.1,21.6,0.0075,,
0.6765,85,24.7,21.6,0.0070,,
0.6845,86,26.1,21.6,0.0075,,
0.6930,87,26.9,21.6,0.0075,,
0.7015,88,27.9,21.6,0.0070,,
0.7100,89,28.9,21.6,0.0070,,
0.7185,90,29.6,21.6,0.0070,,
0.7260,91,30.2,21.6,0.0070,,
0.7345,92,30.6,21.6,0.0075,,
0.7430,93,31.2,21.6,0.0070,,
0.7515,94,32.1,21.6,0.0070,,
0.7595,95,33.0,21.6,0.0065,,
0.7680,96,34.1,21.6,0.0075,,
0.7755,97,34.7,21.6,0.0070,,
0.7840,98,35.6,21.6,0.0075,,
0.7925,99,36.2,21.6,0.0070,,
0.8010,100,37.2,21.6,0.0070,,
0.8095,101,38.0,21.6,0.0070,,
0.8180,102,38.7,21.6,0.0075,,
0.8255,103,39.5,21.6,0.0070,,
0.8340,104,41.0,21.6,0.0075,,
0.8425,105,42.0,21.6,0.0070,,
0.8505,106,43.1,21.6,0.0065,,
0.8590,107,44.0,21.6,0.0070,,
0.8675,108,44.6,21.6,0.0075,,
0.8750,109,45.2,21.6,0.0070,,
0.8835,110,46.1,21.6,0.0075,,
0.8920,111,46.8,21.6,0.0070,,
0.9005,112,47.0,21.6,0.0070,,
0.9085,113,47.9,21.6,0.0065,,
0.9170,114,49.3,21.6,0.0070,,
0.9245,115,49.5,21.6,0.0070,,
0.9330,116,50.7,21.6,0.0075,,
0.9415,117,52.0,21.6,0.0075,,
0.9500,118,53.3,21.6,0.0070,,
0.9585,119,54.0,21.5,0.0070,,
0.9670,120,55.1,21.6,0.0070,,
0.9745,121,55.6,21.6,0.0070,,
0.9830,122,56.0,21.6,0.0075,,
0.9910,123,57.1,21.6,0.0075,,
0.9995,124,58.0,21.6,0.0070,,
1.0080,125,59.1,21.6,0.0070,,
1.0165,126,60.6,21.6,0.0070,,
1.0240,127,61.3,21.6,0.0070,,
1.0325,128,62.1,21.6,0.0075,,
1.0410,129,63.2,21.6,0.0075,,
1.0495,130,64.0,21.6,0.0070,,
1.0575,131,65.4,21.6,0.0065,,
1.0660,132,66.5,21.6,0.0070,,
1.0735,133,67.2,21.6,0.0070,,
1.0820,134,68.5,21.6,0.0075,,
1.0905,135,69.6,21.5,0.0075,,
1.0990,136,70.9,21.6,0.0070,,
1.1075,137,71.8,21.5,0.0070,,
1.1160,138,73.1,21.6,0.0070,,
1.1235,139,74.7,21.5,0.0070,,
1.1320,140,76.1,21.5,0.0075,,
1.1400,141,77.5,21.6,0.0075,,
1.1485,142,78.3,21.5,0.0070,,
1.1570,143,79.1,21.5,0.0070,,
1.1655,144,80.6,21.5,0.0070,,
1.1730,145,82.4,21.5,0.0070,,
1.1815,146,84.7,21.5,0.0075,,
1.1900,147,86.6,21.5,0.0075,,
1.1985,148,87.7,21.5,0.0070,,
1.2070,149,89.7,21.5,0.0070,,
1.2150,150,91.0,21.5,0.0065,,
1.2230,151,93.1,21.5,0.0075,,
1.2310,152,95.6,21.6,0.0075,,
1.2395,153,98.2,21.5,0.0075,,
1.2480,154,100.6,21.6,0.0070,,
1.2565,155,103.6,21.5,0.0070,,
1.2650,156,106.7,21.5,0.0070,,
1.2725,157,109.6,21.5,0.0070,,
1.2810,158,113.2,21.5,0.0075,,
1.2890,159,117.2,21.5,0.0065,,
1.2975,160,120.9,21.5,0.0070,,
1.3060,161,125.4,21.6,0.0070,,
1.3145,162,130.0,21.6,0.0070,,
1.3220,163,134.0,21.5,0.0070,,
1.3305,164,139.3,21.6,0.0075,,
1.3390,165,144.2,21.6,0.0075,,
1.3475,166,148.4,21.6,0.0070,,
1.3560,167,153.7,21.6,0.0070,,
1.3640,168,157.6,21.5,0.0065,,
1.3720,169,160.9,21.5,0.0075,,
1.3800,170,164.2,21.5,0.0075,,
1.3885,171,167.6,21.5,0.0075,,
1.3970,172,170.1,21.6,0.0070,,
1.4055,173,172.4,21.5,0.0070,,
1.4140,174,174.7,21.5,0.0070,,
1.4215,175,176.2,21.6,0.0070,,
1.4300,176,178.6,21.5,0.0075,,
1.4380,177,181.3,21.5,0.0075,,
1.4465,178,183.3,21.5,0.0070,,
1.4545,179,185.0,21.5,0.0065,,
1.4590,180,186.3,21.5,0.0035,,
1.4605,181,187.0,21.6,0.0015,,
1.4605,182,187.1,21.6,0.0000,,
1.4615,183,187.5,21.5,0.0010,,
1.4630,184,187.1,21.5,0.0010,,
1.4645,185,187.2,21.5,0.0010,,
1.4665,186,187.7,21.6,0.0015,,
1.4680,187,187.9,21.5,0.0015,,
1.4695,188,188.3,21.5,0.0015,,
1.4710,189,188.8,21.5,0.0015,,
1.4720,190,188.9,21.5,0.0010,,
1.4725,191,189.4,21.5,0.0005,,
1.4730,192,189.5,21.5,0.0005,,
1.4740,193,189.3,21.5,0.0010,,
1.4745,194,190.1,21.5,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,21.7,NaN,,
0.0005,1,190.4,21.7,0.0005,,
0.0020,2,190.3,21.7,0.0015,,
0.0050,3,190.5,21.7,0.0025,,
0.0085,4,190.8,21.7,0.0030,,
0.0150,5,191.3,21.7,0.0055,,
0.0235,6,192.3,21.7,0.0070,,
0.0310,7,193.5,21.7,0.0070,,
0.0395,8,194.7,21.7,0.0075,,
0.0480,9,195.5,21.7,0.0075,,
0.0565,10,196.9,21.7,0.0070,,
0.0645,11,197.9,21.7,0.0065,,
0.0730,12,198.7,21.7,0.0070,,
0.0815,13,199.3,21.7,0.0075,,
0.0890,14,200.4,21.7,0.0070,,
0.0975,15,201.6,21.7,0.0075,,
0.1060,16,202.1,21.7,0.0070,,
0.1145,17,202.6,21.7,0.0070,,
0.1230,18,203.6,21.7,0.0070,,
0.1305,19,204.8,21.7,0.0070,,
0.1385,20,205.5,21.7,0.0075,,
0.1470,21,206.4,21.7,0.0075,,
0.1555,22,206.8,21.7,0.0070,,
0.1640,23,207.1,21.7,0.0070,,
0.1725,24,207.8,21.7,0.0070,,
0.1800,25,208.4,21.7,0.0070,,
0.1885,26,208.6,21.7,0.0075,,
0.1970,27,209.5,21.7,0.0075,,
0.2055,28,210.2,21.7,0.0070,,
0.2135,29,210.9,21.7,0.0065,,
0.2220,30,211.9,21.7,0.0070,,
0.2295,31,212.6,21.7,0.0070,,
0.2380,32,213.4,21.7,0.0075,,
0.2465,33,213.8,21.7,0.0070,,
0.2550,34,213.7,21.7,0.0070,,
0.2635,35,213.9,21.7,0.0070,,
0.2720,36,214.8,21.7,0.0070,,
0.2795,37,215.1,21.7,0.0070,,
0.2880,38,215.5,21.7,0.0075,,
0.2965,39,215.8,21.7,0.0070,,
0.3045,40,216.2,21.7,0.0065,,
0.3130,41,217.0,21.7,0.0070,,
0.3215,42,217.4,21.7,0.0075,,
0.3290,43,218.4,21.7,0.0070,,
0.3375,44,218.6,21.7,0.0075,,
0.3460,45,218.7,21.7,0.0070,,
0.3545,46,219.2,21.7,0.0070,,
0.3630,47,219.5,21.7,0.0070,,
0.3710,48,219.9,21.7,0.0065,,
0.3790,49,220.1,21.7,0.0075,,
0.3870,50,220.9,21.7,0.0075,,
0.3955,51,221.8,21.7,0.0070,,
0.4040,52,222.3,21.7,0.0070,,
0.4125,53,222.8,21.7,0.0070,,
0.4210,54,223.0,21.7,0.0075,,
0.4285,55,223.4,21.7,0.0070,,
0.4370,56,223.9,21.7,0.0075,,
0.4455,57,224.2,21.7,0.0070,,
0.4535,58,224.7,21.7,0.0065,,
0.4620,59,225.0,21.7,0.0070,,
0.4705,60,225.4,21.7,0.0075,,
0.4780,61,225.7,21.7,0.0070,,
0.4865,62,226.0,21.7,0.0075,,
0.4950,63,226.2,21.7,0.0070,,
0.5035,64,226.5,21.7,0.0070,,
0.5120,65,226.8,21.7,0.0070,,
0.5205,66,227.1,21.7,0.0075,,
0.5280,67,227.1,21.7,0.0070,,
0.5365,68,227.4,21.7,0.0075,,
0.5445,69,227.7,21.7,0.0065,,
0.5530,70,228.5,21.7,0.0070,,
0.5615,71,228.9,21.7,0.0070,,
0.5700,72,229.2,21.7,0.0070,,
0.5775,73,229.4,21.7,0.0070,,
0.5860,74,229.8,21.7,0.0075,,
0.5945,75,230.0,21.7,0.0075,,
0.6025,76,230.2,21.7,0.0065,,
0.6110,77,230.1,21.7,0.0070,,
0.6195,78,230.2,21.7,0.0075,,
0.6270,79,230.8,21.7,0.0070,,
0.6355,80,231.2,21.7,0.0075,,
0.6440,81,231.1,21.7,0.0070,,
0.6525,82,231.7,21.7,0.0070,,
0.6610,83,232.0,21.7,0.0070,,
0.6690,84,232.3,21.7,0.0065,,
0.6770,85,232.2,21.7,0.0075,,
0.6855,86,232.0,21.7,0.0075,,
0.6935,87,232.3,21.7,0.0075,,
0.7020,88,233.1,21.7,0.0070,,
0.7105,89,233.2,21.7,0.0070,,
0.7190,90,233.9,21.7,0.0070,,
0.7265,91,234.2,21.7,0.0070,,
0.7350,92,234.4,21.7,0.0075,,
0.7435,93,234.2,21.7,0.0075,,
0.7515,94,234.0,21.7,0.0065,,
0.7600,95,234.1,21.7,0.0070,,
0.7685,96,234.3,21.7,0.0070,,
0.7760,97,234.8,21.7,0.0070,,
0.7845,98,234.9,21.7,0.0075,,
0.7930,99,235.0,21.7,0.0075,,
0.8015,100,235.2,21.7,0.0070,,
0.8100,101,235.5,21.7,0.0070,,
0.8185,102,236.1,21.7,0.0070,,
0.8260,103,236.5,21.7,0.0070,,
0.8345,104,236.6,21.7,0.0075,,
0.8425,105,236.5,21.7,0.0065,,
0.8505,106,236.5,21.7,0.0065,,
0.8570,107,236.6,21.7,0.0055,,
0.8575,108,236.8,21.7,0.0005,,
0.8585,109,237.0,21.7,0.0010,,
0.8605,110,237.5,21.7,0.0020,,
0.8635,111,237.7,21.7,0.0025,,
0.8675,112,238.1,21.7,0.0035,,
0.8745,113,238.2,21.7,0.0060,,
0.8825,114,238.4,21.7,0.0065,,
0.8900,115,238.6,21.7,0.0070,,
0.8985,116,238.8,21.7,0.0075,,
0.9015,117,238.9,21.7,0.0025,,
0.9020,118,238.9,21.7,0.0005,,
0.9035,119,238.6,21.7,0.0010,,
0.9050,120,238.5,21.7,0.0010,,
0.9075,121,238.7,21.7,0.0025,,
0.9100,122,239.1,21.7,0.0025,,
0.9110,123,238.7,21.7,0.0010,,
0.9120,124,238.8,21.7,0.0010,,
0.9130,125,238.4,21.7,0.0010,,
0.9140,126,238.4,21.7,0.0010,,
0.9150,127,238.7,21.7,0.0010,,
0.9155,128,238.6,21.7,0.0005,,
0.9165,129,238.8,21.7,0.0010,,
0.9170,130,238.4,21.7,0.0005,,
0.9185,131,238.7,21.7,0.0010,,
0.9190,132,238.6,21.7,0.0005,,
0.9195,133,238.9,21.7,0.0005,,
0.9205,134,238.5,21.7,0.0010,,
0.9210,135,238.5,21.7,0.0005,,
0.9220,136,238.7,21.7,0.0010,,
0.9230,137,239.1,21.7,0.0010,,
0.9240,138,239.2,21.7,0.0010,,
0.9245,139,238.7,21.7,0.0005,,
0.9255,140,238.5,21.7,0.0010,,
0.9265,141,238.6,21.7,0.0010,,
0.9275,142,239.0,21.7,0.0010,,
0.9280,143,239.2,21.7,0.0005,,
0.9290,144,239.5,21.7,0.0010,,
0.9305,145,239.5,21.7,0.0015,,
0.9315,146,239.7,21.7,0.0010,,
0.9325,147,239.8,21.7,0.0010,,
0.9335,148,239.8,21.7,0.0010,,
0.9340,149,239.8,21.7,0.0005,,
0.9350,150,239.7,21.7,0.0010,,
0.9360,151,239.8,21.7,0.0010,,
0.9365,152,239.3,21.7,0.0005,,
0.9375,153,239.1,21.7,0.0010,,
0.9380,154,238.9,21.7,0.0005,,
0.9390,155,238.9,21.7,0.0010,,
0.9395,156,239.7,21.7,0.0005,,
0.9410,157,239.1,21.7,0.0015,,
0.9415,158,239.4,21.7,0.0005,,
0.9430,159,239.5,21.7,0.0015,,
0.9440,160,240.0,21.7,0.0010,,
Scope 1/1, Sample 2/9 (2-Aug-16 Bin2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-99.5,21.6,NaN,,
0.0005,1,-102.1,21.6,0.0005,,
0.0020,2,-102.4,21.6,0.0015,,
0.0050,3,-102.4,21.6,0.0025,,
0.0085,4,-102.6,21.6,0.0030,,
0.0150,5,-102.9,21.6,0.0055,,
0.0235,6,-102.7,21.6,0.0070,,
0.0310,7,-102.7,21.6,0.0070,,
0.0395,8,-102.9,21.6,0.0075,,
0.0480,9,-102.4,21.6,0.0075,,
0.0565,10,-101.7,21.6,0.0070,,
0.0645,11,-101.4,21.6,0.0065,,
0.0730,12,-100.5,21.5,0.0070,,
0.0805,13,-100.0,21.5,0.0070,,
0.0890,14,-99.4,21.5,0.0075,,
0.0975,15,-98.6,21.5,0.0075,,
0.1060,16,-97.8,21.6,0.0070,,
0.1145,17,-96.7,21.5,0.0070,,
0.1230,18,-96.0,21.6,0.0075,,
0.1305,19,-95.2,21.6,0.0070,,
0.1390,20,-94.3,21.5,0.0075,,
0.1475,21,-93.6,21.5,0.0070,,
0.1555,22,-92.7,21.5,0.0065,,
0.1640,23,-91.9,21.5,0.0070,,
0.1725,24,-91.0,21.5,0.0070,,
0.1800,25,-90.3,21.5,0.0070,,
0.1885,26,-89.7,21.5,0.0075,,
0.1970,27,-89.1,21.6,0.0070,,
0.2055,28,-88.5,21.6,0.0070,,
