Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin1)
Method Function,Sample (S1)
Creation time,3/20/2018 8:24:55 AM,
Sample start time,3/20/2018 8:24:55 AM,
Sample size,50.0451 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 8:24:55 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 8:25:04 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.147444 mmol,
VEQ1,1.474438 mL,
EST,-93.9 mV,
VEX,0.000062 mL,
VEND,1.474500 mL,
t,03:20 min,
QEND,0.147450 mmol,
QEX,0.000006 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 8:28:34 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 8:35:34 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094400 mmol,
VEQ1,0.9440 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9440 mL,
t,02:45 min,
QEND,0.094400 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/9 (2-Aug-16 Bin2)
Method Function,Sample (S1)
Creation time,3/20/2018 8:38:41 AM,
Sample start time,3/20/2018 8:38:41 AM,
Sample size,50.0084 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 8:38:41 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 8:38:41 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.144500 mmol,
VEQ1,1.4450 mL,
EST,-99.5 mV,
VEX,0 mL,
VEND,1.4450 mL,
t,03:13 min,
QEND,0.144500 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 8:42:03 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 8:49:03 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093950 mmol,
VEQ1,0.9395 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9395 mL,
t,02:42 min,
QEND,0.093950 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 3/9 (2-Aug-16 Bin3)
Method Function,Sample (S1)
Creation time,3/20/2018 8:52:06 AM,
Sample start time,3/20/2018 8:52:06 AM,
Sample size,50.0471 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 8:52:06 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 8:52:07 AM,
Terminated at,Stop at endpoint,
EEQ1,190 mV,
Q1,0.142100 mmol,
VEQ1,1.4210 mL,
EST,-98.3 mV,
VEX,0 mL,
VEND,1.4210 mL,
t,03:12 min,
QEND,0.142100 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 8:55:27 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 9:02:28 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.094133 mmol,
VEQ1,0.941333 mL,
EST,189.5 mV,
VEX,0.000166 mL,
VEND,0.941500 mL,
t,02:33 min,
QEND,0.094150 mmol,
QEX,0.000017 mmol,
Scope 1/1, Sample 4/9 (2-Aug-16 Bin4)
Method Function,Sample (S1)
Creation time,3/20/2018 9:05:22 AM,
Sample start time,3/20/2018 9:05:22 AM,
Sample size,50.0023 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 9:05:22 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 9:05:23 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.144700 mmol,
VEQ1,1.4470 mL,
EST,-100.6 mV,
VEX,0 mL,
VEND,1.4470 mL,
t,03:13 min,
QEND,0.144700 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 9:08:45 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
