Raw Data
Creation time,4/3/2018 8:55:51 AM,
Terminated at,Stop at endpoint,
EEQ1,240 mV,
Q1,0.096250 mmol,
VEQ1,0.9625 mL,
EST,190.3 mV,
VEX,0 mL,
VEND,0.9625 mL,
t,02:23 min,
QEND,0.096250 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 6/6 (T6 A 4/4/17)
Method Function,Sample (S1)
Creation time,4/3/2018 8:58:34 AM,
Sample start time,4/3/2018 8:58:34 AM,
Sample size,50.0576 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 8:58:35 AM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,4/3/2018 8:58:35 AM,
T,20.9 °C,
E,-102.7 mV,
tMe,00:06 min,
ESTMe,-3.1 mV,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/3/2018 8:58:41 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.141300 mmol,
VEQ1,1.4130 mL,
EST,-105.2 mV,
VEX,0 mL,
VEND,1.4130 mL,
t,03:17 min,
QEND,0.141300 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,4/3/2018 9:02:07 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/3/2018 9:09:08 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.096150 mmol,
VEQ1,0.9615 mL,
EST,189.6 mV,
VEX,0 mL,
VEND,0.9615 mL,
t,03:05 min,
QEND,0.096150 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T363
Scope 1/1, Sample 1/6 (T1 A 4/4/17)
Result,Measurenormal1
t,E,T
1,143.4,20.4
2,-37.3,20.7
3,-84.7,21.0
4,-97.1,21.2
5,-101.0,21.3
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-104.6,21.6,NaN,,
0.0005,1,-105.9,21.6,0.0005,,
0.0020,2,-105.8,21.6,0.0015,,
0.0050,3,-105.5,21.6,0.0025,,
0.0085,4,-106.0,21.6,0.0030,,
0.0150,5,-106.0,21.6,0.0055,,
0.0235,6,-105.7,21.6,0.0070,,
0.0320,7,-105.4,21.6,0.0075,,
0.0395,8,-104.5,21.6,0.0070,,
0.0480,9,-103.8,21.6,0.0070,,
0.0565,10,-103.0,21.6,0.0070,,
0.0645,11,-102.2,21.6,0.0065,,
0.0730,12,-101.8,21.6,0.0070,,
0.0805,13,-101.4,21.6,0.0070,,
0.0890,14,-101.2,21.6,0.0075,,
0.0975,15,-100.3,21.6,0.0075,,
0.1060,16,-99.5,21.6,0.0070,,
0.1145,17,-98.5,21.6,0.0070,,
0.1230,18,-97.5,21.6,0.0070,,
0.1310,19,-97.1,21.6,0.0075,,
0.1390,20,-96.1,21.6,0.0075,,
0.1470,21,-95.4,21.6,0.0075,,
0.1555,22,-94.7,21.6,0.0070,,
0.1640,23,-93.8,21.6,0.0070,,
0.1725,24,-93.0,21.6,0.0070,,
0.1810,25,-92.3,21.6,0.0075,,
0.1885,26,-91.6,21.6,0.0070,,
0.1970,27,-90.4,21.6,0.0075,,
0.2050,28,-89.3,21.6,0.0065,,
0.2135,29,-88.3,21.6,0.0070,,
0.2220,30,-87.3,21.6,0.0070,,
0.2305,31,-86.3,21.6,0.0070,,
0.2380,32,-85.4,21.6,0.0070,,
0.2465,33,-84.2,21.6,0.0075,,
0.2550,34,-83.2,21.6,0.0070,,
0.2635,35,-82.4,21.6,0.0070,,
0.2720,36,-81.5,21.6,0.0070,,
0.2800,37,-79.9,21.6,0.0075,,
0.2880,38,-79.1,21.6,0.0075,,
0.2960,39,-77.6,21.6,0.0075,,
0.3045,40,-76.7,21.6,0.0070,,
0.3130,41,-75.6,21.6,0.0070,,
0.3215,42,-74.1,21.6,0.0070,,
0.3300,43,-72.7,21.6,0.0075,,
0.3375,44,-71.0,21.6,0.0070,,
0.3460,45,-69.1,21.6,0.0075,,
0.3545,46,-66.8,21.6,0.0070,,
0.3625,47,-65.1,21.6,0.0065,,
0.3710,48,-63.3,21.6,0.0070,,
0.3790,49,-61.5,21.6,0.0075,,
0.3870,50,-59.8,21.6,0.0075,,
0.3955,51,-58.4,21.6,0.0070,,
0.4040,52,-56.1,21.6,0.0070,,
0.4125,53,-53.4,21.6,0.0070,,
0.4210,54,-50.3,21.6,0.0070,,
0.4285,55,-47.8,21.6,0.0070,,
0.4370,56,-44.5,21.6,0.0075,,
0.4455,57,-41.1,21.6,0.0070,,
0.4540,58,-37.2,21.6,0.0070,,
0.4620,59,-33.7,21.6,0.0065,,
0.4705,60,-30.1,21.6,0.0075,,
0.4780,61,-25.9,21.6,0.0070,,
0.4865,62,-22.0,21.6,0.0075,,
0.4950,63,-17.6,21.6,0.0070,,
0.5035,64,-13.4,21.6,0.0070,,
0.5120,65,-10.1,21.6,0.0070,,
0.5205,66,-7.1,21.6,0.0075,,
0.5280,67,-4.4,21.6,0.0070,,
0.5365,68,-1.9,21.6,0.0075,,
0.5445,69,0.6,21.6,0.0065,,
0.5530,70,1.9,21.6,0.0070,,
0.5615,71,3.6,21.6,0.0070,,
0.5700,72,5.0,21.6,0.0075,,
0.5775,73,6.4,21.6,0.0070,,
0.5860,74,8.1,21.6,0.0075,,
0.5945,75,9.3,21.6,0.0070,,
